subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;id_opt_1;id_opt_2;id_opt_3;id_opt_4;opt_1;opt_2;opt_3;opt_4;VF_pos;VF_neg
7;1;1;5.0;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Miserable pose 4.jpg;0.1;P   S   A   V;J   O   R   F;F   O   R   B;S   V   A   W;no;no;yes;no;no;yes
7;1;2;2.5;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Bird 1.jpg;0.088;K   E   L   M;H   E   L   K;G   U   T   Z;Z   U   N   T;no;yes;no;no;yes;no
7;1;3;2.5;negative;H   E   L   K;maske_2.bmp;maske_1.bmp;Fence 4.jpg;0.088;G   N   U   Z;K   L   E   M;H   E   L   K;Z   U   N   G;no;yes;no;no;no;yes
7;1;4;2.5;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Frustrated pose 5.jpg;0.088;K   L   E   H;G   U   T   Z;G   U   N   T;K   E   H   M;no;yes;no;no;no;yes
7;1;5;5.0;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Intensity 1.jpg;0.1;F   R   O   B;S   V   A   W;S   W   A   P;B   J   O   F;yes;no;no;no;no;yes
7;1;6;5.0;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Fire 7.jpg;0.1;B   J   O   F;S   A   P   V;V   A   P   S;J   O   R   B;no;no;no;yes;no;yes
7;1;7;5.0;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Gun 1.jpg;0.1;S   P   A   V;J   O   B   F;P   S   A   V;F   R   O   B;no;no;yes;no;no;yes
7;1;8;5.0;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Dessert 8.jpg;0.1;S   A   P   V;J   O   B   F;W   A   P   S;B   O   R   F;no;no;yes;no;yes;no
7;1;9;2.5;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Scared face 4.jpg;0.088;T   U   G   Z;L   E   M   K;G   N   U   Z;H   E   M   K;yes;no;no;no;no;yes
7;1;10;2.5;positive;N   U   G   Z;maske_2.bmp;maske_1.bmp;Bird 3.jpg;0.088;N   U   G   Z;G   U   N   T;K   L   E   H;K   E   H   M;yes;no;no;no;yes;no
7;1;11;5.0;negative;R   O   B   F;maske_2.bmp;maske_1.bmp;Garbage dump 6.jpg;0.1;V   A   S   P;B   O   R   F;R   O   B   F;S   W   A   P;no;no;yes;no;no;yes
7;1;12;5.0;positive;S   P   A   V;maske_2.bmp;maske_1.bmp;Flowers 4.jpg;0.1;V   A   S   P;S   P   A   V;J   O   B   F;J   O   R   F;no;yes;no;no;yes;no
7;1;13;2.5;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Fire 2.jpg;0.088;K   E   H   M;G   U   T   Z;K   E   L   M;G   U   N   T;yes;no;no;no;no;yes
7;1;14;5.0;positive;S   V   A   W;maske_1.bmp;maske_2.bmp;Chipmunk 1.jpg;0.1;F   O   R   B;P   S   A   V;J   O   R   F;S   V   A   W;no;no;no;yes;yes;no
7;1;15;2.5;positive;T   U   N   G;maske_2.bmp;maske_1.bmp;Lake 12.jpg;0.088;T   U   G   Z;M   E   H   K;K   L   E   M;T   U   N   G;yes;no;no;no;yes;no
7;1;16;2.5;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;School 2.jpg;0.088;K   L   E   H;T   U   G   Z;Z   U   N   G;M   E   H   K;no;yes;no;no;yes;no
7;1;17;5.0;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Cockroach 1.jpg;0.1;S   A   P   V;F   O   R   B;J   O   R   F;S   P   A   V;no;no;yes;no;no;yes
7;1;18;2.5;positive;G   U   N   T;maske_1.bmp;maske_2.bmp;Coffee 1.jpg;0.088;T   U   N   G;G   U   N   T;L   E   M   K;H   E   L   K;no;yes;no;no;yes;no
7;1;19;5.0;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Cat 4.jpg;0.1;V   A   S   P;B   O   R   F;R   O   B   F;S   P   A   V;yes;no;no;no;yes;no
7;1;20;5.0;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Pollution 1.jpg;0.1;B   O   R   F;V   A   S   P;J   O   R   B;W   A   P   S;yes;no;no;no;no;yes
7;1;21;2.5;positive;G   N   U   Z;maske_1.bmp;maske_2.bmp;Collaboration 1.jpg;0.088;G   N   U   Z;N   U   G   Z;H   E   M   K;K   E   L   M;yes;no;no;no;yes;no
7;1;22;2.5;positive;Z   U   N   G;maske_2.bmp;maske_1.bmp;Baby 2.jpg;0.088;Z   U   N   G;K   E   H   M;K   L   E   M;G   N   U   Z;yes;no;no;no;yes;no
7;1;23;5.0;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Mother 5.jpg;0.1;S   W   A   P;J   O   R   B;P   S   A   V;R   O   B   F;no;no;yes;no;yes;no
7;1;24;2.5;positive;Z   U   N   T;maske_1.bmp;maske_2.bmp;Beach 6.jpg;0.088;L   E   M   K;H   E   M   K;G   U   T   Z;Z   U   N   T;no;no;no;yes;yes;no
7;1;25;5.0;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Gazing 6.jpg;0.1;J   O   R   B;V   A   P   S;S   V   A   W;F   R   O   B;no;yes;no;no;yes;no
7;1;26;2.5;negative;K   E   L   M;maske_1.bmp;maske_2.bmp;Depressed pose 1.jpg;0.088;N   U   G   Z;K   E   L   M;M   E   H   K;T   U   G   Z;no;no;no;yes;no;yes
7;1;27;5.0;positive;S   W   A   P;maske_1.bmp;maske_2.bmp;Sunset 3.jpg;0.1;V   A   P   S;B   J   O   F;F   R   O   B;S   W   A   P;no;no;no;yes;yes;no
7;1;28;5.0;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Siblings 1.jpg;0.1;B   J   O   F;F   O   R   B;W   A   P   S;S   A   P   V;no;no;no;yes;yes;no
7;1;29;5.0;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Angry face 3.jpg;0.1;W   A   P   S;J   O   B   F;R   O   B   F;V   A   P   S;no;no;no;yes;no;yes
7;1;30;2.5;negative;L   E   M   K;maske_1.bmp;maske_2.bmp;Dog 31.jpg;0.088;L   E   M   K;T   U   N   G;H   E   L   K;Z   U   N   T;yes;no;no;no;no;yes
7;1;31;2.5;negative;M   E   H   K;maske_1.bmp;maske_2.bmp;Gun 5.jpg;0.088;M   E   H   K;N   U   G   Z;H   E   M   K;T   U   N   G;yes;no;no;no;no;yes
7;1;32;2.5;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Destruction 2.jpg;0.088;K   L   E   H;Z   U   N   T;Z   U   N   G;K   L   E   M;no;no;no;yes;no;yes
7;2;1;5.0;negative;F   O   R   B;maske_1.bmp;maske_2.bmp;Fire 2.jpg;0.1;S   V   A   W;W   A   P   S;F   R   O   B;F   O   R   B;no;no;no;yes;no;yes
7;2;2;2.5;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Hangover 1.jpg;0.088;T   U   N   G;M   E   H   K;K   L   E   H;G   U   T   Z;no;yes;no;no;no;yes
7;2;3;5.0;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Sad face 1.jpg;0.1;F   O   R   B;V   A   P   S;B   O   R   F;S   P   A   V;no;no;yes;no;no;yes
7;2;4;5.0;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Angry face 3.jpg;0.1;V   A   P   S;J   O   R   B;B   J   O   F;S   P   A   V;no;no;yes;no;no;yes
7;2;5;5.0;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Gun 5.jpg;0.1;S   V   A   W;V   A   S   P;B   J   O   F;F   R   O   B;no;no;no;yes;no;yes
7;2;6;2.5;negative;K   E   L   M;maske_1.bmp;maske_2.bmp;Dog 31.jpg;0.088;T   U   G   Z;K   L   E   M;K   E   L   M;Z   U   N   T;no;no;yes;no;no;yes
7;2;7;5.0;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Massage 1.jpg;0.1;F   O   R   B;J   O   B   F;P   S   A   V;S   W   A   P;no;no;yes;no;yes;no
7;2;8;2.5;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Miserable face 2.jpg;0.088;H   E   L   K;N   U   G   Z;Z   U   N   G;L   E   M   K;no;no;yes;no;no;yes
7;2;9;2.5;positive;G   N   U   Z;maske_1.bmp;maske_2.bmp;Collaboration 1.jpg;0.088;L   E   M   K;K   L   E   M;G   N   U   Z;N   U   G   Z;no;no;yes;no;yes;no
7;2;10;2.5;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Soup 1.jpg;0.088;K   L   E   M;K   L   E   H;Z   U   N   T;G   U   T   Z;no;no;no;yes;yes;no
7;2;11;2.5;negative;L   E   M   K;maske_2.bmp;maske_1.bmp;Dog 23.jpg;0.088;G   U   T   Z;T   U   N   G;H   E   L   K;L   E   M   K;yes;no;no;no;no;yes
7;2;12;5.0;negative;R   O   B   F;maske_1.bmp;maske_2.bmp;Flood 1.jpg;0.1;J   O   B   F;S   W   A   P;R   O   B   F;P   S   A   V;no;no;yes;no;no;yes
7;2;13;5.0;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Fireworks 2.jpg;0.1;S   A   P   V;V   A   P   S;B   J   O   F;F   R   O   B;yes;no;no;no;yes;no
7;2;14;5.0;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Parade 1.jpg;0.1;J   O   B   F;S   W   A   P;W   A   P   S;J   O   R   B;no;yes;no;no;yes;no
7;2;15;2.5;positive;G   U   N   T;maske_1.bmp;maske_2.bmp;Dessert 8.jpg;0.088;T   U   G   Z;L   E   M   K;H   E   L   K;G   U   N   T;no;no;no;yes;yes;no
