subjnr;adaptation_target;us_valence;eval_rating;cs_filename
6;pas_5;negative;16;S   A   P   V
6;pas_2.5;positive;16;H   E   L   K
6;pas_5;negative;10;V   A   P   S
6;pas_5;negative;17;S   P   A   V
6;pas_5;negative;13;S   W   A   P
6;pas_5;negative;6;P   S   A   V
6;pas_5;positive;19;F   O   R   B
6;pas_2.5;positive;17;H   E   M   K
6;pas_2.5;negative;19;G   U   N   T
6;pas_2.5;positive;18;K   E   L   M
6;pas_2.5;positive;17;K   L   E   M
6;pas_5;positive;18;B   O   R   F
6;pas_5;positive;8;J   O   B   F
6;pas_2.5;negative;7;N   U   G   Z
6;pas_5;negative;8;W   A   P   S
6;pas_5;positive;11;F   R   O   B
6;pas_2.5;positive;13;K   E   H   M
6;pas_2.5;negative;13;Z   U   N   T
6;pas_5;positive;5;J   O   R   F
6;pas_5;negative;17;V   A   S   P
6;pas_2.5;negative;13;Z   U   N   G
6;pas_5;negative;6;S   V   A   W
6;pas_2.5;negative;6;G   U   T   Z
6;pas_2.5;positive;5;L   E   M   K
6;pas_5;positive;5;J   O   R   B
6;pas_5;positive;3;R   O   B   F
6;pas_2.5;negative;1;T   U   G   Z
6;pas_2.5;negative;10;T   U   N   G
6;pas_5;positive;6;B   J   O   F
6;pas_2.5;positive;19;K   L   E   H
6;pas_2.5;positive;15;M   E   H   K
6;pas_2.5;negative;7;G   N   U   Z
