subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
5,cs27.bmp,14,3385006,3388445
5,cs2.bmp,4,3389212,3393004
5,Wneu05_.bmp,8,3393622,3396232
5,W17.bmp,8,3396846,3398561
5,nw9.bmp,9,3399174,3401847
5,cs12.bmp,9,3402457,3404942
5,W19.bmp,9,3405551,3407855
5,cs24.bmp,7,3408470,3410706
5,nw1.bmp,12,3411316,3413747
5,nw8.bmp,11,3414365,3416298
5,PM04.bmp,6,3416904,3420156
5,nw19.bmp,9,3420764,3424939
5,cs22.bmp,10,3425551,3428649
5,nw17.bmp,9,3429261,3433037
5,cs23.bmp,12,3433647,3436002
5,nw11.bmp,6,3436613,3439724
5,nw30.bmp,10,3440342,3442171
5,W03.bmp,10,3442791,3445070
5,W02.bmp,11,3445683,3448079
5,cs15.bmp,12,3448695,3450817
5,W12.bmp,9,3451435,3454038
5,M16_.bmp,11,3454648,3457025
5,nw29.bmp,8,3457635,3459047
5,W04.bmp,7,3459659,3461985
5,cs4.bmp,7,3462601,3464848
5,nw6.bmp,9,3465461,3466843
5,nw13.bmp,9,3467458,3468666
5,W07.bmp,6,3469282,3471628
5,Mneu05_.bmp,5,3472236,3474954
5,cs26.bmp,9,3475566,3477121
5,cs11.bmp,6,3477730,3479782
5,nw22.bmp,11,3480390,3482833
5,cs9.bmp,5,3483448,3485135
5,nw2.bmp,7,3485752,3488844
5,M13.bmp,7,3489460,3490851
5,nw14.bmp,8,3491460,3493426
5,Mneu25_.bmp,5,3494035,3495810
5,Mneu11_.bmp,5,3496426,3498310
5,nw12.bmp,8,3498920,3500436
5,Wneu03_.bmp,7,3501049,3503211
5,cs5.bmp,11,3503824,3505413
5,W15.bmp,9,3506026,3507549
5,Wneu02_.bmp,9,3508166,3509665
5,W16.bmp,9,3510271,3511493
5,nw5.bmp,7,3512107,3515495
5,nw16.bmp,9,3516110,3517627
5,Mneu24_.bmp,7,3518237,3520208
5,nw20.bmp,12,3520826,3522783
5,M12.bmp,6,3523391,3525504
5,cs3.bmp,8,3526121,3529847
5,M07.bmp,6,3530461,3532196
5,cs21.bmp,12,3532803,3534631
5,nw18.bmp,8,3535237,3536492
5,cs25.bmp,9,3537111,3539185
5,cs28.bmp,9,3539804,3541757
5,cs19.bmp,8,3542367,3545256
5,nw25.bmp,8,3545872,3547241
5,nw28.bmp,8,3547851,3549164
5,Mneu20_.bmp,9,3549779,3551207
5,cs8.bmp,12,3551814,3553846
5,cs13.bmp,10,3554462,3556156
5,cs20.bmp,6,3556770,3559007
5,Wneu01_.bmp,8,3559614,3561253
5,Mneu04_.bmp,9,3561862,3563360
5,cs30.bmp,10,3563968,3566026
5,cs17.bmp,13,3566640,3568672
5,M18.bmp,5,3569286,3570832
5,M02_.bmp,6,3571438,3572913
5,nw26.bmp,9,3573522,3575165
5,nw23.bmp,9,3575783,3576851
5,nw4.bmp,9,3577462,3578901
5,nw10.bmp,9,3579511,3580814
5,cs16.bmp,7,3581426,3583752
5,cs6.bmp,7,3584370,3586814
5,Mneu18_.bmp,9,3587427,3589113
5,nw3.bmp,10,3589722,3591525
5,cs29.bmp,9,3592133,3594129
5,cs10.bmp,5,3594747,3596800
5,M14.bmp,9,3597416,3598916
5,Mneu01_.bmp,6,3599533,3601390
5,cs1.bmp,7,3602004,3604042
5,cs7.bmp,4,3604663,3607134
5,nw15.bmp,9,3607745,3609015
5,cs18.bmp,8,3609627,3611111
5,nw24.bmp,9,3611721,3612788
5,cs14.bmp,11,3613406,3615371
5,W20.bmp,9,3615980,3617470
5,nw27.bmp,10,3618086,3619497
5,nw21.bmp,9,3620110,3621565
5,nw7.bmp,10,3622183,3623450
