subject_nr,PAS,blocknr,trialnr,cs_filename,usval,type,cs_kategorie,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,visopt_15,visopt_14,visopt_13,visopt_12,visopt_11,visopt_10,visopt_9,visopt_8,visopt_7,visopt_6,visopt_5,visopt_4,visopt_3,visopt_2,visopt_1,visopt_15_resp,visopt_14_resp,visopt_13_resp,visopt_12_resp,visopt_11_resp,visopt_10_resp,visopt_9_resp,visopt_8_resp,visopt_7_resp,visopt_6_resp,visopt_5_resp,visopt_4_resp,visopt_3_resp,visopt_2_resp,visopt_1_resp,sicher1_resp,sicher2_resp,sicher3_resp,sicher4_resp,time_gesehen_form,time_sicher_form,time_trial_logger,csdur_A_prod,csdur_A_face,csdur_A_nonw,csdur_B_prod,csdur_B_face,csdur_B_nonw,csdur_C_prod,csdur_C_face,csdur_C_nonw,subjresp_A_prod_1,subjresp_A_prod_2,subjresp_A_prod_3,subjresp_A_prod_4,subjresp_A_face_1,subjresp_A_face_2,subjresp_A_face_3,subjresp_A_face_4,subjresp_A_nonw_1,subjresp_A_nonw_2,subjresp_A_nonw_3,subjresp_A_nonw_4,subjresp_B_prod_1,subjresp_B_prod_2,subjresp_B_prod_3,subjresp_B_prod_4,subjresp_B_face_1,subjresp_B_face_2,subjresp_B_face_3,subjresp_B_face_4,subjresp_B_nonw_1,subjresp_B_nonw_2,subjresp_B_nonw_3,subjresp_B_nonw_4,subjresp_C_prod_1,subjresp_C_prod_2,subjresp_C_prod_3,subjresp_C_prod_4,subjresp_C_face_1,subjresp_C_face_2,subjresp_C_face_3,subjresp_C_face_4,subjresp_C_nonw_1,subjresp_C_nonw_2,subjresp_C_nonw_3,subjresp_C_nonw_4
1,1,1,0,M13.bmp,pos,face,A,30,2150.JPG,1000,maske_7.bmp,500,maske_12.bmp,970,cs5.bmp,cs8.bmp,cs3.bmp,cs19.bmp,cs18.bmp,Wneu01_.bmp,M13.bmp,W19.bmp,Mneu01_.bmp,Mneu04_.bmp,nw19.bmp,nw15.bmp,nw27.bmp,nw14.bmp,nw4.bmp,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,249155,270020,276931,30,30,30,40,40,40,100,100,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,nw21.bmp,neg,nonword,B,40,9342.jpg,1000,maske_8.bmp,500,maske_12.bmp,960,cs29.bmp,cs4.bmp,cs13.bmp,cs2.bmp,cs24.bmp,Mneu24_.bmp,Mneu11_.bmp,W04.bmp,Mneu05_.bmp,M18.bmp,nw25.bmp,nw21.bmp,nw16.bmp,nw10.bmp,nw7.bmp,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,279685,294761,295973,30,30,30,40,40,40,100,100,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,nw9.bmp,neg,nonword,A,30,6311.jpg,1000,maske_10.bmp,500,maske_6.bmp,970,cs16.bmp,cs20.bmp,cs11.bmp,cs1.bmp,cs17.bmp,nw13.bmp,nw2.bmp,nw29.bmp,nw9.bmp,nw5.bmp,W12.bmp,Mneu20_.bmp,Mneu25_.bmp,W20.bmp,M16_.bmp,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,298474,313181,316752,30,30,30,40,40,40,100,100,100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,W07.bmp,neg,face,C,100,9520.JPG,1000,maske_7.bmp,500,maske_12.bmp,900,M14.bmp,Mneu18_.bmp,W07.bmp,M02_.bmp,M07.bmp,cs15.bmp,cs7.bmp,cs9.bmp,cs28.bmp,cs10.bmp,nw3.bmp,nw22.bmp,nw12.bmp,nw1.bmp,nw17.bmp,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,319254,325339,329297,30,30,30,40,40,40,100,100,100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,4,W17.bmp,pos,face,C,100,1721.jpg,1000,maske_7.bmp,500,maske_11.bmp,900,W17.bmp,M12.bmp,Wneu02_.bmp,Wneu03_.bmp,Wneu05_.bmp,cs26.bmp,cs21.bmp,cs25.bmp,cs12.bmp,cs14.bmp,nw28.bmp,nw18.bmp,nw8.bmp,nw30.bmp,nw6.bmp,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,331804,341056,344083,30,30,30,40,40,40,100,100,100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,1,1,5,nw19.bmp,pos,nonword,A,30,1710.JPG,1000,maske_4.bmp,500,maske_7.bmp,970,M13.bmp,Mneu04_.bmp,Mneu01_.bmp,W19.bmp,Wneu01_.bmp,cs18.bmp,cs5.bmp,cs3.bmp,cs19.bmp,cs8.bmp,nw14.bmp,nw4.bmp,nw15.bmp,nw19.bmp,nw27.bmp,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,346574,352725,354374,30,30,30,40,40,40,100,100,100,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,1,1,6,nw10.bmp,neg,nonword,B,40,3220.JPG,1000,maske_5.bmp,500,maske_12.bmp,960,cs13.bmp,cs24.bmp,cs29.bmp,cs4.bmp,cs2.bmp,M18.bmp,W04.bmp,Mneu24_.bmp,Mneu05_.bmp,Mneu11_.bmp,nw21.bmp,nw25.bmp,nw7.bmp,nw10.bmp,nw16.bmp,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,356853,359330,360525,30,30,30,40,40,40,100,100,100,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
1,1,1,7,cs16.bmp,neg,product,A,30,3300.jpg,1000,maske_7.bmp,500,maske_1.bmp,970,nw2.bmp,nw5.bmp,nw29.bmp,nw9.bmp,nw13.bmp,Mneu25_.bmp,W12.bmp,W20.bmp,Mneu20_.bmp,M16_.bmp,cs16.bmp,cs1.bmp,cs17.bmp,cs11.bmp,cs20.bmp,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,363014,370790,372703,30,30,30,40,40,40,100,100,100,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
1,1,1,8,W12.bmp,neg,face,A,30,9340.JPG,1000,maske_1.bmp,500,maske_3.bmp,970,cs11.bmp,cs20.bmp,cs1.bmp,cs17.bmp,cs16.bmp,Mneu20_.bmp,Mneu25_.bmp,M16_.bmp,W20.bmp,W12.bmp,nw2.bmp,nw29.bmp,nw13.bmp,nw9.bmp,nw5.bmp,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,375223,378627,379871,30,30,30,40,40,40,100,100,100,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
1,1,1,9,cs5.bmp,pos,product,A,30,1460.JPG,1000,maske_10.bmp,500,maske_2.bmp,970,cs5.bmp,cs8.bmp,cs3.bmp,cs19.bmp,cs18.bmp,M13.bmp,W19.bmp,Mneu01_.bmp,Mneu04_.bmp,Wneu01_.bmp,nw19.bmp,nw27.bmp,nw14.bmp,nw15.bmp,nw4.bmp,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,382363,390393,392931,30,30,30,40,40,40,100,100,100,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
