subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmast_duration,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_practice_impression_rating,time_practice_trial_logger
subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmast_duration,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_practice_impression_rating,time_practice_trial_logger
8,2,0,W19.bmp,neg,face,30,9007.jpg,1420,maske_1.bmp,50,yes,no,no,no,no,no,554835,yes,no,566763,572693
8,2,1,empty2.png,neg,empty,30,9331.jpg,1420,maske_10.bmp,50,yes,no,no,no,no,no,576015,no,yes,577975,579670
8,2,2,cs12.bmp,neg,prod,30,2141.jpg,1420,maske_4.bmp,50,yes,no,no,no,no,no,582955,yes,no,586433,588266
8,2,3,empty3.png,pos,empty,30,2050.jpg,1420,maske_6.bmp,50,yes,no,no,no,no,no,591585,no,yes,597452,600108
8,2,4,nw12.bmp,neg,word,30,2276.jpg,1420,maske_12.bmp,50,yes,no,no,no,no,no,603385,yes,no,606605,615558
8,2,5,Mneu04_.bmp,pos,face,40,4626.jpg,1410,maske_4.bmp,50,no,no,no,no,yes,no,618844,no,yes,670312,680841
8,2,6,empty7.png,pos,empty,40,2209.jpg,1410,maske_3.bmp,50,yes,no,no,no,no,no,684154,no,yes,686828,688651
8,2,7,cs16.bmp,neg,prod,40,9432.jpg,1410,maske_9.bmp,50,yes,no,no,no,no,no,691935,yes,no,698805,700688
8,2,8,empty1.png,pos,empty,40,2080.jpg,1410,maske_12.bmp,50,yes,no,no,no,no,no,703984,no,yes,707170,709300
8,2,9,nw16.bmp,neg,word,40,9342.jpg,1410,maske_11.bmp,50,yes,no,no,no,no,no,712585,yes,no,715162,716227
8,2,10,M13.bmp,pos,face,50,2311.jpg,1400,maske_6.bmp,50,no,no,yes,no,no,no,719514,no,yes,772223,774350
8,2,11,empty6.png,pos,empty,50,2260.JPG,1400,maske_12.bmp,50,no,yes,no,no,no,no,777635,yes,no,828576,829975
8,2,12,cs20.bmp,pos,prod,50,5830.JPG,1400,maske_2.bmp,50,yes,no,no,no,no,no,833284,no,yes,836146,837351
8,2,13,empty3.png,pos,empty,50,1920.JPG,1400,maske_1.bmp,50,yes,no,no,no,no,no,840644,no,yes,842486,843443
