subject_nr,condition,count_ratings_sequence,cs_filename_rating,us_valenz,cs_type,cs_duration,eval_rating,time_ratings_form,time_ratings_delay
21,1,0,W02.bmp,neg,face,100,2,2258758,2264626
21,1,1,cs9.bmp,neg,prod,60,3,2265312,2268202
21,1,2,cs11.bmp,neg,prod,50,3,2268842,2270977
21,1,3,nw5.bmp,pos,word,60,2,2271622,2275457
21,1,4,cs24.bmp,neg,prod,100,3,2276102,2279258
21,1,5,cs8.bmp,pos,prod,80,10,2279904,2282666
21,1,6,cs2.bmp,pos,prod,60,11,2283301,2287785
21,1,7,nw18.bmp,neg,word,80,2,2288422,2290905
21,1,8,nw27.bmp,neg,word,60,1,2291542,2294850
21,1,9,nw22.bmp,pos,word,40,3,2295494,2298218
21,1,10,nw9.bmp,pos,word,70,3,2298862,2300666
21,1,11,nw19.bmp,pos,word,50,3,2301302,2303449
21,1,12,M07.bmp,pos,face,70,3,2304110,2308097
21,1,13,nw20.bmp,neg,word,30,2,2308744,2310657
21,1,14,nw25.bmp,neg,word,90,2,2311302,2313154
21,1,15,nw30.bmp,neg,word,70,2,2313793,2315634
21,1,16,Mneu20_.bmp,pos,face,40,4,2316275,2319074
21,1,17,nw11.bmp,neg,word,40,6,2319712,2322297
21,1,18,nw8.bmp,neg,word,100,8,2322942,2324649
21,1,19,M14.bmp,pos,face,90,4,2325291,2327329
21,1,20,Wneu03_.bmp,pos,face,100,7,2327971,2331394
21,1,21,cs15.bmp,pos,prod,30,9,2332033,2334450
21,1,22,cs17.bmp,neg,prod,70,11,2335095,2339449
21,1,23,cs13.bmp,pos,prod,70,12,2340094,2342145
21,1,24,cs21.bmp,neg,prod,30,13,2342791,2344689
21,1,25,M16_.bmp,pos,face,50,5,2345334,2347306
21,1,26,W04.bmp,neg,face,90,5,2347954,2350274
21,1,27,Mneu05_.bmp,neg,face,40,13,2350913,2354306
21,1,28,M02_.bmp,pos,face,30,6,2354954,2356761
21,1,29,cs3.bmp,neg,prod,80,10,2357402,2359881
21,1,30,Wneu02_.bmp,pos,face,80,9,2360523,2362865
21,1,31,Wneu05_.bmp,neg,face,50,9,2363511,2365218
21,1,32,nw21.bmp,pos,word,100,9,2365862,2368754
21,1,33,cs10.bmp,pos,prod,50,3,2369394,2371554
21,1,34,nw14.bmp,neg,word,50,3,2372193,2375649
21,1,35,Mneu01_.bmp,pos,face,60,5,2376293,2378625
21,1,36,cs29.bmp,pos,prod,40,5,2379272,2381530
21,1,37,Mneu24_.bmp,neg,face,30,5,2382173,2384682
21,1,38,W03.bmp,neg,face,80,5,2385321,2387250
21,1,39,nw2.bmp,pos,word,90,5,2387892,2389754
21,1,40,cs1.bmp,neg,prod,40,5,2390392,2391929
21,1,41,nw10.bmp,pos,word,80,9,2392572,2395121
21,1,42,Mneu25_.bmp,neg,face,60,6,2395761,2397865
21,1,43,W07.bmp,neg,face,70,6,2398513,2400362
21,1,44,cs22.bmp,neg,prod,90,10,2401004,2404258
21,1,45,nw6.bmp,pos,word,30,6,2404903,2406594
21,1,46,cs30.bmp,pos,prod,100,18,2407231,2409833
21,1,47,cs6.bmp,pos,prod,90,11,2410472,2412577
