subject_nr,condition,trialnr,cs_filename,us_valenz,cs_type,cs_duration,us_filename,us_duration,postmask_filename,postmask_duration,time_cs_us,time_postmask_us,time_us,perception1_response,perception2_response,perception3_response,perception4_response,perception5_response,perception6_response,time_practice_perception_rating,impression1_response,impression2_response,time_impression_rating,time_practice_trial_logger
14,2,0,cs30.bmp,pos,prod,90,2150.JPG,1360,maske_7.bmp,50,1890028,1890128,1890188,no,no,yes,no,no,no,1891548,no,yes,1894329,1896419
14,2,1,cs10.bmp,neg,prod,60,3160.JPG,1390,maske_2.bmp,50,1898257,1898327,1898387,no,yes,no,no,no,no,1899777,yes,no,1901628,1903529
14,2,2,PM04.bmp,pos,face,100,1440.jpg,1400,maske_10.bmp,0,1905338,1898327,1905448,no,no,no,no,no,yes,1906848,no,yes,1909630,1910889
14,2,3,cs3.bmp,pos,prod,60,2395.jpg,1390,maske_12.bmp,50,1912707,1912777,1912837,no,no,yes,no,no,no,1914227,no,yes,1917028,1917868
14,2,4,Mneu05_.bmp,neg,face,80,9041.jpg,1370,maske_6.bmp,50,1919687,1919777,1919837,no,no,no,no,no,yes,1921207,yes,no,1924920,1926178
14,2,5,nw14.bmp,pos,word,40,7330.JPG,1410,maske_10.bmp,50,1927987,1928037,1928097,no,yes,no,no,no,no,1929507,no,yes,1931370,1933258
14,2,6,empty7.png,neg,empty,30,9520.JPG,1420,maske_8.bmp,50,1935086,1935126,1935186,no,yes,no,no,no,no,1936607,no,yes,1943128,1944588
14,2,7,nw4.bmp,neg,word,70,9000.jpg,1380,maske_3.bmp,50,1946417,1946497,1946557,no,no,no,no,yes,no,1947937,yes,no,1950718,1951968
14,2,8,W12.bmp,pos,face,70,2150.JPG,1380,maske_6.bmp,50,1953816,1953896,1953956,no,no,no,no,yes,no,1955336,yes,no,1958119,1959169
14,2,9,cs6.bmp,pos,prod,40,7330.JPG,1410,maske_4.bmp,50,1960987,1961037,1961097,no,no,yes,no,no,no,1962507,no,yes,1965288,1970107
14,2,10,cs14.bmp,neg,prod,30,2205.jpg,1420,maske_12.bmp,50,1972026,1972066,1972126,yes,no,no,no,no,no,1973546,yes,no,1975398,1977068
14,2,11,nw11.bmp,pos,word,100,2091.jpg,1400,maske_8.bmp,0,1978866,1972066,1978976,no,no,no,no,no,yes,1980376,no,yes,1982228,1983267
14,2,12,nw25.bmp,pos,word,50,4626.jpg,1400,maske_7.bmp,50,1985086,1985146,1985206,yes,no,no,no,no,no,1986606,no,yes,1989397,1990648
14,2,13,cs19.bmp,neg,prod,100,2900.1.jpg,1400,maske_9.bmp,0,1992466,1985146,1992576,no,no,no,no,no,yes,1993976,yes,no,1995828,1997287
14,2,14,cs28.bmp,pos,prod,50,5831.jpg,1400,maske_2.bmp,50,1999096,1999156,1999216,no,no,yes,no,no,no,2000616,yes,no,2004367,2007297
14,2,15,cs8.bmp,pos,prod,70,2260.JPG,1380,maske_1.bmp,50,2009146,2009226,2009286,no,no,no,no,yes,no,2010666,yes,no,2014368,2016247
14,2,16,empty2.png,neg,empty,40,2205.jpg,1410,maske_12.bmp,50,2018055,2018106,2018165,no,yes,no,no,no,no,2019576,yes,no,2021437,2024366
14,2,17,nw5.bmp,neg,word,50,3220.JPG,1400,maske_1.bmp,50,2026176,2026236,2026296,no,yes,no,no,no,no,2027696,yes,no,2034207,2035667
14,2,18,nw27.bmp,pos,word,30,1710.JPG,1420,maske_4.bmp,50,2037505,2037545,2037605,no,no,no,yes,no,no,2039025,no,yes,2050177,2051636
14,2,19,empty5.png,pos,empty,30,2216.jpg,1420,maske_1.bmp,50,2053445,2053485,2053545,yes,no,no,no,no,no,2054965,no,yes,2056826,2057866
14,2,20,cs2.bmp,neg,prod,70,9180.JPG,1380,maske_1.bmp,50,2059714,2059794,2059854,no,no,no,yes,no,no,2061235,no,yes,2064057,2066156
14,2,21,W03.bmp,neg,face,30,9415.jpg,1420,maske_6.bmp,50,2068075,2068115,2068175,no,no,no,no,yes,no,2069595,yes,no,2077907,2079156
14,2,22,nw20.bmp,neg,word,90,9530.JPG,1360,maske_9.bmp,50,2080975,2081075,2081135,no,no,no,no,yes,no,2082495,yes,no,2084347,2086436
14,2,23,nw2.bmp,pos,word,60,2550.jpg,1390,maske_6.bmp,50,2088254,2088324,2088384,no,no,no,yes,no,no,2089774,no,yes,2092556,2093386
14,2,24,cs26.bmp,neg,prod,90,2053.JPG,1360,maske_5.bmp,50,2095204,2095304,2095365,no,no,no,no,no,yes,2096725,yes,no,2099507,2100556
14,2,25,nw8.bmp,pos,word,90,2345.jpg,1360,maske_2.bmp,50,2102374,2102474,2102534,no,no,no,no,yes,no,2103894,no,yes,2106676,2107305
14,2,26,Wneu05_.bmp,pos,face,80,1463.jpg,1370,maske_6.bmp,50,2109174,2109264,2109324,no,no,no,no,no,yes,2110694,no,yes,2113507,2115176
14,2,27,cs17.bmp,neg,prod,50,9331.jpg,1400,maske_9.bmp,50,2116994,2117054,2117114,yes,no,no,no,no,no,2118514,yes,no,2122225,2123265
14,2,28,empty8.png,pos,empty,40,1460.JPG,1410,maske_12.bmp,50,2125084,2125134,2125194,no,yes,no,no,no,no,2126604,no,yes,2128455,2129285
14,2,29,cs29.bmp,pos,prod,30,5830.JPG,1420,maske_12.bmp,50,2131104,2131144,2131204,yes,no,no,no,no,no,2132624,no,yes,2134475,2135305
14,2,30,M14.bmp,pos,face,50,8461.jpg,1400,maske_1.bmp,50,2137124,2137184,2137244,no,no,no,yes,no,no,2138644,no,yes,2143285,2145795
14,2,31,W02.bmp,pos,face,40,2260.JPG,1410,maske_3.bmp,50,2147623,2147673,2147733,no,no,no,no,yes,no,2149143,no,yes,2155616,2156655
14,2,32,cs5.bmp,pos,prod,100,7502.jpg,1400,maske_7.bmp,0,2158493,2147673,2158603,no,no,no,no,no,yes,2160003,no,yes,2162825,2163654
14,2,33,nw22.bmp,neg,word,40,9290.jpg,1410,maske_11.bmp,50,2165474,2165524,2165584,no,no,yes,no,no,no,2166994,yes,no,2169785,2172295
14,2,34,empty8.png,neg,empty,50,2455.jpg,1400,maske_2.bmp,50,2174113,2174173,2174233,yes,no,no,no,no,no,2175633,yes,no,2177484,2181674
14,2,35,Mneu11_.bmp,neg,face,90,9331.jpg,1360,maske_9.bmp,50,2183494,2183594,2183654,no,no,no,no,no,yes,2185014,yes,no,2187795,2189254
14,2,36,M02_.bmp,neg,face,60,2141.jpg,1390,maske_10.bmp,50,2191063,2191133,2191193,no,no,no,no,no,yes,2192583,yes,no,2197225,2198484
14,2,37,nw7.bmp,neg,word,30,9520.JPG,1420,maske_2.bmp,50,2200293,2200333,2200393,no,yes,no,no,no,no,2201813,yes,no,2204604,2206274
14,2,38,M16_.bmp,neg,face,50,2750.jpg,1400,maske_12.bmp,50,2208183,2208243,2208303,no,no,no,no,no,yes,2209703,yes,no,2214405,2216074
14,2,39,cs15.bmp,pos,prod,80,4626.jpg,1370,maske_8.bmp,50,2218003,2218093,2218153,no,no,no,yes,no,no,2219523,yes,no,2227824,2230963
14,2,40,M07.bmp,pos,face,90,2209.jpg,1360,maske_11.bmp,50,2232792,2232892,2232952,no,no,no,no,yes,no,2234312,yes,no,2237085,2238334
14,2,41,empty4.png,pos,empty,50,1710.JPG,1400,maske_11.bmp,50,2240162,2240222,2240282,no,yes,no,no,no,no,2241683,no,yes,2243543,2244794
14,2,42,nw10.bmp,neg,word,100,9180.JPG,1400,maske_7.bmp,0,2246602,2240222,2246712,no,no,no,no,no,yes,2248112,no,yes,2250884,2254024
14,2,43,cs22.bmp,neg,prod,80,6831.jpg,1370,maske_10.bmp,50,2255832,2255922,2255982,no,no,no,yes,no,no,2257352,yes,no,2261074,2262323
14,2,44,W16.bmp,neg,face,40,6831.jpg,1410,maske_2.bmp,50,2264232,2264282,2264342,no,yes,no,no,no,no,2265752,yes,no,2267643,2268893
14,2,45,W20.bmp,neg,face,70,2455.jpg,1380,maske_11.bmp,50,2270702,2270782,2270842,no,no,no,no,yes,no,2272222,yes,no,2274064,2275314
