subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_dk,time_im_form,time_im_blank
27,EC_only,inclusion,EC_only,inclusion,0,kantekt,negative,50_60,paired_cs,9330.bmp,7380.bmp,9920.bmp,2900.bmp,9330.bmp,9630.bmp,3300.bmp,no,no,no,no,no,no,yes,2073130,2076323
27,EC_only,inclusion,EC_only,inclusion,1,faloilo,positive,70_80,paired_cs,2311.bmp,5629.bmp,2550.bmp,8190.bmp,7502.bmp,2091.bmp,2311.bmp,no,no,no,no,yes,no,no,2077348,2079624
27,EC_only,inclusion,EC_only,inclusion,2,imstind,negative,30_40,paired_cs,3300.bmp,9006.bmp,9430.bmp,9435.bmp,9561.bmp,3300.bmp,9007.bmp,no,no,no,no,no,no,yes,2080660,2081422
27,EC_only,inclusion,EC_only,inclusion,3,gowann,positive,30_40,paired_cs,7230.bmp,8496.bmp,8330.bmp,8501.bmp,4622.bmp,7230.bmp,8420.bmp,no,no,no,no,no,no,yes,2082446,2083123
27,EC_only,inclusion,EC_only,inclusion,4,plonim,positive,50_60,paired_cs,2058.bmp,2058.bmp,2070.bmp,8540.bmp,8190.bmp,5994.bmp,2209.bmp,no,no,no,no,no,no,yes,2084147,2088535
27,EC_only,inclusion,EC_only,inclusion,5,trupfan,negative,90_10,paired_cs,2900.bmp,2900.bmp,6242.bmp,9220.bmp,9280.bmp,6555.bmp,2276.bmp,no,no,no,no,no,no,yes,2089559,2091921
27,EC_only,inclusion,EC_only,inclusion,6,sprong,positive,90_10,paired_cs,5994.bmp,8170.bmp,5830.bmp,1999.bmp,7580.bmp,5994.bmp,1463.bmp,no,no,no,no,no,no,yes,2092949,2095061
27,EC_only,inclusion,EC_only,inclusion,7,permife,positive,30_40,paired_cs,1440.bmp,7470.bmp,2791.bmp,2311.bmp,7330.bmp,1440.bmp,2070.bmp,no,no,yes,no,no,no,no,2096085,2098788
27,EC_only,inclusion,EC_only,inclusion,8,novuui,positive,50_60,paired_cs,8420.bmp,8420.bmp,2160.bmp,2040.bmp,8496.bmp,1463.bmp,4606.bmp,no,yes,no,no,no,no,no,2099812,2103597
27,EC_only,inclusion,EC_only,inclusion,9,botuyn,positive,70_80,paired_cs,2900.2.bmp,8080.bmp,1440.bmp,8370.bmp,1710.bmp,2900.2.bmp,2057.bmp,no,no,no,no,no,no,yes,2104621,2105801
27,EC_only,inclusion,EC_only,inclusion,10,jaciyn,negative,NA,neither,none_correct,9340.bmp,9520.bmp,9560.bmp,9182.bmp,2276.bmp,6242.bmp,no,no,no,no,no,no,yes,2106830,2107169
27,EC_only,inclusion,EC_only,inclusion,11,fonstir,negative,NA,neither,none_correct,9041.bmp,6555.bmp,9432.bmp,6831.bmp,6311.bmp,6530.bmp,no,no,no,no,no,no,yes,2108194,2108449
27,EC_only,inclusion,EC_only,inclusion,12,hilejin,positive,30_40,paired_cs,1463.bmp,7502.bmp,2091.bmp,7350.bmp,1463.bmp,5594.bmp,2311.bmp,no,no,no,no,no,no,yes,2109474,2109813
27,EC_only,inclusion,EC_only,inclusion,13,zofoll,negative,70_80,paired_cs,9435.bmp,9561.bmp,9630.bmp,2053.bmp,7380.bmp,2375.1.bmp,9435.bmp,no,no,no,no,no,no,yes,2110837,2111092
27,EC_only,inclusion,EC_only,inclusion,14,misukor,negative,90_10,distractor,none_correct,9920.bmp,9830.bmp,6530.bmp,9421.bmp,9404.bmp,9050.bmp,no,no,no,no,no,no,yes,2112116,2112375
27,EC_only,inclusion,EC_only,inclusion,15,ampfong,positive,50_60,paired_cs,8470.bmp,4220.bmp,5831.bmp,2071.bmp,8200.bmp,8540.bmp,8470.bmp,no,no,no,no,no,no,yes,2113399,2113654
27,EC_only,inclusion,EC_only,inclusion,16,uhnong,positive,NA,neither,none_correct,2071.bmp,5831.bmp,8470.bmp,4220.bmp,2900.2.bmp,1710.bmp,no,no,no,no,no,no,yes,2114678,2115016
27,EC_only,inclusion,EC_only,inclusion,17,ubajec,negative,30_40,distractor,none_correct,9500.bmp,9340.bmp,9180.bmp,9560.bmp,9007.bmp,1525.bmp,no,no,no,no,no,no,yes,2116041,2116299
27,EC_only,inclusion,EC_only,inclusion,18,umeuken,positive,70_80,distractor,none_correct,2040.bmp,7230.bmp,8470.bmp,2209.bmp,8170.bmp,5460.bmp,no,no,no,no,no,no,yes,2117323,2117664
27,EC_only,inclusion,EC_only,inclusion,19,fuhrrud,positive,90_10,distractor,none_correct,5910.bmp,7350.bmp,2791.bmp,2340.bmp,8170.bmp,8370.bmp,no,no,no,no,no,no,yes,2118688,2119027
27,EC_only,inclusion,EC_only,inclusion,20,obacu,negative,NA,neither,none_correct,9330.bmp,9435.bmp,9400.bmp,9500.bmp,9432.bmp,6838.bmp,no,no,no,no,no,no,yes,2120051,2120306
27,EC_only,inclusion,EC_only,inclusion,21,ursitz,positive,NA,neither,none_correct,4622.bmp,2050.bmp,5629.bmp,8420.bmp,8496.bmp,7580.bmp,no,no,no,no,no,no,yes,2121330,2121668
27,EC_only,inclusion,EC_only,inclusion,22,ikzunt,negative,50_60,distractor,none_correct,9265.bmp,2710.bmp,6020.bmp,3160.bmp,9050.bmp,6831.bmp,no,no,no,no,no,no,yes,2122692,2122949
27,EC_only,inclusion,EC_only,inclusion,23,furasti,negative,NA,neither,none_correct,3550.bmp,9280.bmp,8485.bmp,9102.bmp,2141.bmp,6530.bmp,no,no,no,no,no,no,yes,2123973,2124227
27,EC_only,inclusion,EC_only,inclusion,24,frask,negative,90_10,paired_cs,6570.1.bmp,9331.bmp,9006.bmp,3160.bmp,6570.1.bmp,2710.bmp,9041.bmp,no,no,no,no,no,no,yes,2125252,2125338
27,EC_only,inclusion,EC_only,inclusion,25,tewok,negative,30_40,paired_cs,9220.bmp,9182.bmp,1525.bmp,9830.bmp,9050.bmp,9280.bmp,9220.bmp,no,no,no,no,no,no,yes,2126362,2126616
27,EC_only,inclusion,EC_only,inclusion,26,nalber,negative,70_80,distractor,none_correct,9220.bmp,9180.bmp,9421.bmp,3550.bmp,9404.bmp,9920.bmp,no,no,no,no,no,no,yes,2127641,2127727
27,EC_only,inclusion,EC_only,inclusion,27,pimuide,positive,NA,neither,none_correct,2340.bmp,5910.bmp,2160.bmp,8370.bmp,1650.bmp,2900.2.bmp,no,no,no,no,no,no,yes,2128754,2128841
27,EC_only,inclusion,EC_only,inclusion,28,banzon,positive,30_40,distractor,none_correct,2160.bmp,2550.bmp,5629.bmp,4606.bmp,2150.bmp,7502.bmp,no,no,no,no,no,no,yes,2129865,2130119
27,EC_only,inclusion,EC_only,inclusion,29,larnist,negative,70_80,paired_cs,7380.bmp,2750.bmp,9000.bmp,7380.bmp,9830.bmp,9421.bmp,9180.bmp,no,no,no,no,no,no,yes,2131144,2131902
27,EC_only,inclusion,EC_only,inclusion,30,offukt,positive,90_10,paired_cs,1710.bmp,2550.bmp,1710.bmp,8200.bmp,2071.bmp,1999.bmp,8501.bmp,no,no,no,no,no,no,yes,2132926,2133519
