subject_nr,learning_condition,memory_condition,trial_nr,trial_type,cs_nr,block,blockhalf,cs_dur_level,filler,masking,us_valence,us_filename,cs_filename,mask,cs_duration,postmask_duration,us_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,paired_opt_1,paired_opt_2,paired_opt_3,paired_opt_4,vf_neg,vf_pos,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,time_blank_show,time_fixation_dot_show,time_cs_us_show,time_postmask_show,time_us_show,time_valence_focus,time_subjective_rating,time_identification,time_logger
52,EC_only,inclusion,0,valence_only,cs20,1,first,70_80,no,yes,negative,2710.bmp,oesgubi,maske_4.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87055,87958,88061,88134,88187,90567,NA,NA,93547
52,EC_only,inclusion,1,valence_only,cs12,1,first,50_60,no,yes,negative,2276.bmp,gowann,maske_8.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93678,94581,94684,94747,94800,97190,NA,NA,100405
52,EC_only,inclusion,2,valence_only,cs17,1,first,70_80,no,yes,positive,8330.bmp,virlog,maske_4.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100545,101449,101552,101626,101679,104059,NA,NA,105061
52,EC_only,inclusion,3,valence_only,cs6,1,first,30_40,no,yes,negative,2375.1.bmp,molkate,maske_4.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105183,106087,106190,106233,106286,108696,NA,NA,109466
52,EC_only,inclusion,4,valence_only,cs14,1,first,50_60,no,yes,negative,6311.bmp,uhnong,maske_11.bmp,50,50,2400,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109597,110501,110604,110657,110710,113110,NA,NA,114332
52,EC_only,inclusion,5,valence_only,cs22,1,first,90_10,no,no,negative,9430.bmp,ubajec,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114481,115384,115487,115580,115633,117993,NA,NA,118531
52,EC_only,inclusion,6,valence_only,cs11,1,first,50_60,no,yes,positive,8496.bmp,furasti,maske_10.bmp,60,50,2390,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118663,119566,119669,119732,119785,122176,NA,NA,124506
52,EC_only,inclusion,7,valence_only,cs24,1,first,90_10,no,no,negative,9000.bmp,hiwawa,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124656,125559,125662,125765,125818,128168,NA,NA,128633
52,EC_only,inclusion,8,valence_only,cs23,1,first,90_10,no,no,positive,4622.bmp,stodeen,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128782,129686,129789,129892,129945,132295,NA,NA,133536
52,EC_only,inclusion,9,valence_only,cs10,1,first,50_60,no,yes,negative,9560.bmp,pimuide,maske_5.bmp,50,50,2400,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133667,134571,134674,134727,134780,137180,NA,NA,137717
52,EC_only,inclusion,10,valence_only,cs18,1,first,70_80,no,yes,negative,9400.bmp,muoror,maske_6.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137858,138761,138864,138947,139000,141370,NA,NA,141754
52,EC_only,inclusion,11,valence_only,cs21,1,first,90_10,no,no,positive,2791.bmp,ikzunt,NA,90,50,2360,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141912,142815,142918,143011,143064,145424,NA,NA,145884
52,EC_only,inclusion,12,valence_only,cs7,1,first,30_40,no,yes,positive,2057.bmp,trupfan,maske_6.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146005,146908,147011,147044,147097,149517,NA,NA,149983
52,EC_only,inclusion,13,valence_only,cs1,1,first,30_40,yes,yes,positive,2050.bmp,NA,maske_3.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150094,150997,151100,151133,151186,153606,NA,NA,154157
52,EC_only,inclusion,14,valence_only,cs3,1,first,30_40,no,yes,positive,1650.bmp,plonim,maske_5.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154278,155181,155284,155327,155380,157790,NA,NA,158870
52,EC_only,inclusion,15,valence_only,cs16,1,first,70_80,no,yes,negative,9340.bmp,ampfong,maske_3.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159012,159915,160018,160101,160154,162524,NA,NA,162987
52,EC_only,inclusion,16,valence_only,cs9,1,first,50_60,no,yes,positive,2160.bmp,zofoll,maske_6.bmp,50,50,2400,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163126,164030,164133,164186,164239,166639,NA,NA,167175
52,EC_only,inclusion,17,valence_only,cs8,1,first,30_40,no,yes,negative,9180.bmp,botuyn,maske_11.bmp,30,50,2420,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167296,168199,168302,168335,168388,170808,NA,NA,171275
52,EC_only,inclusion,18,valence_only,cs25,1,first,90_10,no,no,positive,2070.bmp,kantekt,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171433,172336,172440,172543,172596,174946,NA,NA,175561
52,EC_only,inclusion,19,valence_only,cs5,1,first,30_40,no,yes,positive,1463.bmp,faloilo,maske_5.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175682,176585,176688,176731,176784,179194,NA,NA,180664
52,EC_only,inclusion,20,valence_only,cs15,1,first,70_80,no,yes,positive,2900.2.bmp,kibono,maske_2.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180823,181726,181829,181902,181955,184335,NA,NA,184719
52,EC_only,inclusion,21,valence_only,cs26,1,first,90_10,no,no,negative,9102.bmp,misukor,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184876,185779,185882,185985,186038,188388,NA,NA,189002
