subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank
22,EC_subj_only,normal,EC_subj_only,normal,0,banzon,positive,70_80,paired_cs,8,2414788,2429234
22,EC_subj_only,normal,EC_subj_only,normal,1,larnist,negative,90_10,paired_cs,2,2430253,2432747
22,EC_subj_only,normal,EC_subj_only,normal,2,nalber,negative,70_80,paired_cs,2,2433766,2437286
22,EC_subj_only,normal,EC_subj_only,normal,3,plistuk,NA,NA,neither,12,2438305,2441352
22,EC_subj_only,normal,EC_subj_only,normal,4,pimuide,positive,30_40,paired_cs,5,2442371,2445520
22,EC_subj_only,normal,EC_subj_only,normal,5,muoror,NA,NA,neither,5,2446539,2449926
22,EC_subj_only,normal,EC_subj_only,normal,6,imstind,NA,NA,neither,3,2450944,2453088
22,EC_subj_only,normal,EC_subj_only,normal,7,faloilo,negative,50_60,paired_cs,11,2454107,2458167
22,EC_subj_only,normal,EC_subj_only,normal,8,trupfan,NA,NA,neither,12,2459186,2462001
22,EC_subj_only,normal,EC_subj_only,normal,9,kantekt,NA,NA,neither,11,2463019,2465832
22,EC_subj_only,normal,EC_subj_only,normal,10,plonim,negative,50_60,paired_cs,7,2466850,2469776
22,EC_subj_only,normal,EC_subj_only,normal,11,jaciyn,negative,90_10,paired_cs,2,2470794,2475651
22,EC_subj_only,normal,EC_subj_only,normal,12,medan,positive,90_10,paired_cs,2,2476669,2478806
22,EC_subj_only,normal,EC_subj_only,normal,13,gowann,NA,NA,neither,11,2479824,2482753
22,EC_subj_only,normal,EC_subj_only,normal,14,doscho,NA,NA,neither,9,2483772,2486587
22,EC_subj_only,normal,EC_subj_only,normal,15,zofoll,NA,NA,neither,13,2487605,2492688
22,EC_subj_only,normal,EC_subj_only,normal,16,fuhrrud,positive,30_40,paired_cs,15,2493707,2497221
22,EC_subj_only,normal,EC_subj_only,normal,17,hiwawa,NA,NA,neither,15,2498239,2501972
22,EC_subj_only,normal,EC_subj_only,normal,18,kibono,positive,50_60,paired_cs,15,2502991,2505358
22,EC_subj_only,normal,EC_subj_only,normal,19,offukt,positive,30_40,paired_cs,14,2506376,2508755
22,EC_subj_only,normal,EC_subj_only,normal,20,polust,positive,70_80,paired_cs,6,2509773,2513163
22,EC_subj_only,normal,EC_subj_only,normal,21,ikzunt,NA,NA,neither,6,2514181,2516554
22,EC_subj_only,normal,EC_subj_only,normal,22,emkruas,NA,NA,neither,5,2517574,2519375
22,EC_subj_only,normal,EC_subj_only,normal,23,stodeen,negative,30_40,paired_cs,13,2520394,2522534
22,EC_subj_only,normal,EC_subj_only,normal,24,schese,NA,NA,neither,13,2523552,2525458
22,EC_subj_only,normal,EC_subj_only,normal,25,virlog,negative,50_60,paired_cs,4,2526476,2528951
22,EC_subj_only,normal,EC_subj_only,normal,26,botuyn,positive,50_60,paired_cs,6,2529969,2533923
22,EC_subj_only,normal,EC_subj_only,normal,27,godacht,positive,50_60,paired_cs,16,2534942,2539830
22,EC_subj_only,normal,EC_subj_only,normal,28,noste,negative,30_40,paired_cs,15,2540848,2542653
22,EC_subj_only,normal,EC_subj_only,normal,29,kiwehon,NA,NA,neither,10,2543671,2547750
22,EC_subj_only,normal,EC_subj_only,normal,30,ursitz,NA,NA,neither,9,2548769,2551926
22,EC_subj_only,normal,EC_subj_only,normal,31,permife,positive,90_10,paired_cs,7,2552944,2555537
22,EC_subj_only,normal,EC_subj_only,normal,32,ubajec,negative,70_80,paired_cs,6,2556556,2559255
22,EC_subj_only,normal,EC_subj_only,normal,33,sebjukt,positive,70_80,paired_cs,4,2560273,2562306
22,EC_subj_only,normal,EC_subj_only,normal,34,frask,negative,30_40,paired_cs,4,2563325,2565687
22,EC_subj_only,normal,EC_subj_only,normal,35,uwimor,negative,70_80,paired_cs,4,2566706,2569517
22,EC_subj_only,normal,EC_subj_only,normal,36,umeuken,NA,NA,neither,4,2570535,2572112
22,EC_subj_only,normal,EC_subj_only,normal,37,misukor,negative,90_10,paired_cs,4,2573131,2575152
22,EC_subj_only,normal,EC_subj_only,normal,38,botsy,NA,NA,neither,12,2576170,2578766
22,EC_subj_only,normal,EC_subj_only,normal,39,molkate,positive,90_10,paired_cs,5,2579785,2581817
