subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_dk,time_vm_form,time_vm_blank
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,0,oesgubi,negative,70_80,distractor,no,no,yes,2695837,2698289
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,1,kantekt,NA,NA,neither,no,no,yes,2699309,2701295
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,2,misukor,positive,70_80,paired_cs,no,no,yes,2702315,2706367
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,3,polust,NA,NA,neither,no,no,yes,2707386,2708425
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,4,frask,negative,30_40,paired_cs,no,no,yes,2709444,2710198
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,5,umeuken,negative,50_60,distractor,no,no,yes,2711217,2712061
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,6,kumutoa,positive,70_80,distractor,no,no,yes,2713082,2713742
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,7,yosud,NA,NA,neither,no,no,yes,2714761,2715703
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,8,uwimor,NA,NA,neither,no,no,yes,2716723,2717289
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,9,muoror,negative,70_80,paired_cs,no,yes,no,2718308,2720555
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,10,botuyn,positive,70_80,paired_cs,no,no,yes,2721577,2723089
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,11,kibono,negative,30_40,distractor,no,no,yes,2724108,2725145
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,12,sebjukt,positive,50_60,paired_cs,no,no,yes,2726164,2726917
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,13,zofoll,negative,90_10,distractor,no,no,yes,2727937,2728687
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,14,stodeen,positive,70_80,paired_cs,no,no,yes,2729710,2730465
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,15,fuhrrud,positive,50_60,distractor,no,no,yes,2731484,2732144
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,16,trupfan,negative,30_40,paired_cs,no,no,yes,2733163,2733918
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,17,fonstir,negative,70_80,paired_cs,no,no,yes,2734937,2736536
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,18,doscho,negative,90_10,paired_cs,no,yes,no,2737555,2738784
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,19,nalber,negative,50_60,paired_cs,no,no,yes,2739803,2741218
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,20,plonim,NA,NA,neither,no,no,yes,2742237,2742991
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,21,banzon,positive,90_10,distractor,no,no,yes,2744010,2744671
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,22,virlog,NA,NA,neither,no,no,yes,2745690,2746553
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,23,imstind,positive,90_10,paired_cs,no,no,yes,2747572,2749353
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,24,tewok,negative,50_60,paired_cs,no,no,yes,2750373,2751122
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,25,botsy,negative,50_60,paired_cs,no,no,yes,2752141,2755227
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,26,ampfong,positive,50_60,paired_cs,no,no,yes,2756246,2757939
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,27,pimuide,positive,90_10,paired_cs,yes,no,no,2758961,2760653
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,28,medan,NA,NA,neither,no,no,yes,2761672,2762709
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,29,emkruas,negative,70_80,paired_cs,no,no,yes,2763728,2764393
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,30,larnist,positive,30_40,paired_cs,no,no,yes,2765412,2766072
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,31,obacu,positive,30_40,paired_cs,no,no,yes,2767095,2767566
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,32,molkate,negative,90_10,paired_cs,no,no,yes,2768585,2769713
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,33,godacht,positive,50_60,paired_cs,no,no,yes,2770732,2771578
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,34,ursitz,negative,30_40,paired_cs,no,no,yes,2772597,2773446
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,35,sleshen,positive,30_40,paired_cs,no,no,yes,2774465,2775031
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,36,ikzunt,positive,30_40,distractor,no,no,yes,2776050,2776709
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,37,novuui,NA,NA,neither,no,no,yes,2777728,2778290
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,38,noste,negative,90_10,paired_cs,no,no,yes,2779309,2779970
11,EC_subj_obj,inclusion,EC_subj_obj,inclusion,39,plistuk,positive,90_10,paired_cs,no,yes,no,2780990,2783439
