subject_nr,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,correct_opt,correct_type,im_opt_1, im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_im,time_blank
84,EC_only,pokemon,0,5_mittel.png,negative,critical,Ekel,word,9041.png,2710.png,9520.png,Ekel,Gemeinheit,Pest,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1539982,1553824
84,EC_only,pokemon,1,25_mittel.png,neutral,filler,neu2620.png,picture,neu2620.png,neu7820.png,neu5510.png,Bein,Hand,Glas,picture,picture,picture,word,word,word,yes,no,no,no,no,no,1554865,1557101
84,EC_only,pokemon,2,4_mittel.png,negative,critical,9000.png,picture,9000.png,6530.png,9220.png,Hektik,Angst,Finsternis,picture,picture,picture,word,word,word,no,no,yes,no,no,no,1558141,1565578
84,EC_only,pokemon,3,16_mittel.png,positive,control,2070.png,picture,2791.png,1650.png,2070.png,Paradies,Kuss,Geburt,picture,picture,picture,word,word,word,no,no,no,no,no,no,1566618,1568206
84,EC_only,pokemon,4,15_mittel.png,neutral,filler,Dach,word,neu1616.png,neu5395.png,neu7820.png,Klinke,Linie,Dach,picture,picture,picture,word,word,word,no,yes,no,no,no,no,1569246,1571359
84,EC_only,pokemon,5,23_mittel.png,positive,critical,8370.png,picture,5629.png,8370.png,2209.png,Paradies,Kinder,Spiel,picture,picture,picture,word,word,word,no,no,no,no,no,no,1572398,1578661
84,EC_only,pokemon,6,22_mittel.png,negative,control,Sadist,word,9220.png,9007.png,9041.png,Absturz,Finsternis,Sadist,picture,picture,picture,word,word,word,no,no,no,no,no,no,1579705,1588455
84,EC_only,pokemon,7,11_mittel.png,negative,critical,Horror,word,9220.png,6555.png,9007.png,Unfall,Horror,Kälte,picture,picture,picture,word,word,word,no,no,no,no,no,no,1589495,1594913
84,EC_only,pokemon,8,18_mittel.png,neutral,filler,Lampe,word,neu5510.png,neu7233.png,neu7820.png,Schrank,Klinke,Lampe,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1595953,1598995
84,EC_only,pokemon,9,10_mittel.png,neutral,filler,Kreis,word,neu7820.png,neu5395.png,neu2580.png,Tuch,Kreis,Wand,picture,picture,picture,word,word,word,no,no,yes,no,no,no,1600034,1602792
84,EC_only,pokemon,10,40_mittel.png,negative,critical,9330.png,picture,3160.png,9330.png,9630.png,Frust,Gemeinheit,Hass,picture,picture,picture,word,word,word,no,no,no,no,no,no,1603833,1608684
84,EC_only,pokemon,11,2_mittel.png,neutral,filler,neu2580.png,picture,neu1616.png,neu7830.png,neu2580.png,Hand,Taste,Klinke,picture,picture,picture,word,word,word,no,no,no,no,no,yes,1609724,1613455
84,EC_only,pokemon,12,9_mittel.png,positive,critical,Rose,word,2091.png,5594.png,2071.png,Rose,Meer,Kunst,picture,picture,picture,word,word,word,yes,no,no,no,no,no,1614495,1616985
84,EC_only,pokemon,13,37_mittel.png,neutral,filler,neu7830.png,picture,neu7830.png,neu1616.png,neu2580.png,Lampe,Klinke,Kreis,picture,picture,picture,word,word,word,no,no,no,yes,no,no,1618025,1620176
84,EC_only,pokemon,14,39_mittel.png,positive,critical,Sommer,word,2160.png,2209.png,8470.png,Scherz,Sommer,Brief,picture,picture,picture,word,word,word,no,no,no,no,no,no,1621224,1623203
84,EC_only,pokemon,15,24_mittel.png,positive,critical,1440.png,picture,5629.png,8200.png,1440.png,Himmel,Licht,Brief,picture,picture,picture,word,word,word,no,no,no,no,no,no,1624244,1626709
