subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
1,15,a,EC_only,nonword,0,parlic,negative,critical,11,1419043,1421158
1,15,a,EC_only,nonword,1,trelle,negative,critical,13,1422190,1422636
1,15,a,EC_only,nonword,2,zillie,none,filler,9,1423668,1424397
1,15,a,EC_only,nonword,3,pubio,none,filler,17,1425430,1426068
1,15,a,EC_only,nonword,4,roosle,negative,critical,9,1427100,1427532
1,15,a,EC_only,nonword,5,avouco,positive,critical,18,1428564,1429309
1,15,a,EC_only,nonword,6,makan,none,filler,11,1430342,1430869
1,15,a,EC_only,nonword,7,hesire,positive,critical,15,1431906,1432512
1,15,a,EC_only,nonword,8,naptor,none,filler,8,1433543,1433978
1,15,a,EC_only,nonword,9,coskie,positive,control,14,1435009,1435729
1,15,a,EC_only,nonword,10,altine,positive,critical,10,1436761,1437753
1,15,a,EC_only,nonword,11,tafta,none,filler,14,1438784,1439486
1,15,a,EC_only,nonword,12,babit,negative,critical,7,1440518,1441126
1,15,a,EC_only,nonword,13,tavoo,none,filler,14,1442158,1442708
1,15,a,EC_only,nonword,14,lobee,negative,control,8,1443739,1444344
1,15,a,EC_only,nonword,15,seloom,positive,critical,15,1445375,1445870
