subject_nr,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,correct_opt,correct_type,im_opt_1, im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_im,time_blank
104,EC_only,pokemon,0,9_mittel.png,negative,control,7380.png,picture,3160.png,7380.png,6020.png,Waffe,Hektik,Stress,picture,picture,picture,word,word,word,no,no,no,no,no,no,1537129,1543670
104,EC_only,pokemon,1,2_mittel.png,negative,critical,2900.png,picture,2900.png,9000.png,9340.png,Unfall,Absturz,Schmerz,picture,picture,picture,word,word,word,no,no,no,no,no,no,1544711,1547743
104,EC_only,pokemon,2,18_mittel.png,positive,control,Scherz,word,2160.png,8496.png,5460.png,Spiel,Strand,Scherz,picture,picture,picture,word,word,word,no,no,no,no,no,no,1548784,1550137
104,EC_only,pokemon,3,10_mittel.png,neutral,filler,neu1616.png,picture,neu1616.png,neu7490.png,neu7233.png,Taste,Knopf,Glas,picture,picture,picture,word,word,word,no,no,no,no,no,no,1551177,1554314
104,EC_only,pokemon,4,22_mittel.png,negative,critical,9400.png,picture,9330.png,9400.png,9430.png,Unglück,Abscheu,Finsternis,picture,picture,picture,word,word,word,no,no,no,no,no,no,1555354,1556680
104,EC_only,pokemon,5,23_mittel.png,positive,critical,2091.png,picture,2091.png,2209.png,4220.png,Licht,Himmel,Strand,picture,picture,picture,word,word,word,no,no,no,no,no,no,1557720,1558640
104,EC_only,pokemon,6,11_mittel.png,positive,critical,Spaß,word,2050.png,5910.png,2209.png,Spaß,Kuss,Sommer,picture,picture,picture,word,word,word,no,no,no,no,no,no,1559680,1560632
104,EC_only,pokemon,7,40_mittel.png,positive,critical,Fete,word,8330.png,1710.png,7350.png,Himmel,Geschenk,Fete,picture,picture,picture,word,word,word,no,no,no,no,no,no,1561672,1562499
104,EC_only,pokemon,8,16_mittel.png,neutral,filler,neu7233.png,picture,neu7233.png,neu7490.png,neu7004.png,Schrank,Linie,Kreis,picture,picture,picture,word,word,word,no,no,no,no,no,no,1563539,1565178
104,EC_only,pokemon,9,4_mittel.png,neutral,filler,neu7640.png,picture,neu7640.png,neu7004.png,neu7490.png,Bein,Schrank,Lampe,picture,picture,picture,word,word,word,no,no,no,no,no,no,1566219,1568297
104,EC_only,pokemon,10,39_mittel.png,neutral,filler,Bein,word,neu7640.png,neu2372.png,neu7004.png,Bein,Kreis,Lampe,picture,picture,picture,word,word,word,no,no,no,no,no,no,1569345,1570526
104,EC_only,pokemon,11,15_mittel.png,positive,critical,7470.png,picture,1999.png,2050.png,7470.png,Natur,Sonne,Spiel,picture,picture,picture,word,word,word,no,no,no,no,no,no,1571566,1572596
104,EC_only,pokemon,12,5_mittel.png,negative,critical,Teufel,word,9220.png,9330.png,9006.png,Stress,Teufel,Pest,picture,picture,picture,word,word,word,no,no,no,no,no,no,1573636,1574647
104,EC_only,pokemon,13,24_mittel.png,neutral,filler,neu5510.png,picture,neu2635.png,neu5510.png,neu2620.png,Linie,Schrank,Kreis,picture,picture,picture,word,word,word,no,no,no,no,no,no,1575687,1577624
104,EC_only,pokemon,14,25_mittel.png,negative,critical,Mühe,word,6570.1.png,9830.png,9102.png,Stress,Tyrann,Mühe,picture,picture,picture,word,word,word,no,no,no,no,no,no,1578664,1579967
104,EC_only,pokemon,15,37_mittel.png,neutral,filler,Kreis,word,neu2635.png,neu1616.png,neu5510.png,Kreis,Bein,Linie,picture,picture,picture,word,word,word,no,no,no,no,no,no,1581007,1582071
