subject_nr,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,correct_opt,correct_type,im_opt_1, im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_im,time_blank
52,EC_subj_obj,pokemon,0,10_mittel.png,negative,critical,2375.1.png,picture,9342.png,9520.png,2375.1.png,Ärger,Finsternis,Gewalt,picture,picture,picture,word,word,word,no,no,no,no,no,yes,2285823,2293327
52,EC_subj_obj,pokemon,1,23_mittel.png,negative,critical,Sucht,word,9430.png,2053.png,9830.png,Unfall,Frust,Sucht,picture,picture,picture,word,word,word,no,yes,no,no,no,no,2294367,2299676
52,EC_subj_obj,pokemon,2,37_mittel.png,negative,critical,9330.png,picture,6831.png,9400.png,9330.png,Gemeinheit,Henker,Teufel,picture,picture,picture,word,word,word,no,no,no,no,no,no,2300716,2305513
52,EC_subj_obj,pokemon,3,16_mittel.png,neutral,filler,Bein,word,neu7640.png,neu5731.png,neu7080.png,Bein,Lampe,Sessel,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2306552,2310681
52,EC_subj_obj,pokemon,4,11_mittel.png,negative,critical,Schmerz,word,2710.png,9421.png,3550.png,Schmerz,Ärger,Abgrund,picture,picture,picture,word,word,word,no,no,no,no,no,no,2311727,2314241
52,EC_subj_obj,pokemon,5,24_mittel.png,neutral,filler,neu5510.png,picture,neu5731.png,neu5510.png,neu7080.png,Glas,Lampe,Linie,picture,picture,picture,word,word,word,no,yes,no,no,no,no,2315280,2318855
52,EC_subj_obj,pokemon,6,2_mittel.png,positive,critical,7502.png,picture,1710.png,7502.png,8190.png,Kuss,Witz,Paradies,picture,picture,picture,word,word,word,no,no,no,no,no,no,2319894,2321714
52,EC_subj_obj,pokemon,7,9_mittel.png,positive,control,2070.png,picture,2070.png,5460.png,8080.png,Glück,Himmel,Urlaub,picture,picture,picture,word,word,word,no,no,no,no,no,no,2322754,2327938
52,EC_subj_obj,pokemon,8,4_mittel.png,positive,critical,Lob,word,2311.png,8200.png,2058.png,Lob,Bücher,Paradies,picture,picture,picture,word,word,word,no,no,no,no,no,no,2328979,2338318
52,EC_subj_obj,pokemon,9,18_mittel.png,neutral,filler,Linie,word,neu7640.png,neu5731.png,neu7080.png,Linie,Taste,Glas,picture,picture,picture,word,word,word,no,no,no,no,no,no,2339357,2344751
52,EC_subj_obj,pokemon,10,39_mittel.png,negative,control,Mühe,word,9102.png,9500.png,9007.png,Mühe,Henker,Stress,picture,picture,picture,word,word,word,yes,no,no,no,no,no,2345790,2349942
52,EC_subj_obj,pokemon,11,15_mittel.png,neutral,filler,Kreis,word,neu5510.png,neu7830.png,neu7000.png,Tuch,Kreis,Linie,picture,picture,picture,word,word,word,no,no,yes,no,no,no,2350982,2354079
52,EC_subj_obj,pokemon,12,22_mittel.png,positive,critical,Lob,word,1463.png,5831.png,2091.png,Lob,Freund,Rose,picture,picture,picture,word,word,word,no,no,no,no,no,no,2355127,2359804
52,EC_subj_obj,pokemon,13,40_mittel.png,positive,critical,7470.png,picture,7470.png,5830.png,8080.png,Spaß,Ruhe,Spiel,picture,picture,picture,word,word,word,yes,no,no,no,no,no,2360843,2364122
52,EC_subj_obj,pokemon,14,5_mittel.png,neutral,filler,Bein,word,neu7830.png,neu2220.png,neu7000.png,Lampe,Glas,Bein,picture,picture,picture,word,word,word,no,no,no,no,no,no,2365161,2367331
52,EC_subj_obj,pokemon,15,25_mittel.png,neutral,filler,neu7550.png,picture,neu7080.png,neu7640.png,neu7550.png,Wand,Tuch,Bein,picture,picture,picture,word,word,word,no,yes,no,no,no,no,2368371,2371779
