subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
103,25,a,EC_only,pokemon,0,15_mittel.png,positive,critical,6,1313153,1318188
103,25,a,EC_only,pokemon,1,2_mittel.png,negative,critical,4,1319220,1324297
103,25,a,EC_only,pokemon,2,18_mittel.png,none,filler,9,1325329,1328432
103,25,a,EC_only,pokemon,3,39_mittel.png,positive,control,13,1329464,1331863
103,25,a,EC_only,pokemon,4,24_mittel.png,positive,critical,10,1332895,1337176
103,25,a,EC_only,pokemon,5,9_mittel.png,none,filler,9,1338208,1340958
103,25,a,EC_only,pokemon,6,37_mittel.png,negative,critical,2,1341991,1344559
103,25,a,EC_only,pokemon,7,40_mittel.png,none,filler,14,1345590,1348232
103,25,a,EC_only,pokemon,8,5_mittel.png,negative,control,13,1349264,1352131
103,25,a,EC_only,pokemon,9,25_mittel.png,positive,critical,1,1353162,1358651
103,25,a,EC_only,pokemon,10,23_mittel.png,none,filler,3,1359682,1368289
103,25,a,EC_only,pokemon,11,22_mittel.png,none,filler,0,1369320,1371876
103,25,a,EC_only,pokemon,12,16_mittel.png,negative,critical,10,1372907,1375785
103,25,a,EC_only,pokemon,13,10_mittel.png,none,filler,9,1376816,1379456
103,25,a,EC_only,pokemon,14,11_mittel.png,negative,critical,9,1380487,1385142
103,25,a,EC_only,pokemon,15,4_mittel.png,positive,critical,13,1386173,1392826
