subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,eval_rating, time_rating,time_blank
52,17,a,EC_subj_obj,pokemon,0,5_mittel.png,none,filler,3,2102877,2108415
52,17,a,EC_subj_obj,pokemon,1,15_mittel.png,none,filler,6,2109447,2116682
52,17,a,EC_subj_obj,pokemon,2,18_mittel.png,none,filler,5,2117714,2122391
52,17,a,EC_subj_obj,pokemon,3,40_mittel.png,positive,critical,9,2123423,2129297
52,17,a,EC_subj_obj,pokemon,4,25_mittel.png,none,filler,15,2130329,2133023
52,17,a,EC_subj_obj,pokemon,5,22_mittel.png,positive,critical,17,2134056,2136520
52,17,a,EC_subj_obj,pokemon,6,9_mittel.png,positive,control,10,2137551,2140820
52,17,a,EC_subj_obj,pokemon,7,2_mittel.png,positive,critical,19,2141851,2144119
52,17,a,EC_subj_obj,pokemon,8,24_mittel.png,none,filler,19,2145150,2147219
52,17,a,EC_subj_obj,pokemon,9,4_mittel.png,positive,critical,18,2148251,2151967
52,17,a,EC_subj_obj,pokemon,10,16_mittel.png,none,filler,17,2152999,2157161
52,17,a,EC_subj_obj,pokemon,11,39_mittel.png,negative,control,8,2158193,2160978
52,17,a,EC_subj_obj,pokemon,12,11_mittel.png,negative,critical,13,2162010,2166134
52,17,a,EC_subj_obj,pokemon,13,23_mittel.png,negative,critical,15,2167166,2170125
52,17,a,EC_subj_obj,pokemon,14,10_mittel.png,negative,critical,16,2171156,2173788
52,17,a,EC_subj_obj,pokemon,15,37_mittel.png,negative,critical,17,2174819,2178426
