subject_nr,yoked_set,yoked_half,learning_condition,cs_set,trial_nr,cs_filename,us_valence,type,vm_pos,vm_neg,vm_dk, vm_neither,time_vm,time_blank
56,27,a,EC_only,pokemon,0,11_mittel.png,positive,critical,no,no,yes,no,1629470,1637231
56,27,a,EC_only,pokemon,1,22_mittel.png,positive,critical,no,no,yes,no,1638264,1643082
56,27,a,EC_only,pokemon,2,5_mittel.png,none,filler,no,no,yes,no,1644115,1647917
56,27,a,EC_only,pokemon,3,10_mittel.png,none,filler,yes,no,no,no,1648950,1651796
56,27,a,EC_only,pokemon,4,2_mittel.png,none,filler,no,no,yes,no,1652829,1653966
56,27,a,EC_only,pokemon,5,23_mittel.png,none,filler,no,no,yes,no,1654999,1656610
56,27,a,EC_only,pokemon,6,9_mittel.png,none,filler,no,no,yes,no,1657643,1658744
56,27,a,EC_only,pokemon,7,37_mittel.png,negative,critical,no,no,yes,no,1659776,1662772
56,27,a,EC_only,pokemon,8,15_mittel.png,positive,critical,no,no,yes,no,1663813,1666114
56,27,a,EC_only,pokemon,9,25_mittel.png,positive,critical,no,no,yes,no,1667147,1668130
56,27,a,EC_only,pokemon,10,16_mittel.png,positive,control,no,yes,no,no,1669163,1671472
56,27,a,EC_only,pokemon,11,4_mittel.png,negative,control,no,no,no,yes,1672504,1675301
56,27,a,EC_only,pokemon,12,40_mittel.png,negative,critical,no,no,yes,no,1676333,1678439
56,27,a,EC_only,pokemon,13,18_mittel.png,negative,critical,no,no,yes,no,1679472,1680685
56,27,a,EC_only,pokemon,14,24_mittel.png,none,filler,no,yes,no,no,1681718,1683921
56,27,a,EC_only,pokemon,15,39_mittel.png,negative,critical,no,no,yes,no,1684953,1686786
