subject_nr,trial_nr,block,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_subjective_rating,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,time_blank_end
10,0,1,1,EC_only,nonword,a,cs_w_us,70,neutral,none,usfirst,left,right,yes,filler_50_neu_none,some us,unuoll,neu2487.png,word,picture,maskedcs,us,#969696,0,maske_12.png,maske_5.png,yes_left,no,yes,0,None,202504,204537,206437,202506,203409,204310,204413,204485,NA,NA,NA,NA,NA,NA,NA,NA,206439
10,1,1,1,EC_only,nonword,a,control,1000,pos,none,csfirst,left,right,no,control_1000_pos_none,some us,tavoo,2340.png,word,picture,controlcs,us,#000000,600,maske_9.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,207471,NA,208474,NA,NA,NA,NA,NA,NA,NA,209077
10,2,1,1,EC_only,nonword,a,us_w_us,999,neu-neu,none,none,none,both,no,none,none,Sessel,neu2635.png,word,picture,us,us,#000000,999,maske_3.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,210008,NA,NA,NA,NA,NA,NA,NA,NA,NA,212010
10,3,1,1,EC_only,nonword,a,control,1000,neg,none,usfirst,right,left,no,control_1000_neg_none_2,some us,Ärger,pubio,word,word,us,controlcs,#000000,0,maske_4.png,maske_6.png,no,no,no,1000,NA,NA,NA,NA,212933,NA,NA,213935,NA,NA,NA,NA,NA,NA,NA,NA,NA,214937
10,4,1,1,EC_only,nonword,a,cs_alone,50,none,none,none,right,none,yes,filler_50_neu_none,none,none,tafta,none,word,none,maskedcs,#969696,999,maske_8.png,maske_10.png,yes_right,no,no,1000,NA,NA,NA,NA,NA,215815,216716,216819,216871,NA,NA,NA,NA,NA,NA,NA,NA,216923
10,5,1,1,EC_only,nonword,a,critical,50,pos,none,usfirst,right,left,yes,cs_50_pos_task,some us,Sommer,trelle,word,word,us,maskedcs,#969696,0,maske_7.png,maske_7.png,no,no,no,250,NA,NA,NA,NA,217902,218805,219707,219809,219861,NA,NA,NA,NA,NA,NA,NA,NA,219913
10,6,1,1,EC_only,nonword,a,cs_alone,50,none,none,none,right,none,yes,filler_50_neu_task,none,none,makan,none,word,none,maskedcs,#969696,999,maske_1.png,maske_7.png,yes_right,no,no,250,NA,NA,NA,NA,NA,220779,221680,221783,221835,NA,NA,NA,NA,NA,NA,NA,NA,221887
10,7,1,1,EC_only,nonword,a,control,1000,pos,none,usfirst,right,left,no,control_1000_pos_none,some us,2070.png,tavoo,picture,word,us,controlcs,#000000,0,maske_12.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,222884,NA,NA,223886,NA,NA,NA,NA,NA,NA,NA,NA,NA,224888
10,8,1,1,EC_only,nonword,a,critical,50,neg,none,usfirst,left,right,yes,cs_50_neg_task,some us,naptor,Wahnsinn,word,word,maskedcs,us,#969696,0,maske_10.png,maske_5.png,no,no,no,250,NA,NA,NA,NA,225862,226764,227665,227768,227820,NA,NA,NA,NA,NA,NA,NA,NA,227872
10,9,1,1,EC_only,nonword,a,cs_w_us,40,neutral,none,usfirst,left,right,yes,filler_40_neu_task,some us,coskie,neu7000.png,word,picture,maskedcs,us,#969696,0,maske_1.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,228974,229876,230778,230880,230922,NA,NA,NA,NA,NA,NA,NA,NA,230974
10,10,1,1,EC_only,nonword,a,cs_w_us,40,neutral,none,usfirst,right,left,yes,filler_40_neu_none,some us,Lampe,teutos,word,word,us,maskedcs,#969696,0,maske_11.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,231948,232850,233751,233854,233896,NA,NA,NA,NA,NA,NA,NA,NA,233948
10,11,1,1,EC_only,nonword,a,critical,50,pos,none,csfirst,right,left,yes,cs_50_pos_none,some us,Blume,roosle,word,word,us,maskedcs,#969696,1500,maske_6.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,NA,234921,235822,235925,235977,236029,NA,NA,NA,NA,NA,NA,NA,237531
10,12,1,1,EC_only,nonword,a,us_w_us,999,neg-pos,none,none,none,both,no,none,none,Glück,Gift,word,word,us,us,#000000,999,maske_5.png,maske_9.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,238402,NA,NA,NA,NA,NA,NA,NA,NA,NA,240404
10,13,1,1,EC_only,nonword,a,critical,50,pos,none,csfirst,right,left,yes,cs_50_pos_task,some us,1440.png,trelle,picture,word,us,maskedcs,#969696,1500,maske_5.png,maske_6.png,no,no,no,1000,NA,NA,NA,NA,NA,241450,242352,242455,242507,242559,NA,NA,NA,NA,NA,NA,NA,244061
10,14,1,1,EC_only,nonword,a,cswcs,40,none,none,csfirst,left,right,yes,o_filler_40_neu_none,o_filler_1000_neu_none_1,17_mittel.png,37_mittel.png,picture,picture,maskedcs,controlcs,#969696,1500,fmaske_5.png,fmaske_10.png,no,no,no,250,NA,NA,NA,NA,NA,244988,245889,245992,246034,246086,NA,NA,NA,NA,NA,NA,NA,247588
10,15,1,1,EC_only,nonword,a,cswcs,50,none,none,csfirst,right,left,yes,o_filler_50_neu_none,filler_1000_neu_none_2,lobee,16_mittel.png,word,picture,controlcs,maskedcs,#969696,1500,fmaske_10.png,fmaske_2.png,no,yes_left,no,250,NA,NA,NA,NA,NA,248554,249457,249559,249611,249663,NA,NA,NA,NA,NA,NA,NA,251165
10,16,1,1,EC_only,nonword,a,us_alone,999,pos,none,none,none,left,no,none,none,2050.png,none,picture,none,us,none,#000000,999,maske_8.png,maske_2.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,252044,NA,NA,NA,NA,NA,NA,NA,NA,NA,254047
10,17,1,1,EC_only,nonword,a,cs_alone,1000,none,none,none,right,none,no,filler_1000_neu_none_2,none,none,unuoll,none,word,none,controlcs,#000000,999,maske_7.png,maske_8.png,no,yes_right,yes,0,space,254889,255895,256895,NA,NA,NA,254892,NA,NA,NA,NA,NA,NA,NA,NA,NA,256897
10,18,1,1,EC_only,nonword,a,cs_alone,70,none,none,none,right,none,yes,filler_50_neu_task,none,none,unuoll,none,word,none,maskedcs,#969696,999,maske_1.png,maske_7.png,yes_right,no,yes,0,None,257754,258885,260785,NA,257757,258658,258761,258833,NA,NA,NA,NA,NA,NA,NA,NA,260787
10,19,1,1,EC_only,nonword,a,critical,40,pos,none,csfirst,left,right,yes,cs_40_pos_task,some us,parlic,5594.png,word,picture,maskedcs,us,#969696,1500,maske_6.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,NA,261833,262734,262837,262879,262931,NA,NA,NA,NA,NA,NA,NA,264433
10,20,1,1,EC_only,nonword,a,cswcs,40,none,none,csfirst,left,right,yes,filler_40_neu_task,o_filler_1000_neu_none_1,coskie,37_mittel.png,word,picture,maskedcs,controlcs,#969696,1500,maske_12.png,maske_1.png,no,no,no,250,NA,NA,NA,NA,NA,265390,266291,266394,266436,266488,NA,NA,NA,NA,NA,NA,NA,267990
10,21,1,1,EC_only,nonword,a,control,1000,pos,none,usfirst,right,left,no,control_1000_pos_none_2,some us,2209.png,babit,picture,word,us,controlcs,#000000,0,maske_3.png,maske_5.png,no,no,no,250,NA,NA,NA,NA,268996,NA,NA,269998,NA,NA,NA,NA,NA,NA,NA,NA,NA,271000
10,22,1,1,EC_only,nonword,a,us_alone,999,neutral,none,none,none,left,no,none,none,neu5740.png,none,picture,none,us,none,#000000,999,maske_8.png,maske_5.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,271881,NA,NA,NA,NA,NA,NA,NA,NA,NA,273883
10,23,1,1,EC_only,nonword,a,cs_w_us,40,neutral,none,usfirst,right,left,yes,filler_40_neu_task,some us,neu7490.png,coskie,picture,word,us,maskedcs,#969696,0,maske_8.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,274995,275897,276798,276901,276943,NA,NA,NA,NA,NA,NA,NA,NA,276995
10,24,1,1,EC_only,nonword,a,critical,50,pos,none,csfirst,left,right,yes,cs_50_pos_task,some us,trelle,7502.png,word,picture,maskedcs,us,#969696,1500,maske_2.png,maske_11.png,no,no,no,250,NA,NA,NA,NA,NA,278049,278950,279053,279105,279157,NA,NA,NA,NA,NA,NA,NA,280659
10,25,1,1,EC_only,nonword,a,critical,50,pos,none,usfirst,left,right,yes,cs_50_pos_task,some us,trelle,Sonne,word,word,maskedcs,us,#969696,0,maske_3.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,281628,282531,283432,283535,283587,NA,NA,NA,NA,NA,NA,NA,NA,283639
10,26,1,1,EC_only,nonword,a,cs_w_us,1000,neutral,none,csfirst,right,left,no,filler_1000_neu_none_1,some us,Wand,seloom,word,word,us,controlcs,#000000,600,maske_9.png,maske_5.png,no,yes_right,no,250,NA,NA,NA,NA,NA,NA,NA,284564,NA,285566,NA,NA,NA,NA,NA,NA,NA,286169
10,27,1,1,EC_only,nonword,a,us_alone,999,pos,none,none,none,right,no,none,none,none,Wärme,none,word,none,us,#000000,999,maske_10.png,maske_11.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,287001,NA,NA,NA,NA,NA,NA,NA,NA,NA,289003
10,28,1,1,EC_only,nonword,a,cs_alone,70,none,none,none,right,none,yes,filler_50_neu_none,none,none,unuoll,none,word,none,maskedcs,#969696,999,maske_8.png,maske_10.png,yes_right,no,yes,0,None,289859,290990,292890,NA,289862,290763,290866,290938,NA,NA,NA,NA,NA,NA,NA,NA,292892
10,29,1,1,EC_only,nonword,a,control,1000,pos,none,csfirst,right,left,no,control_1000_pos_none,some us,Licht,tavoo,word,word,us,controlcs,#000000,600,maske_2.png,maske_6.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,293817,NA,294820,NA,NA,NA,NA,NA,NA,NA,295423
10,30,1,1,EC_only,nonword,a,critical,40,neg,none,csfirst,right,left,yes,cs_40_neg_task,some us,9560.png,zillie,picture,word,us,maskedcs,#969696,1500,maske_11.png,maske_8.png,no,no,no,250,NA,NA,NA,NA,NA,296492,297394,297497,297539,297591,NA,NA,NA,NA,NA,NA,NA,299093
10,31,1,1,EC_only,nonword,a,critical,40,pos,none,csfirst,left,right,yes,cs_40_pos_none,some us,minair,2057.png,word,picture,maskedcs,us,#969696,1500,maske_1.png,maske_2.png,no,no,no,250,NA,NA,NA,NA,NA,300123,301024,301127,301169,301221,NA,NA,NA,NA,NA,NA,NA,302723
10,32,1,1,EC_only,nonword,a,cs_alone,1000,none,none,none,left,none,no,o_filler_1000_neu_none_1,none,37_mittel.png,none,picture,none,controlcs,none,#000000,999,fmaske_9.png,fmaske_11.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,303548,NA,NA,NA,NA,NA,NA,NA,NA,NA,304550
10,33,1,1,EC_only,nonword,a,control,1000,neg,none,usfirst,left,right,no,control_1000_neg_none,some us,hesire,AIDS,word,word,controlcs,us,#000000,0,maske_12.png,maske_10.png,no,no,no,250,NA,NA,NA,NA,305468,NA,NA,306470,NA,NA,NA,NA,NA,NA,NA,NA,NA,307472
10,34,1,1,EC_only,nonword,a,cs_alone,40,none,none,none,right,none,yes,filler_40_neu_task,none,none,coskie,none,word,none,maskedcs,#969696,999,maske_4.png,maske_10.png,no,no,no,250,NA,NA,NA,NA,NA,308345,309247,309349,309391,NA,NA,NA,NA,NA,NA,NA,NA,309443
10,35,1,1,EC_only,nonword,a,us_alone,999,neg,none,none,none,left,no,none,none,Sucht,none,word,none,us,none,#000000,999,maske_7.png,maske_6.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,310283,NA,NA,NA,NA,NA,NA,NA,NA,NA,312285
