subject_nr,trial_nr,block_nr,learning_condition,cs_set,combination,trial_type,cs_duration,us_valence,task,cs_us_order,cs_position,us_position,masking,cs_code,paired_code,left_stimulus,right_stimulus,left_type,right_type,left_role,right_role,n_color,rest_duration,pre_mask,post_mask,possible_target_trial_short,possible_target_trial_long,target_trial,inter_trial,response_target_response,time_target_clear,time_empty_masking_noyes,time_target_response,time_us_alone_pre,time_us_fixdot,time_us_premask,time_us_cs,time_us_postmask,time_us_alone_post,time_objective_task,obt_1,obt_2,obt_3,obt_4,obt_5,obt_6,obj_1,obj_2,obj_3,obj_4,obj_5,obj_6,time_blank_end
20,0,1,EC_subj,nonword,a,critical,50,pos,objective,csfirst,left,right,yes,cs_50_pos_task,some us,naptor,Glück,word,word,maskedcs,us,#969696,1500,maske_8.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,NA,3273273,3274175,3274277,3274329,3274381,3275881,tavoo,lobee,babit,seloom,naptor,altine,yes,no,no,no,no,no,3282061
20,1,1,EC_subj,nonword,a,cs_w_us,40,neutral,none,csfirst,right,left,yes,o_filler_40_neu_none,some us,neu7004.png,7_mittel.png,picture,picture,us,maskedcs,#969696,1500,fmaske_7.png,fmaske_12.png,no,no,no,1000,NA,NA,NA,NA,NA,3282832,3283734,3283836,3283878,3283930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3285432
20,2,1,EC_subj,nonword,a,cswcs,70,none,none,csfirst,left,right,yes,filler_50_neu_none,filler_1000_neu_none_1,itafy,parlic,word,word,maskedcs,controlcs,#969696,1500,maske_6.png,maske_3.png,yes_left,no,yes,0,None,3286218,3288852,3290752,NA,3286222,3287123,3287226,3287298,3287350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3290755
20,3,1,EC_subj,nonword,a,us_w_us,999,pos-pos,none,none,none,both,no,none,none,7470.png,2080.png,picture,picture,us,us,#000000,999,maske_5.png,maske_10.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,3291507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3293510
20,4,1,EC_subj,nonword,a,critical,40,pos,objective,usfirst,right,left,yes,cs_40_pos_none,some us,Freund,avouco,word,word,us,maskedcs,#969696,0,maske_4.png,maske_1.png,no,no,no,250,NA,NA,NA,NA,3294276,3295178,3296079,3296182,3296224,NA,3296275,avouco,roosle,makan,trelle,tafta,zillie,no,yes,no,no,no,no,3300900
20,5,1,EC_subj,nonword,a,us_alone,999,neutral,none,none,none,left,no,none,none,Klinke,none,word,none,us,none,#000000,999,maske_3.png,maske_2.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,3301532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3303534
20,6,1,EC_subj,nonword,a,cswcs,50,none,none,csfirst,right,left,yes,o_filler_50_neu_none,filler_1000_neu_none_2,minair,10_mittel.png,word,picture,controlcs,maskedcs,#969696,1500,fmaske_6.png,fmaske_8.png,no,yes_left,no,250,NA,NA,NA,NA,NA,3304278,3305179,3305282,3305334,3305386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3306888
20,7,1,EC_subj,nonword,a,us_w_us,999,neg-pos,none,none,none,both,no,none,none,6311.png,8420.png,picture,picture,us,us,#000000,999,maske_5.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,3307618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3309620
20,8,1,EC_subj,nonword,a,critical,40,neg,objective,usfirst,left,right,yes,cs_40_neg_none,some us,roosle,7380.png,word,picture,maskedcs,us,#969696,0,maske_12.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,3310521,3311423,3312325,3312427,3312469,NA,3312519,tafta,zillie,trelle,makan,avouco,roosle,no,no,no,no,yes,no,3314924
20,9,1,EC_subj,nonword,a,critical,40,neg,objective,csfirst,right,left,yes,cs_40_neg_task,some us,Waffe,trelle,word,word,us,maskedcs,#969696,1500,maske_11.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,NA,3315665,3316566,3316669,3316711,3316763,3318263,trelle,makan,avouco,zillie,tafta,roosle,yes,no,no,no,no,no,3321612
20,10,1,EC_subj,nonword,a,critical,40,neg,objective,csfirst,right,left,yes,cs_40_neg_task,some us,Sadist,trelle,word,word,us,maskedcs,#969696,1500,maske_12.png,maske_12.png,no,no,no,250,NA,NA,NA,NA,NA,3322351,3323253,3323356,3323398,3323450,3324950,trelle,tafta,zillie,avouco,roosle,makan,yes,no,no,no,no,no,3327549
20,11,1,EC_subj,nonword,a,critical,50,neg,objective,csfirst,right,left,yes,cs_50_neg_none,some us,Gift,babit,word,word,us,maskedcs,#969696,1500,maske_4.png,maske_11.png,no,no,no,1000,NA,NA,NA,NA,NA,3328290,3329191,3329294,3329346,3329398,3330898,altine,tavoo,seloom,lobee,naptor,babit,yes,no,no,no,no,no,3334573
20,12,1,EC_subj,nonword,a,us_w_us,999,neg-neg,none,none,none,both,no,none,none,7380.png,9280.png,picture,picture,us,us,#000000,999,maske_10.png,maske_12.png,no,no,no,1000,NA,NA,NA,NA,NA,NA,NA,3335317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3337319
20,13,1,EC_subj,nonword,a,cs_alone,50,none,objective,none,right,none,yes,filler_50_neu_none,none,none,lobee,none,word,none,maskedcs,#969696,999,maske_12.png,maske_7.png,yes_right,no,no,1000,NA,NA,NA,NA,NA,3338009,3338911,3339014,3339066,NA,3339116,seloom,babit,lobee,altine,naptor,tavoo,no,no,no,no,no,yes,3343350
20,14,1,EC_subj,nonword,a,critical,50,pos,objective,csfirst,right,left,yes,cs_50_pos_none,some us,Himmel,altine,word,word,us,maskedcs,#969696,1500,maske_12.png,maske_6.png,no,no,no,250,NA,NA,NA,NA,NA,3344115,3345016,3345119,3345171,3345223,3346723,altine,seloom,naptor,babit,lobee,tavoo,no,yes,no,no,no,no,3347997
20,15,1,EC_subj,nonword,a,control,1000,neg,none,usfirst,right,left,no,control_1000_neg_none_2,some us,Abscheu,teutos,word,word,us,controlcs,#000000,0,maske_2.png,maske_5.png,no,no,no,1000,NA,NA,NA,NA,3348714,NA,NA,3349716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3350718
20,16,1,EC_subj,nonword,a,cs_alone,70,none,none,none,right,none,yes,filler_50_neu_task,none,none,itafy,none,word,none,maskedcs,#969696,999,maske_12.png,maske_9.png,yes_right,no,yes,0,None,3351365,3352497,3354397,NA,3351369,3352270,3352373,3352445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3354399
20,17,1,EC_subj,nonword,a,cs_w_us,50,neutral,objective,usfirst,left,right,yes,filler_50_neu_none,some us,lobee,neu5510.png,word,picture,maskedcs,us,#969696,0,maske_9.png,maske_8.png,yes_left,no,no,250,NA,NA,NA,NA,3355266,3356169,3357070,3357173,3357225,NA,3357275,babit,seloom,naptor,tavoo,altine,lobee,no,yes,no,no,no,no,3360605
20,18,1,EC_subj,nonword,a,critical,40,pos,objective,csfirst,left,right,yes,cs_40_pos_task,some us,zillie,Rose,word,word,maskedcs,us,#969696,1500,maske_2.png,maske_9.png,no,no,no,250,NA,NA,NA,NA,NA,3361340,3362242,3362345,3362387,3362439,3363941,trelle,roosle,avouco,makan,tafta,zillie,no,no,no,yes,no,no,3368101
20,19,1,EC_subj,nonword,a,critical,50,pos,objective,usfirst,left,right,yes,cs_50_pos_task,some us,naptor,2311.png,word,picture,maskedcs,us,#969696,0,maske_9.png,maske_3.png,no,no,no,250,NA,NA,NA,NA,3368974,3369877,3370778,3370881,3370933,NA,3370983,tavoo,altine,babit,lobee,naptor,seloom,no,no,no,no,no,yes,3376606
20,20,1,EC_subj,nonword,a,cs_alone,1000,none,none,none,right,none,no,o_filler_1000_neu_none_2,none,none,40_mittel.png,none,picture,none,controlcs,#000000,999,fmaske_12.png,fmaske_2.png,no,no,no,250,NA,NA,NA,NA,NA,NA,NA,3377222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3378225
20,21,1,EC_subj,nonword,a,cswcs,40,none,none,csfirst,right,left,yes,filler_40_neu_task,o_filler_1000_neu_none_2,itafy,makan,word,word,controlcs,maskedcs,#969696,1500,maske_8.png,maske_6.png,no,yes_left,yes,0,None,3379005,3381609,3383509,NA,3379009,3379910,3380013,3380055,3380107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3383512
20,22,1,EC_subj,nonword,a,critical,50,neg,objective,csfirst,right,left,yes,cs_50_neg_none,some us,2141.png,babit,picture,word,us,maskedcs,#969696,1500,maske_1.png,maske_10.png,no,no,no,1000,NA,NA,NA,NA,NA,3384359,3385260,3385363,3385415,3385467,3386968,naptor,altine,tavoo,lobee,babit,seloom,no,no,yes,no,no,no,3389181
