subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,correct_opt,correct_type,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,type_1,type_2,type_3,type_4,type_5,type_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_dk,time_idmem_form,time_idmem_blank
108,EC_only,nonword,c,0,cs_50_pos_none,trelle,pos,critical,50,none,2208.png,picture,8420.png,2208.png,8080.png,Brief,Leben,Meer,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2021778,2022744
108,EC_only,nonword,c,1,control_1000_pos_none,zillie,pos,control,1000,none,8540.png,picture,5994.png,1463.png,8540.png,Wärme,Bücher,Frieden,picture,picture,picture,word,word,word,no,no,no,no,yes,no,no,2024166,2025113
108,EC_only,nonword,c,2,filler_40_neu_none,makan,neu,filler,40,none,neu7233.png,picture,neu5740.png,neu7490.png,neu7233.png,Klinke,Schrank,Tuch,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2026494,2026600
108,EC_only,nonword,c,3,cs_50_neg_none,altine,neg,critical,50,none,9435.png,picture,9435.png,9265.png,9630.png,Tod,Wahnsinn,Teufel,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2027999,2028113
108,EC_only,nonword,c,4,control_1000_neg_none_2,tavoo,neg,control,1000,none,Abgrund,word,9342.png,6020.png,6242.png,Gift,Abgrund,Waffe,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2029506,2029601
108,EC_only,nonword,c,5,cs_50_pos_task,lobee,pos,critical,50,none,8330.png,picture,5994.png,2080.png,8330.png,Sonne,Ruhe,Witz,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2031001,2031137
108,EC_only,nonword,c,6,cs_40_neg_task,roosle,neg,critical,40,none,Finsternis,word,9331.png,3160.png,9006.png,Finsternis,Abgas,Henker,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2032532,2032632
108,EC_only,nonword,c,7,filler_40_neu_task,minair,neu,filler,40,none,Knopf,word,neu7004.png,neu7490.png,neu7820.png,Linie,Knopf,Lampe,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2034010,2034152
108,EC_only,nonword,c,8,control_1000_pos_none_2,pubio,pos,control,1000,none,8170.png,picture,8540.png,8170.png,2660.png,Freund,Musik,Leben,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2035549,2035575
108,EC_only,nonword,c,9,filler_1000_neu_none_2,parlic,neu,filler,1000,none,Wand,word,neu2372.png,neu5731.png,neu7187.png,Wand,Dach,Lampe,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2036961,2036999
108,EC_only,nonword,c,10,cs_40_pos_task,hesire,pos,critical,40,none,4220.png,picture,8501.png,4220.png,8080.png,Kinder,Liebe,Spaß,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2038399,2038472
108,EC_only,nonword,c,11,cs_40_pos_none,seloom,pos,critical,40,none,2080.png,picture,2209.png,2080.png,7230.png,Freund,Kuss,Fete,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2039863,2040000
108,EC_only,nonword,c,12,filler_50_neu_none,avouco,neu,filler,50,none,Bein,word,neu7080.png,neu5731.png,neu7490.png,Wand,Bein,Klinke,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2041388,2041527
108,EC_only,nonword,c,13,cs_40_neg_none,tafta,neg,critical,40,none,3300.png,picture,9340.png,3300.png,9435.png,Teufel,Hektik,Ärger,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2042928,2043088
108,EC_only,nonword,c,14,filler_50_neu_task,coskie,neu,filler,50,none,Sessel,word,neu2372.png,neu7820.png,neu2580.png,Tuch,Sessel,Bein,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2044460,2044487
108,EC_only,nonword,c,15,control_1000_neg_none,teutos,neg,control,1000,none,9280.png,picture,3300.png,9280.png,9180.png,Mord,Ekel,Sucht,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2045885,2045985
108,EC_only,nonword,c,16,filler_1000_neu_none_1,naptor,neu,filler,1000,none,neu5731.png,picture,neu5395.png,neu5731.png,neu2635.png,Tuch,Schrank,Hand,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2047372,2047473
108,EC_only,nonword,c,17,cs_50_neg_task,babit,neg,critical,50,none,9421.png,picture,9421.png,6020.png,9050.png,Pest,Ekel,Eiter,picture,picture,picture,word,word,word,no,yes,no,no,no,no,no,2048889,2049056
