subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,eval_rating,time_rating_form,time_rating_blank
99,EC_subj,pokemon,d,0,control_1000_pos_none,11_mittel.png,pos,control,1000,none,17,2521103,2527195
99,EC_subj,pokemon,d,1,cs_40_pos_task,40_mittel.png,pos,critical,40,subjective,1,2529485,2532804
99,EC_subj,pokemon,d,2,cs_50_neg_task,16_mittel.png,neg,critical,50,subjective,11,2535182,2538930
99,EC_subj,pokemon,d,3,filler_40_neu_task,4_mittel.png,neu,filler,40,subjective,14,2541220,2545521
99,EC_subj,pokemon,d,4,cs_40_neg_task,5_mittel.png,neg,critical,40,subjective,5,2547810,2552761
99,EC_subj,pokemon,d,5,cs_40_pos_none,24_mittel.png,pos,critical,40,none,7,2555049,2560106
99,EC_subj,pokemon,d,6,control_1000_neg_none,25_mittel.png,neg,control,1000,none,0,2562395,2567546
99,EC_subj,pokemon,d,7,cs_50_neg_none,7_mittel.png,neg,critical,50,none,13,2569837,2572290
99,EC_subj,pokemon,d,8,control_1000_pos_none_2,9_mittel.png,pos,control,1000,none,5,2574590,2579202
99,EC_subj,pokemon,d,9,cs_40_neg_none,39_mittel.png,neg,critical,40,none,6,2581501,2588441
99,EC_subj,pokemon,d,10,filler_40_neu_none,22_mittel.png,neu,filler,40,none,7,2590752,2594419
99,EC_subj,pokemon,d,11,control_1000_neg_none_2,23_mittel.png,neg,control,1000,none,16,2596720,2600699
99,EC_subj,pokemon,d,12,filler_1000_neu_none_2,2_mittel.png,neu,filler,1000,none,8,2602996,2607186
99,EC_subj,pokemon,d,13,cs_50_pos_none,17_mittel.png,pos,critical,50,none,1,2609483,2613650
99,EC_subj,pokemon,d,14,filler_1000_neu_none_1,10_mittel.png,neu,filler,1000,none,15,2615938,2620474
99,EC_subj,pokemon,d,15,filler_50_neu_none,18_mittel.png,neu,filler,50,none,6,2622762,2626026
99,EC_subj,pokemon,d,16,filler_50_neu_task,37_mittel.png,neu,filler,50,subjective,11,2628317,2634930
99,EC_subj,pokemon,d,17,cs_50_pos_task,15_mittel.png,pos,critical,50,subjective,9,2637216,2641492
