subject_nr,learning_condition,cs_set,combination,trial_nr,cs_code,cs_filename,us_valence,type,cs_duration,task,vm_pos,vm_neg,vm_neutral,vm_dk,time_valmem_form,time_valmem_blank
78,EC_only,nonword,c,0,control_1000_pos_none_2,trelle,pos,control,1000,none,no,no,yes,no,1840868,1847887
78,EC_only,nonword,c,1,cs_50_neg_task,roosle,neg,critical,50,none,no,no,no,yes,1848909,1852011
78,EC_only,nonword,c,2,filler_50_neu_none,tavoo,neu,filler,50,none,no,no,no,yes,1853033,1855882
78,EC_only,nonword,c,3,cs_40_pos_task,coskie,pos,critical,40,none,no,yes,no,no,1856904,1861391
78,EC_only,nonword,c,4,filler_50_neu_task,teutos,neu,filler,50,none,no,no,yes,no,1862413,1865222
78,EC_only,nonword,c,5,cs_40_pos_none,avouco,pos,critical,40,none,yes,no,no,no,1866244,1868047
78,EC_only,nonword,c,6,control_1000_pos_none,lobee,pos,control,1000,none,yes,no,no,no,1869069,1871477
78,EC_only,nonword,c,7,cs_40_neg_none,parlic,neg,critical,40,none,no,no,no,yes,1872503,1874471
78,EC_only,nonword,c,8,control_1000_neg_none_2,altine,neg,control,1000,none,no,yes,no,no,1875493,1878405
78,EC_only,nonword,c,9,control_1000_neg_none,babit,neg,control,1000,none,yes,no,no,no,1879427,1883390
78,EC_only,nonword,c,10,cs_50_neg_none,tafta,neg,critical,50,none,no,no,yes,no,1884412,1886778
78,EC_only,nonword,c,11,cs_40_neg_task,naptor,neg,critical,40,none,no,no,no,yes,1887800,1891931
78,EC_only,nonword,c,12,filler_40_neu_task,zillie,neu,filler,40,none,yes,no,no,no,1892953,1895466
78,EC_only,nonword,c,13,cs_50_pos_task,hesire,pos,critical,50,none,no,no,no,yes,1896488,1902006
78,EC_only,nonword,c,14,filler_40_neu_none,pubio,neu,filler,40,none,no,no,yes,no,1903028,1905268
78,EC_only,nonword,c,15,filler_1000_neu_none_2,makan,neu,filler,1000,none,yes,no,no,no,1906295,1907678
78,EC_only,nonword,c,16,cs_50_pos_none,seloom,pos,critical,50,none,no,no,no,yes,1908700,1911403
78,EC_only,nonword,c,17,filler_1000_neu_none_1,minair,neu,filler,1000,none,yes,no,no,no,1912425,1913805
