subject_nr,blocknr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
1,6,cs7.bmp,4,43020,45099
1,6,cs27.bmp,7,45645,47687
1,6,cs30.bmp,12,48235,50125
1,6,cs5.bmp,8,50675,52240
1,6,cs28.bmp,0,52786,54385
1,6,cs11.bmp,18,54935,64893
1,6,cs4.bmp,18,65448,66227
1,6,cs6.bmp,9,66774,67979
1,6,cs3.bmp,5,68523,69540
1,6,cs22.bmp,2,70077,70986
1,6,cs21.bmp,1,71534,72328
1,6,cs10.bmp,0,72878,74119
1,6,cs20.bmp,9,74676,75775
1,6,cs14.bmp,8,76326,77929
1,6,cs9.bmp,7,78481,80149
1,6,cs18.bmp,5,80698,81669
1,6,cs12.bmp,13,82220,83317
1,6,cs23.bmp,3,83864,85109
1,6,cs8.bmp,9,85650,87981
1,6,cs19.bmp,18,88537,91915
1,6,cs26.bmp,0,92468,93943
1,6,cs13.bmp,8,94489,95349
1,6,cs1.bmp,11,95904,96781
1,6,cs29.bmp,9,97329,98187
1,6,cs15.bmp,4,98744,99699
1,6,cs16.bmp,10,100244,100987
1,6,cs25.bmp,17,101534,102618
1,6,cs17.bmp,18,103174,103728
1,6,cs2.bmp,9,104269,106647
1,6,cs24.bmp,9,107199,107563
subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
1,cs14.bmp,7,35474,36600
1,cs19.bmp,11,37233,38732
1,cs13.bmp,15,39291,40930
1,cs21.bmp,7,41489,42674
1,cs11.bmp,3,43236,44518
1,cs8.bmp,3,45088,45892
1,cs16.bmp,3,46466,46730
1,cs12.bmp,3,47288,47646
1,cs24.bmp,2,48210,48925
1,cs10.bmp,0,49489,50195
1,cs30.bmp,18,50755,51918
1,cs18.bmp,9,52474,53228
1,cs29.bmp,9,53792,54082
1,cs27.bmp,9,54641,54966
1,cs20.bmp,9,55532,55850
1,cs22.bmp,9,56405,56882
1,cs6.bmp,9,57442,57758
1,cs5.bmp,9,58317,58570
1,cs23.bmp,9,59128,59424
1,cs25.bmp,9,59989,60292
1,cs17.bmp,9,60860,61064
1,cs7.bmp,9,61620,61950
1,cs2.bmp,9,62513,62756
1,cs28.bmp,9,63321,63584
1,cs26.bmp,9,64143,64350
1,cs1.bmp,9,64911,65138
1,cs15.bmp,9,65697,65901
1,cs3.bmp,9,66469,66731
1,cs9.bmp,6,67295,68083
1,cs4.bmp,12,68641,69540
subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
