subject_nr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_valmem_delay,time_usmem_form,time_usmem_delay
37,cs22.bmp,yes,no,no,2080.jpg,2150.JPG,2057.jpg,1999.jpg,8540.JPG,2071.jpg,no,no,no,no,no,yes,1975710,1991834,1992084,2003970
37,cs18.bmp,no,yes,no,2040.jpg,2660.jpg,1721.jpg,2057.jpg,1440.jpg,5830.JPG,no,no,yes,no,no,no,2005086,2016354,2016604,2038610
37,cs24.bmp,yes,no,no,1463.jpg,1999.jpg,1920.JPG,8420.JPG,2550.jpg,2209.jpg,no,no,yes,no,no,no,2039616,2044658,2044908,2050874
37,cs10.bmp,no,yes,no,4626.jpg,2057.jpg,1440.jpg,1750.JPG,2216.jpg,2091.jpg,no,yes,no,no,no,no,2051881,2059482,2059732,2071666
37,cs5.bmp,yes,no,no,1710.JPG,1920.JPG,2050.jpg,2070.jpg,2311.jpg,2395.jpg,no,no,no,yes,no,no,2072675,2075290,2075540,2081874
37,cs1.bmp,yes,no,no,3220.JPG,2900.1.jpg,9530.JPG,9331.jpg,9830.jpg,2276.jpg,no,no,yes,no,no,no,2082882,2085210,2085460,2092586
37,cs20.bmp,no,no,yes,7820.jpg,5535.jpg,5455.jpg,7640.jpg,7490.jpg,7187.jpg,no,no,yes,no,no,no,2093596,2096690,2096940,2108802
37,cs7.bmp,yes,no,no,2395.jpg,1999.jpg,1710.JPG,2150.JPG,1721.jpg,2341.jpg,no,no,no,no,yes,no,2109807,2111971,2112221,2118538
37,cs6.bmp,no,yes,no,7503.JPG,2372.jpg,5920.JPG,7187.jpg,2575.jpg,2620.jpg,no,yes,no,no,no,no,2119544,2126418,2126668,2131331
37,cs25.bmp,yes,no,no,2311.jpg,1440.jpg,7330.JPG,1463.jpg,2395.jpg,2091.jpg,no,no,yes,no,no,no,2132341,2135154,2135404,2140474
37,cs11.bmp,no,yes,no,6311.jpg,9342.jpg,2053.JPG,6831.jpg,2205.jpg,9530.JPG,no,no,no,no,no,yes,2141480,2143554,2143804,2145650
37,cs30.bmp,yes,no,no,1999.jpg,2345.jpg,1463.jpg,8540.JPG,8420.JPG,2660.jpg,yes,no,no,no,no,no,2146677,2148922,2149172,2150674
