subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
28,cs30.bmp,9,1468288,1473849
28,cs12.bmp,13,1474600,1479182
28,cs3.bmp,12,1479833,1486348
28,cs1.bmp,11,1487009,1488781
28,cs8.bmp,12,1489432,1491560
28,cs29.bmp,12,1492219,1494698
28,cs17.bmp,12,1495348,1498956
28,cs13.bmp,11,1499607,1505630
28,cs7.bmp,13,1506278,1509514
28,cs27.bmp,12,1510172,1513774
28,cs23.bmp,13,1514433,1517997
28,cs20.bmp,12,1518654,1521739
28,cs9.bmp,13,1522396,1525708
28,cs15.bmp,12,1526361,1529589
28,cs18.bmp,13,1530243,1532264
28,cs25.bmp,12,1532915,1535375
28,cs21.bmp,14,1536033,1538322
28,cs10.bmp,12,1538974,1540831
28,cs6.bmp,13,1541491,1543628
28,cs14.bmp,12,1544280,1546516
28,cs2.bmp,13,1547173,1550158
28,cs24.bmp,11,1550810,1552263
28,cs28.bmp,12,1552915,1555011
28,cs4.bmp,12,1555668,1558007
28,cs19.bmp,12,1558655,1560803
28,cs11.bmp,12,1561457,1563701
28,cs5.bmp,12,1564350,1566214
28,cs26.bmp,12,1566868,1569554
28,cs16.bmp,12,1570209,1571488
28,cs22.bmp,12,1572139,1573798
