trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
258,1,cs1.bmp,neu,30,1616.jpg,1000,maske_3.bmp,500,maske_12.bmp,970,2620.jpg,1616.jpg,2372.jpg,7550.jpg,5920.JPG,7640.jpg
60,1,cs20.bmp,pos,30,1440.jpg,1000,maske_6.bmp,500,maske_11.bmp,970,cs5.bmp,cs26.bmp,cs20.bmp,cs23.bmp,cs22.bmp,cs21.bmp
204,1,cs30.bmp,neg,100,2750.jpg,1000,maske_4.bmp,500,maske_12.bmp,900,cs30.bmp,cs27.bmp,cs11.bmp,cs12.bmp,cs25.bmp,cs6.bmp
156,1,cs11.bmp,neg,30,2276.jpg,1000,maske_7.bmp,500,maske_9.bmp,970,cs27.bmp,cs11.bmp,cs30.bmp,cs8.bmp,cs25.bmp,cs18.bmp
12,1,cs5.bmp,pos,30,1721.jpg,1000,maske_9.bmp,500,maske_5.bmp,970,cs22.bmp,cs5.bmp,cs14.bmp,cs23.bmp,cs15.bmp,cs2.bmp
96,1,cs14.bmp,pos,100,2311.jpg,1000,maske_3.bmp,500,maske_5.bmp,900,cs4.bmp,cs20.bmp,cs28.bmp,cs10.bmp,cs14.bmp,cs22.bmp
30,1,cs22.bmp,pos,30,2311.jpg,1000,maske_5.bmp,500,maske_10.bmp,970,cs28.bmp,cs14.bmp,cs22.bmp,cs23.bmp,cs10.bmp,cs26.bmp
162,1,cs25.bmp,neg,30,9331.jpg,1000,maske_7.bmp,500,maske_5.bmp,970,cs17.bmp,cs12.bmp,cs7.bmp,cs13.bmp,cs25.bmp,cs11.bmp
246,1,cs1.bmp,neu,30,7187.jpg,1000,maske_7.bmp,500,maske_2.bmp,970,2372.jpg,2580.jpg,7090.jpg,5510.jpg,7504.jpg,7187.jpg
276,1,cs9.bmp,neu,100,5455.jpg,1000,maske_10.bmp,500,maske_8.bmp,900,3550.2.jpg,5395.jpg,2620.jpg,5455.jpg,1121.jpg,1616.jpg
102,1,cs28.bmp,pos,900,1710.JPG,1000,maske_10.bmp,500,maske_2.bmp,100,cs26.bmp,cs14.bmp,cs20.bmp,cs5.bmp,cs21.bmp,cs28.bmp
174,1,cs17.bmp,neg,30,2053.JPG,1000,maske_5.bmp,500,maske_1.bmp,970,cs27.bmp,cs7.bmp,cs12.bmp,cs17.bmp,cs6.bmp,cs25.bmp
168,1,cs25.bmp,neg,30,6311.jpg,1000,maske_1.bmp,500,maske_11.bmp,970,cs7.bmp,cs6.bmp,cs27.bmp,cs25.bmp,cs17.bmp,cs11.bmp
312,1,cs24.bmp,neu,30,5731.jpg,1000,maske_4.bmp,500,maske_7.bmp,970,1313.jpg,2487.jpg,5731.jpg,5455.jpg,1616.jpg,2620.jpg
330,1,cs16.bmp,neu,900,2620.jpg,1000,maske_11.bmp,500,maske_2.bmp,100,5740.jpg,7503.JPG,2620.jpg,7233.jpg,2487.jpg,1616.jpg
198,1,cs30.bmp,neg,100,9280.jpg,1000,maske_8.bmp,500,maske_11.bmp,900,cs19.bmp,cs30.bmp,cs17.bmp,cs18.bmp,cs7.bmp,cs8.bmp
306,1,cs24.bmp,neu,30,7640.jpg,1000,maske_9.bmp,500,maske_12.bmp,970,7640.jpg,2575.jpg,5510.jpg,2220.jpg,2635.jpg,1616.jpg
114,1,cs4.bmp,pos,900,2150.JPG,1000,maske_8.bmp,500,maske_3.bmp,100,cs2.bmp,cs5.bmp,cs22.bmp,cs10.bmp,cs21.bmp,cs4.bmp
48,1,cs2.bmp,pos,30,2070.jpg,1000,maske_4.bmp,500,maske_11.bmp,970,cs2.bmp,cs14.bmp,cs26.bmp,cs10.bmp,cs23.bmp,cs21.bmp
324,1,cs29.bmp,neu,100,5731.jpg,1000,maske_11.bmp,500,maske_10.bmp,900,5731.jpg,4631.JPG,3550.2.jpg,5920.JPG,1121.jpg,7211.jpg
54,1,cs20.bmp,pos,30,5831.jpg,1000,maske_3.bmp,500,maske_8.bmp,970,cs20.bmp,cs2.bmp,cs4.bmp,cs22.bmp,cs10.bmp,cs14.bmp
138,1,cs6.bmp,neg,30,9611.jpg,1000,maske_8.bmp,500,maske_1.bmp,970,cs17.bmp,cs6.bmp,cs11.bmp,cs25.bmp,cs8.bmp,cs27.bmp
72,1,cs15.bmp,pos,30,2050.jpg,1000,maske_3.bmp,500,maske_10.bmp,970,cs20.bmp,cs15.bmp,cs26.bmp,cs21.bmp,cs23.bmp,cs5.bmp
270,1,cs9.bmp,neu,100,7490.jpg,1000,maske_2.bmp,500,maske_4.bmp,900,7490.jpg,5731.jpg,7550.jpg,8211.jpg,1616.jpg,7503.JPG
6,1,cs23.bmp,pos,30,5910.JPG,1000,maske_1.bmp,500,maske_8.bmp,970,cs26.bmp,cs22.bmp,cs4.bmp,cs20.bmp,cs23.bmp,cs14.bmp
228,1,cs13.bmp,neg,900,9342.jpg,1000,maske_6.bmp,500,maske_4.bmp,100,cs30.bmp,cs12.bmp,cs13.bmp,cs8.bmp,cs19.bmp,cs11.bmp
234,1,cs27.bmp,neg,900,7359.jpg,1000,maske_11.bmp,500,maske_2.bmp,100,cs27.bmp,cs17.bmp,cs18.bmp,cs25.bmp,cs30.bmp,cs13.bmp
288,1,cs3.bmp,neu,900,7620.JPG,1000,maske_5.bmp,500,maske_10.bmp,100,2487.jpg,7503.JPG,7233.jpg,7620.JPG,7640.jpg,2372.jpg
150,1,cs11.bmp,neg,30,9432.jpg,1000,maske_10.bmp,500,maske_2.bmp,970,cs18.bmp,cs19.bmp,cs7.bmp,cs12.bmp,cs11.bmp,cs13.bmp
264,1,cs1.bmp,neu,30,2620.jpg,1000,maske_7.bmp,500,maske_5.bmp,970,7211.jpg,5731.jpg,2372.jpg,2620.jpg,8211.jpg,2220.jpg
216,1,cs8.bmp,neg,100,9435.jpg,1000,maske_7.bmp,500,maske_12.bmp,900,cs18.bmp,cs6.bmp,cs7.bmp,cs17.bmp,cs8.bmp,cs13.bmp
210,1,cs8.bmp,neg,100,3160.JPG,1000,maske_8.bmp,500,maske_3.bmp,900,cs13.bmp,cs19.bmp,cs18.bmp,cs8.bmp,cs12.bmp,cs6.bmp
84,1,cs21.bmp,pos,100,5831.jpg,1000,maske_9.bmp,500,maske_1.bmp,900,cs14.bmp,cs5.bmp,cs15.bmp,cs2.bmp,cs10.bmp,cs21.bmp
240,1,cs27.bmp,neg,900,9520.JPG,1000,maske_3.bmp,500,maske_1.bmp,100,cs27.bmp,cs13.bmp,cs8.bmp,cs17.bmp,cs6.bmp,cs25.bmp
