subject_nr,cs_filename_usmem,valmem_response_angenehm,valmem_response_unangenehm,valmem_response_neu,usmem_option_1,usmem_option_2,usmem_option_3,usmem_option_4,usmem_option_5,usmem_option_6,usmem_resp1,usmem_resp2,usmem_resp3,usmem_resp4,usmem_resp5,usmem_resp6,time_valmem_form,time_valmem_delay,time_usmem_form,time_usmem_delay
15,cs10.bmp,no,yes,no,2050.jpg,8420.JPG,1710.JPG,8540.JPG,2070.jpg,5831.jpg,no,yes,no,no,no,no,2166557,2179411,2179661,2189444
15,cs7.bmp,no,yes,no,7620.JPG,2220.jpg,7820.jpg,7080.jpg,7211.jpg,2575.jpg,yes,no,no,no,no,no,2190488,2206900,2207150,2214163
15,cs11.bmp,no,yes,no,6831.jpg,9007.jpg,3160.JPG,9220.jpg,9435.jpg,9290.jpg,yes,no,no,no,no,no,2215126,2220283,2220533,2224004
15,cs1.bmp,yes,no,no,2487.jpg,2635.jpg,7004.jpg,2575.jpg,7504.jpg,5510.jpg,no,no,yes,no,no,no,2224953,2227796,2228046,2231155
15,cs4.bmp,yes,no,no,9041.jpg,9331.jpg,2276.jpg,9007.jpg,9280.jpg,9290.jpg,yes,no,no,no,no,no,2232110,2236195,2236445,2242884
15,cs18.bmp,no,yes,no,9611.jpg,9340.JPG,3220.JPG,6831.jpg,9530.JPG,9220.jpg,no,no,yes,no,no,no,2243837,2249723,2249973,2254155
15,cs15.bmp,yes,no,no,7359.jpg,2141.jpg,3181.jpg,9530.JPG,9180.JPG,9265.jpg,no,no,no,no,no,yes,2255107,2257588,2257838,2265275
15,cs16.bmp,yes,no,no,9041.jpg,3300.jpg,3160.JPG,9180.JPG,2455.jpg,9000.jpg,yes,no,no,no,no,no,2266222,2269675,2269925,2282843
15,cs20.bmp,yes,no,no,6311.jpg,9041.jpg,9280.jpg,2455.jpg,9432.jpg,9265.jpg,no,no,no,yes,no,no,2283801,2286147,2286397,2287563
15,cs23.bmp,yes,no,no,9000.jpg,9041.jpg,9280.jpg,9340.JPG,6831.jpg,2141.jpg,no,no,no,no,yes,no,2288510,2290636,2290886,2294956
15,cs14.bmp,no,yes,no,8420.JPG,1750.JPG,7330.JPG,2040.jpg,2080.jpg,1721.jpg,no,no,no,no,yes,no,2295908,2300475,2300725,2304131
15,cs22.bmp,yes,no,no,2070.jpg,2040.jpg,1710.JPG,8540.JPG,2071.jpg,2058.jpg,no,no,yes,no,no,no,2305095,2313220,2313470,2318299
15,cs26.bmp,yes,no,no,6311.jpg,9520.JPG,3220.JPG,9342.jpg,2455.jpg,9415.jpg,no,no,yes,no,no,no,2319282,2321355,2321605,2325364
15,cs21.bmp,yes,no,no,1440.jpg,2057.jpg,1721.jpg,2040.jpg,1999.jpg,5830.JPG,no,yes,no,no,no,no,2326305,2330116,2330366,2332644
