subject_nr,cs_filename_rating,eval_rating,time_ratings_form,time_ratings_delay
54,cs18.bmp,9,2227440,2234557
54,cs1.bmp,5,2235355,2242542
54,cs28.bmp,14,2243242,2246813
54,cs11.bmp,1,2247510,2249637
54,cs7.bmp,6,2250334,2252413
54,cs4.bmp,15,2253107,2256365
54,cs29.bmp,12,2257061,2259726
54,cs19.bmp,4,2260425,2263221
54,cs27.bmp,14,2263916,2266165
54,cs23.bmp,14,2266856,2269189
54,cs16.bmp,17,2269880,2273165
54,cs6.bmp,5,2273867,2276494
54,cs25.bmp,5,2277196,2282357
54,cs9.bmp,0,2283051,2287453
54,cs14.bmp,10,2288144,2293053
54,cs2.bmp,4,2293756,2296421
54,cs26.bmp,6,2297119,2299605
54,cs20.bmp,11,2300305,2302621
54,cs8.bmp,13,2303316,2305501
54,cs15.bmp,6,2306198,2308541
54,cs3.bmp,7,2309232,2311518
54,cs24.bmp,0,2312207,2314205
54,cs10.bmp,2,2314901,2317005
54,cs22.bmp,4,2317699,2320629
54,cs30.bmp,17,2321323,2324757
54,cs5.bmp,4,2325449,2327333
54,cs13.bmp,10,2328026,2329686
54,cs21.bmp,11,2330380,2332269
54,cs17.bmp,8,2332966,2336797
54,cs12.bmp,6,2337494,2339437
