phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,115,gogo_6.jpg,positive,positive,5
globalratings,115,gogo_20.jpg,negative,positive,8
globalratings,115,gogo_9.jpg,negative,positive,13
globalratings,115,gogo_4.jpg,negative,negative,14
globalratings,115,gogo_2.jpg,positive,negative,11
globalratings,115,gogo_13.jpg,(pos),positive,8
globalratings,115,gogo_17.jpg,positive,positive,12
globalratings,115,gogo_7.jpg,positive,negative,14
globalratings,115,gogo_12.jpg,(neg),negative,10
globalratings,115,gogo_3.jpg,negative,(neg),9
globalratings,115,gogo_16.jpg,positive,(pos),12
globalratings,115,gogo_5.jpg,negative,negative,13
c2ratings,115,gogo_6.jpg,positive,positive,11
c2ratings,115,gogo_5.jpg,negative,negative,6
c2ratings,115,gogo_9.jpg,negative,positive,11
c2ratings,115,gogo_12.jpg,(neg),negative,12
c2ratings,115,gogo_7.jpg,positive,negative,9
c2ratings,115,gogo_16.jpg,positive,(pos),13
c2ratings,115,gogo_2.jpg,positive,negative,6
c2ratings,115,gogo_17.jpg,positive,positive,14
c2ratings,115,gogo_4.jpg,negative,negative,12
c2ratings,115,gogo_3.jpg,negative,(neg),10
c2ratings,115,gogo_20.jpg,negative,positive,9
c2ratings,115,gogo_13.jpg,(pos),positive,11
c1ratings,115,gogo_4.jpg,negative,negative,5
c1ratings,115,gogo_2.jpg,positive,negative,10
c1ratings,115,gogo_13.jpg,(pos),positive,6
c1ratings,115,gogo_6.jpg,positive,positive,3
c1ratings,115,gogo_12.jpg,(neg),negative,6
c1ratings,115,gogo_7.jpg,positive,negative,10
c1ratings,115,gogo_20.jpg,negative,positive,7
c1ratings,115,gogo_16.jpg,positive,(pos),6
c1ratings,115,gogo_3.jpg,negative,(neg),6
c1ratings,115,gogo_9.jpg,negative,positive,10
c1ratings,115,gogo_17.jpg,positive,positive,12
c1ratings,115,gogo_5.jpg,negative,negative,11
