id,age,gender,mothertongue,handedness,vision,vision_impairment,field_of_study,material,stim_duration,isi,block,n_prime,prime1,prime2,prime3,target,prime5,probe,probe_type,probe_response,correct_response,correct,rt
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,096.bmp,120.bmp,040.bmp,abacus_15.bmp,082.bmp,abacus_15.bmp,target,a,a,1,1967
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,059.bmp,084.bmp,hourglass_17.bmp,009.bmp,hourglass_17.bmp,target,a,a,1,964
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,046.bmp,crib_12.bmp,126.bmp,crib_12.bmp,target,a,a,1,2967
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,126.bmp,leaves_1.bmp,021.bmp,ceilingfan_12.bmp,new,l,l,1,1869
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,065.bmp,053.bmp,magazinecovers_2.bmp,082.bmp,magazinecovers_6.bmp,lure,l,l,1,1028
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,112.bmp,024.bmp,058.bmp,decorativescreen_10.bmp,083.bmp,rollerskates_5.bmp,new,l,l,1,884
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,003.bmp,cookpot_9.bmp,038.bmp,cellphone_7.bmp,new,l,l,1,895
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,103.bmp,024.bmp,showercurtain_12.bmp,112.bmp,highchair_1.bmp,new,l,l,1,744
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,020.bmp,046.bmp,010.bmp,doorknob_15.bmp,048.bmp,bed_15.bmp,new,l,l,1,987
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,063.bmp,stapler_8.bmp,088.bmp,stapler_8.bmp,target,a,a,1,1142
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,058.bmp,008.bmp,042.bmp,glasses_4.bmp,076.bmp,glasses_9.bmp,lure,a,l,0,801
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,040.bmp,068.bmp,backpack_4.bmp,038.bmp,backpack_4.bmp,target,a,a,1,803
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,128.bmp,109.bmp,goggle_5.bmp,050.bmp,goggle_10.bmp,lure,l,l,1,1027
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,005.bmp,093.bmp,necktie_4.bmp,098.bmp,cooler_10.bmp,new,l,l,1,776
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,053.bmp,052.bmp,005.bmp,hanger_2.bmp,094.bmp,hanger_2.bmp,target,a,a,1,910
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,071.bmp,035.bmp,tricycle_1.bmp,039.bmp,tricycle_1.bmp,target,a,a,1,901
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,035.bmp,092.bmp,basket_8.bmp,021.bmp,basket_8.bmp,target,l,a,0,2216
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,047.bmp,112.bmp,095.bmp,camera_14.bmp,068.bmp,camera_14.bmp,target,a,a,1,871
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,037.bmp,063.bmp,pen_5.bmp,021.bmp,pen_5.bmp,target,a,a,1,699
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,022.bmp,045.bmp,093.bmp,box_16.bmp,115.bmp,box_11.bmp,lure,l,l,1,1159
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,021.bmp,114.bmp,055.bmp,axe_12.bmp,030.bmp,axe_12.bmp,target,l,a,0,1128
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,011.bmp,tv_16.bmp,095.bmp,wig_8.bmp,new,l,l,1,1290
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,011.bmp,047.bmp,016.bmp,mic_11.bmp,031.bmp,garbagecan_6.bmp,new,l,l,1,1219
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,104.bmp,084.bmp,066.bmp,golfball_2.bmp,077.bmp,golfball_2.bmp,target,a,a,1,809
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,003.bmp,061.bmp,mathcompass_12.bmp,128.bmp,mathcompass_6.bmp,lure,a,l,0,705
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,043.bmp,beermug_14.bmp,115.bmp,beermug_13.bmp,lure,l,l,1,828
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,026.bmp,chessboard_1.bmp,098.bmp,desk_8.bmp,new,l,l,1,879
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,118.bmp,064.bmp,059.bmp,phone_13.bmp,043.bmp,rosary_8.bmp,new,l,l,1,851
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,058.bmp,052.bmp,086.bmp,handbag_1.bmp,104.bmp,handbag_17.bmp,lure,l,l,1,729
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,004.bmp,suitcase_15.bmp,081.bmp,suitcase_13.bmp,lure,l,l,1,1254
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,098.bmp,022.bmp,106.bmp,dollhouse_3.bmp,096.bmp,dollhouse_3.bmp,target,a,a,1,590
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,050.bmp,023.bmp,meat_13.bmp,002.bmp,meat_13.bmp,target,l,a,0,1038
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,067.bmp,064.bmp,pitcher_10.bmp,045.bmp,pitcher_11.bmp,lure,l,l,1,861
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,122.bmp,094.bmp,024.bmp,train_16.bmp,103.bmp,train_16.bmp,target,a,a,1,779
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,007.bmp,054.bmp,052.bmp,chocolate_12.bmp,019.bmp,chocolate_10.bmp,lure,l,l,1,862
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,002.bmp,047.bmp,mattress_9.bmp,030.bmp,mattress_14.bmp,lure,l,l,1,1102
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,069.bmp,feather_1.bmp,101.bmp,watch_10.bmp,new,l,l,1,933
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,122.bmp,043.bmp,cheese_15.bmp,090.bmp,cheese_3.bmp,lure,a,l,0,1118
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,079.bmp,fishhook_10.bmp,050.bmp,button_11.bmp,new,l,l,1,769
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,096.bmp,053.bmp,trophy_8.bmp,075.bmp,trophy_8.bmp,target,a,a,1,1033
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,036.bmp,bowtie_6.bmp,094.bmp,bowtie_6.bmp,target,a,a,1,629
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,111.bmp,045.bmp,112.bmp,turtle_11.bmp,040.bmp,turtle_7.bmp,lure,a,l,0,785
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,125.bmp,050.bmp,020.bmp,roadsign_11.bmp,099.bmp,muffin_4.bmp,new,l,l,1,1371
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,043.bmp,004.bmp,018.bmp,motorcycle_4.bmp,119.bmp,motorcycle_4.bmp,target,a,a,1,812
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,062.bmp,exerciseequipment_14.bmp,109.bmp,exerciseequipment_11.bmp,lure,a,l,0,703
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,050.bmp,085.bmp,027.bmp,bowl_4.bmp,121.bmp,leatherman_5.bmp,new,l,l,1,863
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,012.bmp,ring_5.bmp,024.bmp,ring_1.bmp,lure,a,l,0,736
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,043.bmp,117.bmp,009.bmp,bike_14.bmp,094.bmp,bike_14.bmp,target,a,a,1,619
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,054.bmp,126.bmp,092.bmp,toyrabbit_12.bmp,017.bmp,toyrabbit_11.bmp,lure,l,l,1,765
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,055.bmp,087.bmp,chair_7.bmp,126.bmp,tree_9.bmp,new,l,l,1,1026
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,120.bmp,027.bmp,104.bmp,mushroom_8.bmp,103.bmp,mushroom_8.bmp,target,a,a,1,551
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,040.bmp,019.bmp,032.bmp,laptop_11.bmp,044.bmp,laptop_9.bmp,lure,a,l,0,462
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,003.bmp,flag_14.bmp,101.bmp,flag_17.bmp,lure,a,l,0,2328
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,102.bmp,088.bmp,razor_2.bmp,034.bmp,razor_17.bmp,lure,a,l,0,854
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,008.bmp,066.bmp,088.bmp,stamp_2.bmp,095.bmp,stamp_2.bmp,target,a,a,1,806
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,013.bmp,107.bmp,061.bmp,gift_17.bmp,028.bmp,hairdryer_6.bmp,new,l,l,1,893
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,023.bmp,003.bmp,lei_3.bmp,058.bmp,lei_16.bmp,lure,l,l,1,1377
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,036.bmp,110.bmp,027.bmp,bongo_1.bmp,057.bmp,bongo_14.bmp,lure,a,l,0,1337
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,114.bmp,072.bmp,microwave_18.bmp,015.bmp,microwave_9.bmp,lure,l,l,1,1193
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,035.bmp,046.bmp,clock_5.bmp,090.bmp,bench_3.bmp,new,l,l,1,1068
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,093.bmp,045.bmp,027.bmp,frisbee_7.bmp,127.bmp,frisbee_15.bmp,lure,l,l,1,1147
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,015.bmp,bird_17.bmp,066.bmp,bird_17.bmp,target,a,a,1,865
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,073.bmp,fan_6.bmp,041.bmp,parfait_11.bmp,new,l,l,1,742
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,030.bmp,028.bmp,bowlingpin_14.bmp,114.bmp,bowlingpin_14.bmp,target,a,a,1,1002
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,049.bmp,circuitboard_16.bmp,108.bmp,circuitboard_13.bmp,lure,a,l,0,930
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,125.bmp,085.bmp,hammer_14.bmp,001.bmp,hammer_17.bmp,lure,l,l,1,952
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,003.bmp,saltpeppershake_8.bmp,097.bmp,calculator_11.bmp,new,l,l,1,895
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,098.bmp,041.bmp,balloon_6.bmp,070.bmp,umbrella_1.bmp,new,l,l,1,822
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,016.bmp,013.bmp,105.bmp,pizza_1.bmp,070.bmp,pizza_6.bmp,lure,l,l,1,933
