material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
brady;watch_6.bmp;69;4;7;4;16;16;37;37;26,5;37;repeated_related;target
brady;lawnmower_13.bmp;37;0;3;2;0;0;0;0;0;0;center;lure
brady;iceskates_14.bmp;34;1;5;3;38;0;0;0;38;38;center;target
brady;bagel_4.bmp;4;0;8;4;0;0;0;0;0;0;repeated_related;lure
brady;rusdoll_5.bmp;50;0;3;2;0;0;0;0;0;0;center;lure
brady;tricycle_10.bmp;61;0;3;1;0;0;0;0;0;0;control;lure
brady;mic_12.bmp;39;1;8;4;2;0;0;0;2;2;related;target
brady;garbagecan_17.bmp;24;0;9;4;0;0;0;0;0;0;repeated_related;lure
brady;trunk_3.bmp;64;0;3;3;0;0;0;0;0;0;related;lure
brady;printer_16.bmp;45;1;9;4;61;0;0;0;61;61;related;target
brady;birdhouse_11.bmp;6;0;4;2;0;0;0;0;0;0;repeated;lure
brady;sofa_6.bmp;59;3;6;3;11;63;63;0;45,666667;63;center;target
brady;circuitboard_2.bmp;17;0;8;4;0;0;0;0;0;0;repeated_related;lure
brady;hairbrush_12.bmp;29;0;4;2;0;0;0;0;0;0;repeated;lure
brady;chair_16.bmp;14;3;3;3;21;40;40;0;33,666667;40;repeated;target
brady;powerstrip_8.bmp;44;0;3;2;0;0;0;0;0;0;center;lure
brady;jacket_10.bmp;35;0;4;3;0;0;0;0;0;0;related;lure
brady;cherubstatue_10.bmp;16;1;2;1;22;0;0;0;22;22;control;target
brady;flashlight_12.bmp;23;1;1;1;8;0;0;0;8;8;control;target
brady;horseshoe_12.bmp;33;3;7;4;3;33;33;0;23;33;repeated_related;target
brady;beanbagchair_3.bmp;5;4;1;1;21;21;48;48;34,5;48;repeated;target
brady;watergun_3.bmp;70;0;4;2;0;0;0;0;0;0;repeated;lure
brady;plant_14.bmp;43;1;9;4;50;0;0;0;50;50;related;target
brady;easteregg_14.bmp;21;0;3;1;0;0;0;0;0;0;control;lure
brady;wig_12.bmp;71;1;1;1;15;0;0;0;15;15;control;target
brady;fan_11.bmp;22;0;3;2;0;0;0;0;0;0;control;lure
brady;shredder_5.bmp;55;2;6;4;62;62;0;0;62;62;center;target
brady;hammer_17.bmp;31;0;4;3;0;0;0;0;0;0;related;lure
brady;doorknob_14.bmp;19;3;3;3;18;18;36;0;24;36;repeated;target
brady;glasses_15.bmp;25;3;8;4;20;43;43;0;35,333333;43;repeated_related;target
