material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
migo;Chocolate6.bmp;12;1;9;4;12;0;0;0;12;12;related;target
migo;Jigsaw10.bmp;24;0;3;2;0;0;0;0;0;0;center;lure
migo;Button10.bmp;7;4;1;1;13;13;25;25;19;25;repeated;target
migo;Chilli12.bmp;11;0;4;2;0;0;0;0;0;0;repeated;lure
migo;Plug4.bmp;36;4;3;3;2;2;41;41;21,5;41;repeated;target
migo;Screw10.bmp;39;3;9;4;16;16;36;0;22,666667;36;repeated_related;target
migo;Feather11.bmp;15;1;1;1;36;0;0;0;36;36;control;target
migo;Stapler6.bmp;41;4;6;4;6;6;37;37;21,5;37;repeated_related;target
migo;Pen1.bmp;35;0;3;3;0;0;0;0;0;0;related;lure
migo;Biscuit9.bmp;3;0;9;4;0;0;0;0;0;0;repeated_related;lure
migo;Umbrella17.bmp;49;1;10;4;40;0;0;0;40;40;related;target
migo;Varnish3.bmp;50;1;6;3;42;0;0;0;42;42;center;target
migo;Coins10.bmp;13;2;7;4;14;25;0;0;19,5;25;center;target
migo;Man10.bmp;29;0;4;2;0;0;0;0;0;0;repeated;lure
migo;Leaf10.bmp;27;0;3;1;0;0;0;0;0;0;control;lure
migo;Fork8.bmp;17;0;3;3;0;0;0;0;0;0;related;lure
migo;Tomato18.bmp;47;0;4;3;0;0;0;0;0;0;center;lure
migo;Flower14.bmp;16;0;8;4;0;0;0;0;0;0;repeated_related;lure
migo;Key11.bmp;25;0;2;1;0;0;0;0;0;0;control;lure
migo;Lipstick3.bmp;28;1;1;1;7;0;0;0;7;7;control;target
