material;item;category;ndisplayed;nrelated;nrelated_unique;1st_trial;2nd_trial;3rd_trial;4th_trail;mean_trail;last_trial;condition;probe_type
words;drucker;33;3;8;3;19;19;38;0;25,333333;38;repeated_related;target
words;kreis;56;0;2;1;0;0;0;0;0;0;control;lure
words;schuppen;23;3;8;4;18;62;62;0;47,333333;62;repeated_related;target
words;zange;4;4;3;3;7;7;60;60;33,5;60;repeated;target
words;erdkunde;19;1;1;1;5;0;0;0;5;5;control;target
words;lenkrad;63;0;2;2;0;0;0;0;0;0;related;lure
words;marzipan;55;0;4;3;0;0;0;0;0;0;related;lure
words;rose;7;1;1;1;40;0;0;0;40;40;control;target
words;klarinette;14;0;4;2;0;0;0;0;0;0;repeated;lure
words;kaiser;53;0;2;2;0;0;0;0;0;0;related;lure
words;gabel;21;1;1;1;64;0;0;0;64;64;control;target
words;trauer;44;0;3;1;0;0;0;0;0;0;control;lure
words;bohnen;2;0;8;4;0;0;0;0;0;0;repeated_related;lure
words;cannabis;54;1;5;3;52;0;0;0;52;52;center;target
words;schäferhund;46;0;3;2;0;0;0;0;0;0;center;lure
words;hagel;61;0;10;4;0;0;0;0;0;0;repeated_related;lure
words;schach;57;0;4;2;0;0;0;0;0;0;center;lure
words;ameise;13;0;5;2;0;0;0;0;0;0;repeated;lure
words;fluss;67;1;9;4;31;0;0;0;31;31;related;target
words;zombie;50;1;9;4;14;0;0;0;14;14;related;target
words;roggen;64;0;5;1;0;0;0;0;0;0;repeated;lure
words;hamburg;16;0;4;2;0;0;0;0;0;0;center;lure
words;panther;40;0;3;1;0;0;0;0;0;0;control;lure
words;golf;8;4;1;1;10;10;61;61;35,5;61;repeated;target
words;wolle;24;3;8;4;5;35;35;0;25;35;repeated_related;target
words;forelle;12;1;9;4;64;0;0;0;64;64;related;target
words;schwert;36;0;10;4;0;0;0;0;0;0;repeated_related;lure
words;diesel;29;2;5;3;34;34;0;0;34;34;center;target
words;riechen;65;2;6;3;16;33;0;0;24,5;33;center;target
words;fernsehen;27;3;0;0;30;30;49;0;36,333333;49;repeated;target
