experiment	subject	material	item	category	stm_probe	ndisplayed	nrelated	nrelated_unique	1st_trial	2nd_trial	3rd_trial	4th_trail	mean_trail	last_trial
FAUST_1[2014-06]	  2	words	bein	  1	  1	  1	  1	  1	 49	  0	  0	  0	49,000000	49
FAUST_1[2014-06]	  2	words	arm	  1	  1	  1	  1	  1	 21	  0	  0	  0	21,000000	21
FAUST_1[2014-06]	  2	words	kopf	  1	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	hand	  1	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	fuß	  1	  0	  0	  2	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	spinat	  2	  0	  1	  9	  4	 15	  0	  0	  0	15,000000	15
FAUST_1[2014-06]	  2	words	bohnen	  2	  1	  4	  6	  4	 15	 15	 15	 62	26,750000	62
FAUST_1[2014-06]	  2	words	tomaten	  2	  0	  2	  8	  4	 15	 62	  0	  0	38,500000	62
FAUST_1[2014-06]	  2	words	blumenkohl	  2	  0	  2	  8	  4	 15	 62	  0	  0	38,500000	62
FAUST_1[2014-06]	  2	words	karotten	  2	  0	  1	  9	  4	 62	  0	  0	  0	62,000000	62
FAUST_1[2014-06]	  2	words	banane	  3	  0	  2	  7	  4	 47	 47	  0	  0	47,000000	47
FAUST_1[2014-06]	  2	words	apfel	  3	  0	  1	  8	  4	 47	  0	  0	  0	47,000000	47
FAUST_1[2014-06]	  2	words	birne	  3	  0	  1	  8	  4	 47	  0	  0	  0	47,000000	47
FAUST_1[2014-06]	  2	words	pflaume	  3	  0	  1	  8	  4	 47	  0	  0	  0	47,000000	47
FAUST_1[2014-06]	  2	words	erdbeere	  3	  2	  4	  5	  4	  5	  5	  5	 47	15,500000	47
FAUST_1[2014-06]	  2	words	hammer	  4	  1	  2	  4	  3	 28	 49	  0	  0	38,500000	49
FAUST_1[2014-06]	  2	words	säge	  4	  0	  2	  4	  3	 28	 49	  0	  0	38,500000	49
FAUST_1[2014-06]	  2	words	meißel	  4	  0	  1	  5	  3	 49	  0	  0	  0	49,000000	49
FAUST_1[2014-06]	  2	words	bohrer	  4	  0	  1	  5	  3	 49	  0	  0	  0	49,000000	49
FAUST_1[2014-06]	  2	words	zange	  4	  0	  0	  6	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	hose	  5	  0	  1	  4	  4	 18	  0	  0	  0	18,000000	18
FAUST_1[2014-06]	  2	words	jacke	  5	  0	  1	  4	  4	 18	  0	  0	  0	18,000000	18
FAUST_1[2014-06]	  2	words	rock	  5	  0	  1	  4	  4	 18	  0	  0	  0	18,000000	18
FAUST_1[2014-06]	  2	words	hemd	  5	  1	  1	  4	  4	 44	  0	  0	  0	44,000000	44
FAUST_1[2014-06]	  2	words	bluse	  5	  0	  1	  4	  4	 18	  0	  0	  0	18,000000	18
FAUST_1[2014-06]	  2	words	tisch	  6	  0	  1	  5	  4	 55	  0	  0	  0	55,000000	55
FAUST_1[2014-06]	  2	words	stuhl	  6	  0	  2	  4	  4	 25	 25	  0	  0	25,000000	25
FAUST_1[2014-06]	  2	words	schrank	  6	  0	  1	  5	  4	 55	  0	  0	  0	55,000000	55
FAUST_1[2014-06]	  2	words	sofa	  6	  0	  1	  5	  4	 55	  0	  0	  0	55,000000	55
FAUST_1[2014-06]	  2	words	regal	  6	  0	  1	  5	  4	 55	  0	  0	  0	55,000000	55
FAUST_1[2014-06]	  2	words	rose	  7	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	tulpe	  7	  0	  2	  1	  1	  4	  4	  0	  0	4,000000	4
FAUST_1[2014-06]	  2	words	nelke	  7	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	lilie	  7	  1	  1	  2	  1	 38	  0	  0	  0	38,000000	38
FAUST_1[2014-06]	  2	words	veilchen	  7	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	fußball	  8	  0	  2	  7	  4	 63	 63	  0	  0	63,000000	63
FAUST_1[2014-06]	  2	words	tennis	  8	  1	  1	  8	  4	 63	  0	  0	  0	63,000000	63
FAUST_1[2014-06]	  2	words	golf	  8	  0	  1	  8	  4	 63	  0	  0	  0	63,000000	63
FAUST_1[2014-06]	  2	words	schwimmen	  8	  0	  1	  8	  4	 63	  0	  0	  0	63,000000	63
FAUST_1[2014-06]	  2	words	skifahren	  8	  1	  4	  5	  4	 30	 30	 30	 63	38,250000	63
FAUST_1[2014-06]	  2	words	amsel	  9	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	schwalbe	  9	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	fink	  9	  0	  0	  3	  2	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	taube	  9	  0	  2	  1	  1	  2	 53	  0	  0	27,500000	53
FAUST_1[2014-06]	  2	words	meise	  9	  1	  1	  2	  1	  2	  0	  0	  0	2,000000	2
FAUST_1[2014-06]	  2	words	eiche	 10	  0	  1	  7	  3	 43	  0	  0	  0	43,000000	43
FAUST_1[2014-06]	  2	words	birke	 10	  1	  3	  5	  3	 22	 22	 43	  0	29,000000	43
FAUST_1[2014-06]	  2	words	tanne	 10	  1	  3	  5	  3	 43	 43	 43	  0	43,000000	43
FAUST_1[2014-06]	  2	words	weide	 10	  0	  0	  8	  4	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	buche	 10	  0	  1	  7	  3	 43	  0	  0	  0	43,000000	43
FAUST_1[2014-06]	  2	words	lehrer	 11	  1	  2	  5	  4	 17	 40	  0	  0	28,500000	40
FAUST_1[2014-06]	  2	words	arzt	 11	  1	  2	  5	  4	 40	 40	  0	  0	40,000000	40
FAUST_1[2014-06]	  2	words	pfarrer	 11	  0	  1	  6	  4	 40	  0	  0	  0	40,000000	40
FAUST_1[2014-06]	  2	words	polizist	 11	  0	  1	  6	  4	 40	  0	  0	  0	40,000000	40
FAUST_1[2014-06]	  2	words	richter	 11	  0	  1	  6	  4	 17	  0	  0	  0	17,000000	17
FAUST_1[2014-06]	  2	words	forelle	 12	  0	  1	  3	  2	 37	  0	  0	  0	37,000000	37
FAUST_1[2014-06]	  2	words	hering	 12	  0	  0	  4	  3	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	lachs	 12	  0	  2	  2	  2	 18	 18	  0	  0	18,000000	18
FAUST_1[2014-06]	  2	words	thunfisch	 12	  0	  0	  4	  3	  0	  0	  0	  0	0,000000	0
FAUST_1[2014-06]	  2	words	makrele	 12	  1	  1	  3	  2	 37	  0	  0	  0	37,000000	37
FAUST_1[2014-06]	  2	words	ameise	 13	  0	  2	  4	  3	 39	 39	  0	  0	39,000000	39
FAUST_1[2014-06]	  2	words	mücke	 13	  0	  2	  4	  3	 27	 39	  0	  0	33,000000	39
