experiment	subject	trial	order	material	repeated	related	probetype	response	correct	rt	confidence	confidence_rt	probe	category	ndisplayed	nrelated	nrelated_unique	trial1	trial2	trial3	trial4	mean_trial	last_trial	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	32	-1	4	migo	2	1	target	1	1	2622	3	3844	Strawberry21.bmp	43	3	3	3	11	11	37	0	19,000000	37	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	3	3	lure	2	1	3311	3	2064	Keys5.bmp	26	0	3	2	0	0	0	0	0,000000	0	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	1	1	lure	1	0	1487	2	1050	Bun12.bmp	6	0	3	2	0	0	0	0	0,000000	0	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	2	1	lure	1	0	1122	3	2413	Candle10.bmp	9	0	4	2	0	0	0	0	0,000000	0	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	2	1	lure	1	0	1415	4	897	Ginger10.bmp	19	0	4	2	0	0	0	0	0,000000	0	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	1	1	lure	1	0	1179	3	989	Tomato12.bmp	47	0	2	2	0	0	0	0	0,000000	0	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	1	1	target	1	1	990	3	897	Man4.bmp	29	1	1	1	3	0	0	0	3,000000	3	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	2	2	target	1	1	851	4	933	Nut11.bmp	31	4	6	3	22	22	32	32	27,000000	32	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	2	2	target	1	1	1925	4	1034	Button3.bmp	7	3	9	4	21	21	38	0	26,000000	38	40	2	1	1	1	POLIZIST
FAUST_1[2014-06]	32	-1	4	migo	2	2	lure	1	0	1606	3	1977	Bag25.bmp	2	0	8	4	0	0	0	0	0,000000	0	40	2	1	1	1	POLIZIST
