experiment	subject	block	trial	order	material	repeated	related	probetype	response	correct	rt	math_response	math_correctresponse	math_correct	math_rt	confidence	confidence_rt	probe	item1	item2	item3	item4	item5	item6	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	37	1	26	2	1	1	1	1	1	1	1761	2	2	1	2634	3	2245	LESEN	mumps	masern	mumps	grippe	lesen	windpocken	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	1	2	1	2	1	1	1	1	4496	1	2	0	2741	3	4443	LUNGE	klebeband	lineal	brieföffner	lunge	locher	lunge	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	29	2	1	1	2	1	1	1	1410	2	2	1	1760	4	1258	ERDKUNDE	physik	biologie	quadrat	mathematik	quadrat	erdkunde	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	27	2	1	2	2	1	1	1	1196	1	1	1	1201	4	1043	SCHWALBE	schwalbe	amsel	schwalbe	meise	regal	fink	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	23	2	1	1	1	1	1	1	2361	1	1	1	1997	4	1314	MONOPOLY	hütte	baracke	schuppen	blockhaus	monopoly	schuppen	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	24	2	1	2	1	1	1	1	1151	1	1	1	2481	4	1457	WALZER	internet	zeitung	walzer	buch	fernsehen	walzer	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	2	2	1	1	2	1	2	0	2431	2	1	0	1295	3	4323	WOLLE	sonnenschein	leinen	sonnenschein	flanell	baumwolle	wolle	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	18	2	1	2	2	1	1	1	2557	2	2	1	2524	4	1669	DINKEL	gerste	dinkel	hafer	weizen	dinkel	boot	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	11	2	1	1	1	1	2	0	11816	1	1	1	2158	3	2074	PIZZA	pizza	western	horrorfilm	western	komödie	actionfilm	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	10	2	1	2	1	1	1	1	3840	1	2	0	1696	3	1479	SOHN	verb	nomen	präposition	sohn	adverb	sohn	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	5	2	1	1	2	1	1	1	5027	2	1	0	2170	3	6833	JACKE	bluse	apfel	hemd	jacke	rock	apfel	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	32	2	1	2	2	1	1	1	1284	1	1	1	2142	4	1433	GUMMIBÄRCHEN	gummibärchen	lakritz	gummibärchen	bonbons	gold	marzipan	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	31	2	1	1	1	2	2	1	2729	2	2	1	1623	3	1877	GLAS	birke	buche	tanne	becher	birke	eiche	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	16	2	1	2	1	2	2	1	1006	1	1	1	2079	3	4195	STRAßENBAHN	zug	löffel	brotmesser	teelöffel	zug	gabel	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	12	2	1	1	2	2	2	1	4926	2	1	0	1849	2	10330	KINO	zentimeter	oper	konzertsaal	theater	zentimeter	zirkus	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	6	2	1	2	2	2	2	1	2120	1	2	0	1457	4	1330	LAPTOP	pfannenwender	drucker	computer	mobiltelefon	computer	kamera	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	28	2	1	1	1	2	2	1	1523	1	1	1	2186	4	1140	KEROSIN	petroleum	thymian	majoran	rosmarin	oregano	rosmarin	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	15	2	1	2	1	2	2	1	1837	2	2	1	2537	3	1543	HÖREN	angst	fühlen	freude	scham	fühlen	ärger	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	14	2	1	1	2	2	2	1	10524	2	1	0	2841	3	1527	FÜRST	graf	herzog	könig	werwolf	kaiser	werwolf	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	3	2	1	2	2	2	1	0	5134	2	1	0	1333	4	2459	STICKSTOFF	helium	wasserstoff	weser	wasserstoff	sauerstoff	kohlenstoff	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	9	2	1	1	1	2	2	1	2701	2	1	0	2813	4	4285	MEER	leopard	puma	tiger	ozean	puma	panther	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	13	2	1	2	1	2	2	1	2077	1	2	0	3028	3	1916	HESSEN	brandenburg	thunfisch	makrele	lachs	brandenburg	hering	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	30	2	1	1	2	2	2	1	1793	1	1	1	2396	4	3288	FLÖTE	rückspiegel	oboe	trompete	rückspiegel	klarinette	posaune	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	19	2	1	2	2	2	2	1	1610	2	2	1	2746	4	2929	SCHÜTZE	wassermann	jungfrau	zwilling	steinbock	jungfrau	arzt	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	4	2	1	1	1	3	2	1	2909	1	2	0	2157	4	1695	HAUPTSCHULE	opium	münchen	hamburg	stuttgart	hannover	stuttgart	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	17	2	1	2	1	3	2	1	1033	1	1	1	1668	4	1039	HUMMEL	bohrer	österreich	meißel	zange	österreich	säge	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	8	2	1	1	1	3	2	1	2615	1	2	0	1620	4	2398	KUGELSCHREIBER	mops	dogge	mark	mops	schäferhund	dackel	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	7	2	1	2	1	3	2	1	2367	1	2	0	1858	4	3289	SEKUNDE	golf	tennis	karotten	fußball	karotten	skifahren	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	20	2	1	1	1	3	2	1	1150	1	1	1	1998	4	2072	SCHWERT	tempel	synagoge	nelke	kapelle	kirche	synagoge	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	22	2	1	2	1	3	2	1	1185	2	2	1	2389	4	1517	ROT	gin	rum	audi	whiskey	tequila	audi	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	25	2	1	1	1	3	2	1	2133	2	1	0	2470	4	1401	MERKUR	beethoven	lidschatten	kajal	rouge	lidschatten	wimperntusche	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	1	21	2	1	2	1	3	2	1	1293	2	1	0	1786	4	2779	FUß	stecknadel	australien	häkelnadel	stricknadel	sicherheitsnadel	australien	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	20	2	3	1	1	1	2	0	4126	2	1	0	2104	2	2357	highchair_15.bmp	carabiner_5.bmp	highchair_15.bmp	carabiner_9.bmp	carabiner_6.bmp	carabiner_9.bmp	carabiner_2.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	31	2	3	2	1	1	1	1	1138	1	1	1	1779	4	1719	ring_8.bmp	speaker_10.bmp	speaker_15.bmp	ring_8.bmp	speaker_17.bmp	ring_8.bmp	speaker_6.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	9	2	3	1	2	1	1	1	3310	2	2	1	1802	1	2603	powerstrip_8.bmp	bagel_12.bmp	powerstrip_7.bmp	powerstrip_8.bmp	bagel_12.bmp	powerstrip_14.bmp	powerstrip_13.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	15	2	3	2	2	1	1	1	2681	2	2	1	1195	4	1381	iceskates_14.bmp	parfait_13.bmp	iceskates_16.bmp	iceskates_14.bmp	iceskates_5.bmp	iceskates_9.bmp	iceskates_14.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	18	2	3	1	1	1	2	0	2822	1	1	1	2345	2	4143	tv_4.bmp	cake_14.bmp	cake_4.bmp	cake_3.bmp	cake_1.bmp	cake_3.bmp	tv_4.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	4	2	3	2	1	1	1	1	1940	2	2	1	2416	4	1471	cheesegrater_14.bmp	shredder_5.bmp	cheesegrater_14.bmp	shredder_6.bmp	shredder_1.bmp	cheesegrater_14.bmp	shredder_15.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	22	2	3	1	2	1	1	1	1250	2	1	0	1785	4	1361	pasta_15.bmp	guitar_14.bmp	pasta_11.bmp	pasta_15.bmp	pasta_9.bmp	pasta_13.bmp	guitar_14.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	28	2	3	2	2	1	1	1	2124	1	1	1	1520	3	1961	remote_11.bmp	remote_14.bmp	remote_11.bmp	remote_3.bmp	doorknob_7.bmp	remote_11.bmp	remote_2.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	10	2	3	1	1	1	1	1	2466	2	2	1	2537	4	2455	cherubstatue_12.bmp	lawnmower_8.bmp	lawnmower_13.bmp	lawnmower_8.bmp	lawnmower_3.bmp	lawnmower_15.bmp	cherubstatue_12.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	14	2	3	2	1	1	1	1	3114	1	1	1	1480	4	1705	easteregg_16.bmp	hammer_11.bmp	easteregg_16.bmp	hammer_17.bmp	hammer_6.bmp	easteregg_16.bmp	hammer_8.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	21	2	3	1	2	1	1	1	1608	2	2	1	1617	4	2016	fan_11.bmp	videogamecontroller_3.bmp	fan_17.bmp	fan_11.bmp	fan_1.bmp	fan_10.bmp	videogamecontroller_3.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	29	2	3	2	2	1	1	1	1119	1	1	1	1922	4	1676	birdhouse_11.bmp	birdhouse_11.bmp	birdhouse_14.bmp	birdhouse_11.bmp	birdhouse_9.bmp	birdhouse_7.bmp	laptop_10.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	19	2	3	1	1	2	2	1	2491	2	2	1	2445	3	4769	hairbrush_17.bmp	abacus_6.bmp	abacus_15.bmp	hairbrush_16.bmp	abacus_7.bmp	abacus_6.bmp	abacus_2.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	11	2	3	2	1	2	2	1	3087	1	1	1	2128	2	2972	carriage_3.bmp	carriage_12.bmp	vase_6.bmp	carriage_12.bmp	vase_5.bmp	vase_13.bmp	vase_1.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	32	2	3	1	2	2	2	1	3066	1	1	1	2389	2	5783	horseshoe_12.bmp	horseshoe_6.bmp	goggle_9.bmp	horseshoe_3.bmp	goggle_9.bmp	horseshoe_5.bmp	horseshoe_4.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	7	2	3	2	2	2	1	0	2688	1	1	1	1294	2	8073	windchime_10.bmp	watch_8.bmp	windchime_15.bmp	windchime_3.bmp	windchime_16.bmp	windchime_6.bmp	windchime_15.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	6	2	3	1	1	2	2	1	3217	1	1	1	1243	3	1873	tricycle_2.bmp	beanbagchair_12.bmp	beanbagchair_17.bmp	beanbagchair_15.bmp	tricycle_5.bmp	beanbagchair_12.bmp	beanbagchair_3.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	12	2	3	2	1	2	2	1	4012	1	1	1	1766	1	1853	trumpet_5.bmp	trumpet_1.bmp	trophy_6.bmp	trophy_14.bmp	trumpet_1.bmp	trophy_16.bmp	trophy_4.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	23	2	3	1	2	2	2	1	2960	2	2	1	1127	3	1548	bowlingpin_1.bmp	bowlingpin_13.bmp	bowlingpin_4.bmp	bowlingpin_11.bmp	wig_12.bmp	bowlingpin_3.bmp	wig_12.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	17	2	3	2	2	2	1	0	3218	2	1	0	1085	3	2580	hairdryer_14.bmp	hairdryer_12.bmp	hairdryer_2.bmp	mic_12.bmp	hairdryer_7.bmp	hairdryer_12.bmp	hairdryer_13.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
