sid,tid,tix,bid,task,prime_identity,prime_color,prime_valence,target_identity,target_color,target_valence,response,response_time,error,target_onset,response_window_start,response_window_end
24,1,1,1,color_matching,begabt,blue,positive,weich,blue,positive,match,9.6393,0,0.0715,0.5333,0.6667
24,2,2,1,color_matching,munter,blue,positive,lebhaft,brown,positive,nonmatch,1.8223,0,0.0715,0.5333,0.6667
24,3,3,1,color_matching,jähzornig,brown,negative,unehrlich,blue,negative,nonmatch,0.719,0,0.0715,0.5333,0.6667
24,4,4,1,color_matching,gutherzig,brown,positive,gehässig,blue,negative,nonmatch,0.7857,0,0.0715,0.5333,0.6667
24,5,5,1,color_matching,kritisch,brown,positive,ungerecht,brown,negative,match,1.0884,0,0.0715,0.5333,0.6667
24,6,6,1,color_matching,wahr,blue,positive,grausam,blue,negative,match,0.4997,0,0.0715,0.5333,0.6667
24,7,7,1,color_matching,böswillig,blue,negative,habgierig,blue,negative,match,0.5,0,0.0715,0.5333,0.6667
24,8,8,1,color_matching,widerlich,brown,negative,brutal,brown,negative,match,0.7021,0,0.0715,0.5333,0.6667
24,9,9,1,color_matching,brutal,brown,negative,fleißig,brown,positive,nonmatch,0.6357,1,0.0715,0.5333,0.6667
24,10,10,1,color_matching,falsch,brown,negative,sensibel,blue,positive,nonmatch,0.7521,0,0.0715,0.5333,0.6667
24,11,11,1,color_matching,bösartig,blue,negative,widerlich,brown,negative,nonmatch,1.5834,0,0.0715,0.5333,0.6667
24,12,12,1,color_matching,grausam,blue,negative,boshaft,brown,negative,nonmatch,0.7525,0,0.0715,0.5333,0.6667
24,13,13,1,color_matching,unehrlich,brown,negative,verlogen,brown,negative,match,0.9456,0,0.0715,0.5333,0.6667
24,14,14,1,color_matching,habgierig,brown,negative,wahr,blue,positive,nonmatch,0.619,0,0.0715,0.5333,0.6667
24,15,15,1,color_matching,fleißig,brown,positive,autoritär,blue,negative,nonmatch,0.6689,0,0.0715,0.5333,0.6667
24,16,16,1,color_matching,verlogen,brown,negative,witzig,brown,positive,match,0.9604,0,0.0715,0.5333,0.6667
24,17,17,1,color_matching,sensibel,brown,positive,optimal,brown,positive,match,0.5085,0,0.0715,0.5333,0.6667
24,18,18,1,color_matching,herzlos,blue,negative,gefühllos,blue,negative,match,0.5688,0,0.0715,0.5333,0.6667
24,19,19,1,color_matching,ungerecht,blue,negative,gebildet,brown,positive,nonmatch,0.4992,0,0.0715,0.5333,0.6667
24,20,20,1,color_matching,freudig,brown,positive,bösartig,brown,negative,match,1.1811,0,0.0715,0.5333,0.6667
24,21,21,1,color_matching,denkfähig,blue,positive,begabt,blue,positive,match,0.6189,0,0.0715,0.5333,0.6667
24,22,22,1,color_matching,gefühllos,blue,negative,munter,blue,positive,match,0.3738,0,0.0715,0.5333,0.6667
24,23,23,1,color_matching,sicher,blue,positive,gutherzig,brown,positive,nonmatch,0.5522,0,0.0715,0.5333,0.6667
24,24,24,1,color_matching,optimal,brown,positive,kritisch,blue,positive,nonmatch,0.4204,0,0.0715,0.5333,0.6667
24,25,25,1,color_matching,witzig,blue,positive,herzlos,brown,negative,nonmatch,0.4704,0,0.0715,0.5333,0.6667
24,26,26,1,color_matching,weich,blue,positive,jähzornig,blue,negative,match,0.5115,0,0.0715,0.5333,0.6667
24,27,27,1,color_matching,boshaft,blue,negative,sicher,blue,positive,match,0.5856,0,0.0715,0.5333,0.6667
24,28,28,1,color_matching,autoritär,brown,negative,falsch,blue,negative,nonmatch,0.5291,0,0.0715,0.5333,0.6667
24,29,29,1,color_matching,gebildet,brown,positive,denkfähig,blue,positive,nonmatch,0.4292,0,0.0715,0.5333,0.6667
24,30,30,1,color_matching,gehässig,blue,negative,beständig,brown,positive,nonmatch,0.4717,0,0.0715,0.5333,0.6667
24,31,31,1,color_matching,beständig,brown,positive,freudig,brown,positive,match,0.6355,0,0.0715,0.5333,0.6667
24,32,32,1,color_matching,lebhaft,blue,positive,böswillig,brown,negative,nonmatch,0.6357,0,0.0715,0.5333,0.6667
24,33,1,2,color_matching,boshaft,brown,negative,widerlich,blue,negative,nonmatch,0.9122,0,0.0715,0.5333,0.6667
24,34,2,2,color_matching,verlogen,blue,negative,begabt,blue,positive,match,0.6354,0,0.0715,0.5333,0.6667
24,35,3,2,color_matching,falsch,brown,negative,weich,brown,positive,match,0.6689,0,0.0715,0.5333,0.6667
24,36,4,2,color_matching,jähzornig,blue,negative,autoritär,blue,negative,match,0.6689,0,0.0715,0.5333,0.6667
24,37,5,2,color_matching,weich,blue,positive,falsch,blue,negative,match,0.5523,0,0.0715,0.5333,0.6667
24,38,6,2,color_matching,sicher,brown,positive,freudig,brown,positive,match,0.819,0,0.0715,0.5333,0.6667
24,39,7,2,color_matching,witzig,brown,positive,gehässig,brown,negative,match,0.6023,0,0.0715,0.5333,0.6667
