"sid","bid","tid","tix","study_phase","pause","feedback","task","key_assignment","prime_valence","target_valence","prime_color","target_color","prime_identity","target_identity","match"
10,13,385,1,"experimental",0,0,"color_matching","match_right","positive","positive","brown","brown","schön","fair","match"
10,13,386,2,"experimental",0,0,"color_matching","match_right","negative","positive","blue","brown","träge","heiter","nonmatch"
10,13,387,3,"experimental",0,0,"color_matching","match_right","negative","positive","blue","blue","brutal","weich","match"
10,13,388,4,"experimental",0,0,"color_matching","match_right","positive","negative","blue","blue","mutig","brutal","match"
10,13,389,5,"experimental",0,0,"color_matching","match_right","positive","positive","blue","blue","lustig","zart","match"
10,13,390,6,"experimental",0,0,"color_matching","match_right","negative","negative","blue","brown","böse","blöd","nonmatch"
10,13,391,7,"experimental",0,0,"color_matching","match_right","negative","negative","blue","blue","unfair","rüde","match"
10,13,392,8,"experimental",0,0,"color_matching","match_right","positive","positive","blue","blue","sanft","offen","match"
10,13,393,9,"experimental",0,0,"color_matching","match_right","negative","positive","blue","blue","einsam","ideal","match"
10,13,394,10,"experimental",0,0,"color_matching","match_right","positive","negative","blue","brown","zart","grob","nonmatch"
10,13,395,11,"experimental",0,0,"color_matching","match_right","negative","positive","brown","brown","prüde","human","match"
10,13,396,12,"experimental",0,0,"color_matching","match_right","positive","negative","brown","brown","gut","böse","match"
10,13,397,13,"experimental",0,0,"color_matching","match_right","positive","negative","brown","brown","aktiv","teuer","match"
10,13,398,14,"experimental",0,0,"color_matching","match_right","positive","positive","brown","blue","warm","gesund","nonmatch"
10,13,399,15,"experimental",0,0,"color_matching","match_right","positive","positive","blue","brown","heiter","weise","nonmatch"
10,13,400,16,"experimental",0,0,"color_matching","match_right","negative","positive","brown","blue","fies","frei","nonmatch"
10,13,401,17,"experimental",0,0,"color_matching","match_right","negative","positive","brown","brown","eitel","wahr","match"
10,13,402,18,"experimental",0,0,"color_matching","match_right","negative","negative","blue","brown","blöde","geizig","nonmatch"
10,13,403,19,"experimental",0,0,"color_matching","match_right","negative","negative","blue","blue","feige","dumm","match"
10,13,404,20,"experimental",0,0,"color_matching","match_right","negative","negative","blue","brown","gemein","eitel","nonmatch"
10,13,405,21,"experimental",0,0,"color_matching","match_right","positive","positive","blue","blue","offen","munter","match"
10,13,406,22,"experimental",0,0,"color_matching","match_right","negative","negative","brown","brown","eisig","giftig","match"
10,13,407,23,"experimental",0,0,"color_matching","match_right","positive","negative","brown","blue","treu","unfair","nonmatch"
10,13,408,24,"experimental",0,0,"color_matching","match_right","negative","negative","brown","blue","blöd","kalt","nonmatch"
10,13,409,25,"experimental",0,0,"color_matching","match_right","positive","positive","blue","brown","froh","warm","nonmatch"
10,13,410,26,"experimental",0,0,"color_matching","match_right","negative","negative","brown","brown","roh","gemein","match"
10,13,411,27,"experimental",0,0,"color_matching","match_right","negative","positive","blue","brown","dumm","mutig","nonmatch"
10,13,412,28,"experimental",0,0,"color_matching","match_right","negative","positive","blue","brown","tot","lustig","nonmatch"
10,13,413,29,"experimental",0,0,"color_matching","match_right","positive","positive","brown","blue","gesund","aktiv","nonmatch"
10,13,414,30,"experimental",0,0,"color_matching","match_right","positive","negative","blue","blue","lieb","einsam","match"
