"sid","bid","tid","tix","study_phase","pause","feedback","task","key_assignment","prime_valence","target_valence","prime_color","target_color","prime_identity","target_identity","match"
2,1,1,1,"practice",0,1,"color_matching","match_right","positive","positive","brown","brown","zart","human","match"
2,1,2,2,"practice",0,1,"color_matching","match_right","positive","positive","brown","brown","wahr","mutig","match"
2,1,3,3,"practice",0,1,"color_matching","match_right","negative","negative","brown","blue","blöd","fies","nonmatch"
2,1,4,4,"practice",0,1,"color_matching","match_right","negative","negative","blue","blue","tot","dumm","match"
2,1,5,5,"practice",0,1,"color_matching","match_right","positive","negative","blue","brown","treu","grob","nonmatch"
2,1,6,6,"practice",0,1,"color_matching","match_right","positive","positive","blue","brown","sanft","offen","nonmatch"
2,1,7,7,"practice",0,1,"color_matching","match_right","negative","negative","brown","brown","träge","tot","match"
2,1,8,8,"practice",0,1,"color_matching","match_right","negative","positive","brown","brown","dumm","gut","match"
2,1,9,9,"practice",0,1,"color_matching","match_right","negative","negative","blue","blue","kalt","träge","match"
2,1,10,10,"practice",0,1,"color_matching","match_right","positive","positive","blue","blue","warm","sanft","match"
2,1,11,11,"practice",0,1,"color_matching","match_right","negative","positive","blue","blue","eisig","treu","match"
2,1,12,12,"practice",0,1,"color_matching","match_right","positive","positive","brown","blue","aktiv","warm","nonmatch"
2,1,13,13,"practice",0,1,"color_matching","match_right","positive","negative","blue","brown","human","teuer","nonmatch"
2,1,14,14,"practice",0,1,"color_matching","match_right","negative","negative","brown","blue","rüde","eitel","nonmatch"
2,1,15,15,"practice",0,1,"color_matching","match_right","positive","negative","brown","brown","gut","blöde","match"
2,1,16,16,"practice",0,1,"color_matching","match_right","positive","positive","blue","brown","lieb","aktiv","nonmatch"
2,1,17,17,"practice",0,1,"color_matching","match_right","negative","positive","blue","brown","teuer","froh","nonmatch"
2,1,18,18,"practice",0,1,"color_matching","match_right","positive","positive","brown","blue","ideal","frei","nonmatch"
2,1,19,19,"practice",0,1,"color_matching","match_right","negative","positive","blue","blue","feige","klug","match"
2,1,20,20,"practice",0,1,"color_matching","match_right","positive","positive","blue","blue","frei","fair","match"
2,1,21,21,"practice",0,1,"color_matching","match_right","positive","negative","blue","blue","offen","prüde","match"
2,1,22,22,"practice",0,1,"color_matching","match_right","negative","positive","brown","brown","böse","zart","match"
2,1,23,23,"practice",0,1,"color_matching","match_right","negative","positive","brown","blue","fies","wahr","nonmatch"
2,1,24,24,"practice",0,1,"color_matching","match_right","negative","positive","blue","brown","roh","lieb","nonmatch"
2,1,25,25,"practice",0,1,"color_matching","match_right","negative","negative","blue","brown","blöde","rüde","nonmatch"
2,1,26,26,"practice",0,1,"color_matching","match_right","positive","negative","brown","blue","klug","roh","nonmatch"
2,1,27,27,"practice",0,1,"color_matching","match_right","negative","negative","blue","brown","grob","eisig","nonmatch"
2,1,28,28,"practice",0,1,"color_matching","match_right","negative","negative","brown","brown","eitel","blöd","match"
2,1,29,29,"practice",0,1,"color_matching","match_right","positive","negative","brown","brown","mutig","böse","match"
2,1,30,30,"practice",0,1,"color_matching","match_right","positive","negative","brown","blue","froh","feige","nonmatch"
2,1,31,31,"practice",0,1,"color_matching","match_right","negative","positive","brown","blue","prüde","ideal","nonmatch"
2,1,32,32,"practice",1,1,"color_matching","match_right","positive","negative","blue","blue","fair","kalt","match"
2,2,33,1,"practice",0,1,"color_matching","match_right","positive","positive","brown","brown","klug","warm","match"
2,2,34,2,"practice",0,1,"color_matching","match_right","positive","negative","brown","blue","aktiv","fies","nonmatch"
2,2,35,3,"practice",0,1,"color_matching","match_right","positive","negative","blue","brown","mutig","grob","nonmatch"
2,2,36,4,"practice",0,1,"color_matching","match_right","negative","negative","blue","brown","rüde","eisig","nonmatch"
2,2,37,5,"practice",0,1,"color_matching","match_right","negative","positive","brown","brown","kalt","zart","match"
2,2,38,6,"practice",0,1,"color_matching","match_right","negative","negative","brown","brown","teuer","feige","match"
2,2,39,7,"practice",0,1,"color_matching","match_right","negative","negative","blue","blue","tot","teuer","match"
2,2,40,8,"practice",0,1,"color_matching","match_right","negative","positive","brown","brown","prüde","sanft","match"
2,2,41,9,"practice",0,1,"color_matching","match_right","negative","positive","brown","blue","grob","froh","nonmatch"
2,2,42,10,"practice",0,1,"color_matching","match_right","negative","positive","brown","blue","dumm","gut","nonmatch"
2,2,43,11,"practice",0,1,"color_matching","match_right","positive","positive","brown","blue","offen","treu","nonmatch"
2,2,44,12,"practice",0,1,"color_matching","match_right","positive","negative","brown","brown","warm","prüde","match"
2,2,45,13,"practice",0,1,"color_matching","match_right","positive","negative","brown","brown","treu","blöde","match"
2,2,46,14,"practice",0,1,"color_matching","match_right","positive","negative","blue","blue","wahr","kalt","match"
2,2,47,15,"practice",0,1,"color_matching","match_right","positive","negative","brown","blue","ideal","roh","nonmatch"
