sid,tid,tix,bid,bix,study_task,current_task,prime_identity,prime_part_of_speech,prime_valence,target_identity,target_part_of_speech,target_valence,target_onset,response,response_time,error,response_window_start,response_window_end
2,1,1,1,1,part_of_speech_classification,part_of_speech_classification,WJJW,,,einfall,noun,positive,0.7849,noun,4.8887,0,0.41,0.54
2,2,2,1,1,part_of_speech_classification,part_of_speech_classification,ZYYZ,,,gütig,adjective,positive,0.7804,adjective,0.805,0,0.41,0.54
2,3,3,1,1,part_of_speech_classification,part_of_speech_classification,WJJW,,,glück,noun,positive,0.7804,adjective,0.3759,1,0.41,0.54
2,4,4,1,1,part_of_speech_classification,part_of_speech_classification,XVVX,,,eitel,adjective,negative,0.7804,noun,0.5287,1,0.41,0.54
2,5,5,1,1,part_of_speech_classification,part_of_speech_classification,ZYYZ,,,ehrlich,adjective,positive,0.7804,adjective,0.775,0,0.41,0.54
2,6,6,1,1,part_of_speech_classification,part_of_speech_classification,MQQM,,,gift,noun,negative,0.7804,noun,0.5846,0,0.41,0.54
2,7,7,1,1,part_of_speech_classification,part_of_speech_classification,XVVX,,,gierig,adjective,negative,0.7804,adjective,0.6089,0,0.41,0.54
2,8,8,1,1,part_of_speech_classification,part_of_speech_classification,MQQM,,,entführung,noun,negative,0.7804,noun,0.584,0,0.41,0.54
2,9,1,2,2,part_of_speech_classification,part_of_speech_classification,ZYYZ,,,ehrlich,adjective,positive,0.7804,adjective,0.8815,0,0.41,0.54
2,10,2,2,2,part_of_speech_classification,part_of_speech_classification,WJJW,,,einfall,noun,positive,0.7804,adjective,0.534,1,0.41,0.54
2,11,3,2,2,part_of_speech_classification,part_of_speech_classification,XVVX,,,gierig,adjective,negative,0.7804,adjective,0.4768,0,0.41,0.54
2,12,4,2,2,part_of_speech_classification,part_of_speech_classification,ZYYZ,,,gütig,adjective,positive,0.7804,noun,0.4798,1,0.41,0.54
2,13,5,2,2,part_of_speech_classification,part_of_speech_classification,MQQM,,,gift,noun,negative,0.7804,noun,0.5041,0,0.41,0.54
2,14,6,2,2,part_of_speech_classification,part_of_speech_classification,WJJW,,,glück,noun,positive,0.7804,adjective,0.5339,1,0.41,0.54
2,15,7,2,2,part_of_speech_classification,part_of_speech_classification,MQQM,,,entführung,noun,negative,0.7804,noun,0.6487,0,0.41,0.54
2,16,8,2,2,part_of_speech_classification,part_of_speech_classification,XVVX,,,eitel,adjective,negative,0.7804,noun,0.516,1,0.41,0.54
