sid,tid,tix,bid,bix,study_task,current_task,prime_identity,prime_part_of_speech,prime_valence,target_identity,target_part_of_speech,target_valence,target_onset,response,response_time,error,response_window_start,response_window_end
10,1,1,1,1,valence_classification,valence_classification,WJJW,,,schleim,noun,negative,0.7861,negative,5.4415,0,0.41,0.54
10,2,2,1,1,valence_classification,valence_classification,MQQM,,,eitel,adjective,negative,0.7804,positive,2.1124,1,0.41,0.54
10,3,3,1,1,valence_classification,valence_classification,XVVX,,,einfall,noun,positive,0.7804,positive,2.2223,0,0.41,0.54
10,4,4,1,1,valence_classification,valence_classification,XVVX,,,liebe,noun,positive,0.7804,positive,1.0004,0,0.41,0.54
10,5,5,1,1,valence_classification,valence_classification,WJJW,,,entführung,noun,negative,0.7804,negative,0.7223,0,0.41,0.54
10,6,6,1,1,valence_classification,valence_classification,MQQM,,,schlecht,adjective,negative,0.7804,negative,0.6605,0,0.41,0.54
10,7,7,1,1,valence_classification,valence_classification,WJJW,,,entführung,noun,negative,0.7804,negative,0.8255,0,0.41,0.54
10,8,8,1,1,valence_classification,valence_classification,XVVX,,,glück,noun,positive,0.7804,positive,0.6117,0,0.41,0.54
10,9,9,1,1,valence_classification,valence_classification,WJJW,,,gift,noun,negative,0.7804,negative,0.7498,0,0.41,0.54
10,10,10,1,1,valence_classification,valence_classification,XVVX,,,glück,noun,positive,0.7804,positive,0.7828,0,0.41,0.54
10,11,11,1,1,valence_classification,valence_classification,MQQM,,,gierig,adjective,negative,0.7804,negative,0.6821,0,0.41,0.54
10,12,12,1,1,valence_classification,valence_classification,MQQM,,,eitel,adjective,negative,0.7804,negative,0.7036,0,0.41,0.54
10,13,13,1,1,valence_classification,valence_classification,ZYYZ,,,gütig,adjective,positive,0.7804,positive,0.8071,0,0.41,0.54
10,14,14,1,1,valence_classification,valence_classification,ZYYZ,,,gütig,adjective,positive,0.7804,positive,0.6564,0,0.41,0.54
10,15,15,1,1,valence_classification,valence_classification,ZYYZ,,,schön,adjective,positive,0.7804,positive,0.7636,0,0.41,0.54
10,16,16,1,1,valence_classification,valence_classification,MQQM,,,gierig,adjective,negative,0.7804,negative,0.9097,0,0.41,0.54
