sid,tid,tix,bid,bix,study_task,current_task,prime_identity,prime_part_of_speech,prime_valence,target_identity,target_part_of_speech,target_valence,target_onset,response,response_time,error,response_window_start,response_window_end,n_target
17,717,1,23,1,valence_classification,color_matching,WJJW,noun,negative,glück,noun,positive,0.5066,nonmatch,4.1649,1,0.4718,0.6075,66.0491933901881
17,718,2,23,1,valence_classification,color_matching,MQQM,noun,positive,lustig,adjective,positive,0.4503,match,1.0802,0,0.4718,0.6075,66.0491933901881
17,719,3,23,1,valence_classification,color_matching,MQQM,noun,positive,gift,noun,negative,0.4503,nonmatch,1.0332,0,0.4718,0.6075,66.0491933901881
17,720,4,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,leiche,noun,negative,0.4503,match,1.1431,0,0.4718,0.6075,66.0491933901881
17,721,5,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,liebe,noun,positive,0.4525,nonmatch,1.32,0,0.4718,0.6075,66.0491933901881
17,722,6,23,1,valence_classification,color_matching,WJJW,noun,negative,schleim,noun,negative,0.4503,nonmatch,1.0754,0,0.4718,0.6075,66.0491933901881
17,723,7,23,1,valence_classification,color_matching,WJJW,noun,negative,schlecht,adjective,negative,0.4503,match,1.2484,0,0.4718,0.6075,66.0491933901881
17,724,8,23,1,valence_classification,color_matching,XVVX,adjective,positive,spaß,noun,positive,0.4503,nonmatch,1.0285,0,0.4718,0.6075,66.0491933901881
17,725,9,23,1,valence_classification,color_matching,XVVX,adjective,positive,schleim,noun,negative,0.4504,match,0.9092,0,0.4718,0.6075,66.0491933901881
17,726,10,23,1,valence_classification,color_matching,XVVX,adjective,positive,gift,noun,negative,0.4503,nonmatch,0.9625,0,0.4718,0.6075,66.0491933901881
17,727,11,23,1,valence_classification,color_matching,MQQM,noun,positive,eitel,adjective,negative,0.4533,match,0.8406,0,0.4718,0.6075,66.0491933901881
17,728,12,23,1,valence_classification,color_matching,MQQM,noun,positive,einfall,noun,positive,0.4503,nonmatch,0.9466,0,0.4718,0.6075,66.0491933901881
17,729,13,23,1,valence_classification,color_matching,ZYYZ,adjective,negative,glück,noun,positive,0.4504,nonmatch,1.1357,0,0.4718,0.6075,66.0491933901881
17,730,14,23,1,valence_classification,color_matching,WJJW,noun,negative,einfall,noun,positive,0.4503,match,0.9464,0,0.4718,0.6075,66.0491933901881
