sid,tid,tix,bid,bix,study_task,current_task,study_phase,key_assignment,prime_identity,prime_part_of_speech,prime_valence,prime_color,target_identity,target_part_of_speech,target_valence,target_color,target_onset,response,response_time,error,response_window_start,response_window_end,n_target
16,1,1,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,faul,,negative,black,0.9134,negative,1.6147,0,0.41,0.54,41
16,2,2,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,schroff,,negative,black,0.8805,negative,0.7137,0,0.41,0.54,41
16,3,3,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,fair,,positive,black,0.8805,positive,0.6772,0,0.41,0.54,41
16,4,4,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,treu,,positive,black,0.8805,positive,0.7828,0,0.41,0.54,41
16,5,5,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,lachen,,positive,black,0.8805,positive,0.7111,0,0.41,0.54,41
16,6,6,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,freundlich,,positive,black,0.8805,positive,0.6314,0,0.41,0.54,41
16,7,7,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,freundlich,,positive,black,0.8805,positive,0.6964,0,0.41,0.54,41
16,8,8,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,rächen,,negative,black,0.8805,negative,0.6398,0,0.41,0.54,41
16,9,9,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,spielen,,positive,black,0.8805,positive,0.6156,0,0.41,0.54,41
16,10,10,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,spielen,,positive,black,0.8805,positive,0.4651,0,0.41,0.54,41
16,11,11,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,faul,,negative,black,0.8809,negative,0.5769,0,0.41,0.54,41
16,12,12,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,leiden,,negative,black,0.8805,negative,1.6572,0,0.41,0.54,41
16,13,13,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,hindern,,negative,black,0.8805,negative,0.9055,0,0.41,0.54,41
16,14,14,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,lasch,,negative,black,0.8805,negative,1.0489,0,0.41,0.54,41
16,15,15,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,rächen,,negative,black,0.8805,negative,0.8171,0,0.41,0.54,41
16,16,16,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,hindern,,negative,black,0.8805,negative,0.697,0,0.41,0.54,41
16,17,17,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,eitel,,negative,black,0.8805,negative,1.6333,0,0.41,0.54,41
16,18,18,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,helfen,,positive,black,0.8805,positive,0.889,0,0.41,0.54,41
16,19,19,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,strafen,,negative,black,0.8805,negative,0.889,0,0.41,0.54,41
16,20,20,1,1,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,leiden,,negative,black,0.8805,negative,0.8886,0,0.41,0.54,41
16,21,21,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,ehrlich,,positive,black,0.8805,positive,0.8006,0,0.41,0.54,41
16,22,22,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,lachen,,positive,black,0.8805,positive,0.6411,0,0.41,0.54,41
16,23,23,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,loyal,,positive,black,0.8806,positive,0.688,0,0.41,0.54,41
16,24,24,1,1,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,fair,,positive,black,0.8805,positive,0.4489,0,0.41,0.54,41
16,25,1,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,freundlich,,positive,black,0.883,positive,4.503,0,0.41,0.54,41
16,26,2,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,treu,,positive,black,0.8805,positive,0.7162,0,0.41,0.54,41
16,27,3,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,ehrlich,,positive,black,0.8805,positive,0.4274,0,0.41,0.54,41
16,28,4,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,leiden,,negative,black,0.8805,negative,0.5101,0,0.41,0.54,41
16,29,5,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,lachen,,positive,black,0.8805,positive,0.4972,0,0.41,0.54,41
16,30,6,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,hindern,,negative,black,0.8805,positive,0.4257,1,0.41,0.54,41
16,31,7,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,spielen,,positive,black,0.8805,positive,0.5001,0,0.41,0.54,41
16,32,8,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,rächen,,negative,black,0.8805,negative,0.3941,0,0.41,0.54,41
16,33,9,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,loyal,,positive,black,0.8806,positive,0.5914,0,0.41,0.54,41
16,34,10,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,rächen,,negative,black,0.8805,negative,0.5996,0,0.41,0.54,41
16,35,11,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,leiden,,negative,black,0.8806,negative,0.534,0,0.41,0.54,41
16,36,12,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,faul,,negative,black,0.8805,negative,0.3905,0,0.41,0.54,41
16,37,13,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,lasch,,negative,black,0.8805,positive,0.4488,1,0.41,0.54,41
16,38,14,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,freundlich,,positive,black,0.8805,positive,0.4833,0,0.41,0.54,41
16,39,15,2,2,valence_classification,valence_classification,acquisition,negative_left,GKQX,,,black,eitel,,negative,black,0.8805,negative,0.4497,0,0.41,0.54,41
16,40,16,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,lachen,,positive,black,0.8805,positive,0.3491,0,0.41,0.54,41
16,41,17,2,2,valence_classification,valence_classification,acquisition,negative_left,BMVZ,,,black,fair,,positive,black,0.8805,positive,0.619,0,0.41,0.54,41
