phase,subject_nr,cs_filename,cs_type, eval_rating
globalratings,3,10.png,positive,negative,9,
globalratings,3,8.png,positive,negative,8,
globalratings,3,1.png,negative,positive,6,
globalratings,3,23.png,negative,positive,5,
globalratings,3,14.png,neutral,neutral,4,
c2ratings,3,10.png,positive,negative,14,
c2ratings,3,8.png,positive,negative,9,
c2ratings,3,1.png,negative,positive,8,
c2ratings,3,23.png,negative,positive,6,
c2ratings,3,14.png,neutral,neutral,5,
c1ratings,3,10.png,positive,negative,7,
c1ratings,3,8.png,positive,negative,9,
c1ratings,3,1.png,negative,positive,11,
c1ratings,3,23.png,negative,positive,13,
c1ratings,3,14.png,neutral,neutral,14,
phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,3,14.png,negative,positive,12
globalratings,3,21.png,negative,positive,9
globalratings,3,10.png,negative,positive,9
globalratings,3,18.png,positive,negative,5
globalratings,3,17.png,positive,negative,8
globalratings,3,23.png,neutral,neutral,9
globalratings,3,5.png,neutral,neutral,9
globalratings,3,8.png,neutral,neutral,9
globalratings,3,24.png,positive,negative,5
globalratings,3,1.png,positive,negative,7
globalratings,3,9.png,negative,positive,5
globalratings,3,20.png,negative,positive,4
globalratings,3,3.png,negative,positive,13
globalratings,3,12.png,neutral,neutral,9
globalratings,3,7.png,neutral,neutral,9
globalratings,3,4.png,positive,negative,8
globalratings,3,11.png,neutral,neutral,9
globalratings,3,26.png,positive,negative,8
c2ratings,3,18.png,positive,negative,0
c2ratings,3,20.png,negative,positive,5
c2ratings,3,14.png,negative,positive,18
c2ratings,3,4.png,positive,negative,7
c2ratings,3,9.png,negative,positive,0
c2ratings,3,26.png,positive,negative,6
c2ratings,3,12.png,neutral,neutral,9
c2ratings,3,24.png,positive,negative,0
c2ratings,3,7.png,neutral,neutral,9
c2ratings,3,23.png,neutral,neutral,9
c2ratings,3,3.png,negative,positive,18
c2ratings,3,8.png,neutral,neutral,9
c2ratings,3,11.png,neutral,neutral,9
c2ratings,3,5.png,neutral,neutral,9
c2ratings,3,1.png,positive,negative,6
c2ratings,3,10.png,negative,positive,5
c2ratings,3,17.png,positive,negative,4
c2ratings,3,21.png,negative,positive,15
c1ratings,3,5.png,neutral,neutral,9
c1ratings,3,14.png,negative,positive,0
c1ratings,3,26.png,positive,negative,13
c1ratings,3,18.png,positive,negative,9
c1ratings,3,10.png,negative,positive,6
c1ratings,3,12.png,neutral,neutral,9
c1ratings,3,17.png,positive,negative,6
c1ratings,3,9.png,negative,positive,5
c1ratings,3,11.png,neutral,neutral,9
c1ratings,3,23.png,neutral,neutral,9
c1ratings,3,4.png,positive,negative,13
c1ratings,3,1.png,positive,negative,8
c1ratings,3,21.png,negative,positive,9
c1ratings,3,7.png,neutral,neutral,5
c1ratings,3,20.png,negative,positive,5
c1ratings,3,24.png,positive,negative,12
c1ratings,3,8.png,neutral,neutral,9
c1ratings,3,3.png,negative,positive,5
