phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,42,1,1,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,42,1,2,2,NA,NA,empty.png,25.png,0,None,None,None,None
trials,42,1,3,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,42,1,4,2,NA,NA,5970.JPG,5660.JPG,0,None,None,None,None
trials,42,1,5,2,NA,NA,5780.JPG,5870.JPG,0,None,None,None,None
trials,42,1,6,2,1,positive,26.png,empty.png,0,None,None,None,None
trials,42,1,7,2,1,neutral,7.png,empty.png,0,None,None,None,None
trials,42,1,8,2,NA,NA,9000.JPG,5250.JPG,0,None,None,None,None
trials,42,1,9,2,1,negative,8.png,empty.png,0,None,None,None,None
trials,42,1,10,2,NA,NA,empty.png,9280.JPG,0,None,None,None,None
trials,42,1,11,2,NA,NA,5720.JPG,empty.png,0,None,None,None,None
trials,42,1,12,2,NA,NA,2.png,empty.png,0,None,None,None,None
trials,42,1,13,2,1,negative,17.png,2399.JPG,0,None,None,None,None
trials,42,1,14,2,NA,NA,16.png,6.png,0,None,None,None,None
trials,42,1,15,2,1,positive,10.png,1440.JPG,0,None,None,None,None
trials,42,1,16,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,42,1,17,2,NA,NA,empty.png,5720.JPG,0,None,None,None,None
trials,42,1,18,2,1,positive,24.png,1620.JPG,0,None,None,None,None
trials,42,1,19,2,1,negative,21.png,empty.png,0,None,None,None,None
trials,42,1,20,2,NA,NA,15.png,13.png,0,None,None,None,None
trials,42,1,21,2,NA,NA,5970.JPG,5660.JPG,0,None,None,None,None
trials,42,1,22,2,NA,NA,empty.png,19.png,0,None,None,None,None
trials,42,1,23,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,42,1,24,2,1,neutral,14.png,7233.JPG,0,None,None,None,None
trials,42,1,25,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,42,1,26,2,2,neutral,7.png,empty.png,0,None,None,None,None
trials,42,1,27,2,1,positive,9.png,1460.JPG,0,None,None,None,None
trials,42,1,28,2,2,neutral,14.png,7233.JPG,0,None,None,None,None
trials,42,1,29,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,42,1,30,2,NA,NA,25.png,empty.png,0,None,None,None,None
trials,42,1,31,2,NA,NA,27.png,22.png,0,None,None,None,None
trials,42,1,32,2,2,negative,17.png,2399.JPG,0,None,None,None,None
trials,42,1,33,2,2,positive,9.png,1460.JPG,0,None,None,None,None
trials,42,1,34,2,1,neutral,3.png,empty.png,0,None,None,None,None
trials,42,1,35,2,NA,NA,16.png,6.png,0,None,None,None,None
trials,42,1,36,2,2,negative,21.png,empty.png,0,None,None,None,None
trials,42,1,37,2,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,42,1,38,2,1,negative,1.png,empty.png,0,None,None,None,None
