phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,66,1,1,2,1,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,1,2,2,1,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,1,3,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,4,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,1,5,2,NA,NA,NA,15.png,16.png,0,None,None,None,None
trials,66,1,6,2,1,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,1,7,2,1,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,1,8,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,9,2,1,neutral,extinction,empty.png,7.png,0,None,None,None,None
trials,66,1,10,2,1,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,1,11,2,2,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,1,12,2,1,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,1,13,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,1,14,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,1,15,2,1,negative,extinction,empty.png,23.png,0,None,None,None,None
trials,66,1,16,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,1,17,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,1,18,2,NA,NA,NA,empty.png,5611.JPG,0,None,None,None,None
trials,66,1,19,2,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,66,1,20,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,21,2,1,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,1,22,2,2,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,1,23,2,1,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,1,24,2,NA,NA,NA,empty.png,25.png,0,None,None,None,None
trials,66,1,25,2,2,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,1,26,2,2,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,1,27,2,1,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,1,28,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,29,2,1,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,1,30,2,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,66,1,31,2,1,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,1,32,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,1,33,2,1,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,1,34,2,NA,NA,NA,19.png,empty.png,0,None,None,None,None
trials,66,1,35,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,36,2,NA,NA,NA,25.png,empty.png,0,None,None,None,None
trials,66,1,37,2,2,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,1,38,2,NA,NA,NA,15.png,16.png,0,None,None,None,None
trials,66,1,39,2,1,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,1,40,2,2,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,1,41,2,2,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,1,42,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,1,43,2,2,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,1,44,2,2,neutral,extinction,empty.png,24.png,0,None,None,None,None
trials,66,1,45,2,3,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
