block_nr,count__expectancy,count_ec_block_loop,count_ec_blocks_loop,count_expectancy,expectancy,order,response__expectancy,response_expectancy,response_time__expectancy,response_time_expectancy,stim1,stim2,subject_nr,time_ec_block_loop,time_expectancy,usval
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","24.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","6.png","25.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","26.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5611.JPG","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","7000.JPG","21.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","4.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","7009.JPG","11.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5780.JPG","5970.JPG","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","2.png","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","13.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","13.png","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","7009.JPG","11.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","3.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","16.png","15.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","2141.JPG","17.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","2900.1.JPG","10.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","27.png","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","26.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","7006.JPG","14.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","22.png","19.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","6.png","25.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","24.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","5870.JPG","empty.png","53","NA","NA","NA"
"1","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","empty.png","5870.JPG","53","NA","NA","NA"
