phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,276,1,1,1,1,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,1,2,1,1,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,1,3,1,1,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,1,4,1,1,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,1,5,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,276,1,6,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,276,1,7,1,NA,NA,NA,empty.png,5250.JPG,0,None,None,None,None
trials,276,1,8,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,1,9,1,1,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,1,10,1,2,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,1,11,1,1,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,1,12,1,2,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,1,13,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,1,14,1,2,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,1,15,1,1,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,1,16,1,NA,NA,NA,empty.png,15.png,0,None,None,None,None
trials,276,1,17,1,1,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,1,18,1,1,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,1,19,1,2,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,1,20,1,NA,NA,NA,empty.png,5970.JPG,0,None,None,None,None
trials,276,1,21,1,1,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,1,22,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,276,1,23,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,1,24,1,1,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,1,25,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,1,26,1,1,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,1,27,1,1,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,1,28,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,276,1,29,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,1,30,1,2,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,1,31,1,2,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,1,32,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,33,1,3,positive,extinction,23.png,empty.png,0,None,None,None,None
trials,276,1,34,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,35,1,3,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,1,36,1,2,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,1,37,1,4,positive,extinction,23.png,empty.png,1,3,7,8,None
trials,276,1,38,1,2,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,1,39,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,40,1,1,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,1,41,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,276,1,42,1,2,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,1,43,1,4,positive,acquisition,14.png,1604.JPG,1,8,2,2,None
trials,276,1,44,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,1,45,1,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,276,1,46,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,47,1,3,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,1,48,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,49,1,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,276,1,50,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,51,1,2,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,1,52,1,1,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,1,53,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,1,54,1,2,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,1,55,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,1,56,1,1,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,1,57,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,58,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,276,1,59,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,1,60,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,1,61,1,3,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,1,62,1,NA,NA,NA,15.png,empty.png,0,None,None,None,None
trials,276,1,63,1,2,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,1,64,1,1,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,1,65,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,66,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,1,67,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,68,1,2,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,1,69,1,3,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,1,70,1,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,276,1,71,1,3,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,1,72,1,4,neutral,extinction,4.png,empty.png,1,8,1,6,None
trials,276,1,73,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,74,1,3,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,1,75,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,76,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,1,77,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,1,78,1,2,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,1,79,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,80,1,1,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,1,81,1,2,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,1,82,1,2,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,1,83,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,84,1,3,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,1,85,1,3,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,1,86,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,87,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,1,88,1,3,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,1,89,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,276,1,90,1,2,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,1,91,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,1,92,1,NA,NA,NA,15.png,empty.png,0,None,None,None,None
trials,276,1,93,1,3,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,1,94,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,1,95,1,4,negative,acquisition,8.png,9331.JPG,1,9,1,1,None
trials,276,1,96,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,97,1,4,neutral,acquisition,26.png,7006.JPG,1,0,0,10,None
trials,276,1,98,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,1,99,1,3,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,1,100,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,1,101,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,102,1,3,negative,extinction,7.png,empty.png,0,None,None,None,None
trials,276,1,103,1,2,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,1,104,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,1,105,1,4,negative,extinction,5.png,empty.png,1,2,1,9,None
trials,276,1,106,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,1,107,1,3,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,1,108,1,3,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,1,109,1,3,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,1,110,1,3,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,1,111,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,1,112,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,276,1,113,1,3,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,1,114,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,1,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,2,2,1,4,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,2,3,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,4,1,NA,NA,NA,5720.JPG,9280.JPG,0,None,None,None,None
trials,276,2,5,1,4,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,2,6,1,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,276,2,7,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,2,8,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,9,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,2,10,1,4,neutral,acquisition,9.png,7002.JPG,0,None,None,None,None
trials,276,2,11,1,4,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,2,12,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,13,1,5,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,2,14,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,15,1,4,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,2,16,1,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,276,2,17,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,18,1,4,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,2,19,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,2,20,1,5,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,2,21,1,4,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,2,22,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,276,2,23,1,5,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,2,24,1,5,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
trials,276,2,25,1,4,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,2,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,27,1,6,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,2,28,1,4,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,2,29,1,5,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,2,30,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,31,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,276,2,32,1,5,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,2,33,1,5,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,2,34,1,5,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,2,35,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,2,36,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,37,1,NA,NA,NA,25.png,6.png,0,None,None,None,None
trials,276,2,38,1,6,neutral,acquisition,26.png,7006.JPG,0,None,None,None,None
trials,276,2,39,1,4,positive,extinction,10.png,empty.png,0,None,None,None,None
trials,276,2,40,1,4,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,2,41,1,6,neutral,extinction,4.png,empty.png,0,None,None,None,None
trials,276,2,42,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,2,43,1,5,neutral,extinction,11.png,empty.png,0,None,None,None,None
trials,276,2,44,1,5,negative,acquisition,1.png,2750.JPG,0,None,None,None,None
trials,276,2,45,1,NA,NA,NA,22.png,19.png,0,None,None,None,None
trials,276,2,46,1,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,276,2,47,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
