phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,267,17.png,positive,extinction,7
globalratings,267,14.png,negative,extinction,4
globalratings,267,18.png,extinction,positive,8
globalratings,267,7.png,extinction,negative,11
globalratings,267,4.png,positive,extinction,6
globalratings,267,23.png,extinction,neutral,12
globalratings,267,24.png,negative,extinction,8
globalratings,267,8.png,extinction,negative,5
globalratings,267,26.png,neutral,extinction,13
globalratings,267,5.png,positive,extinction,14
globalratings,267,20.png,neutral,extinction,6
globalratings,267,9.png,extinction,negative,5
globalratings,267,1.png,extinction,positive,4
globalratings,267,3.png,extinction,neutral,5
globalratings,267,11.png,neutral,extinction,2
globalratings,267,10.png,extinction,positive,7
globalratings,267,12.png,negative,extinction,8
globalratings,267,21.png,extinction,neutral,7
c2ratings,267,5.png,positive,extinction,9
c2ratings,267,7.png,extinction,negative,10
c2ratings,267,14.png,negative,extinction,7
c2ratings,267,17.png,positive,extinction,8
c2ratings,267,23.png,extinction,neutral,12
c2ratings,267,24.png,negative,extinction,6
c2ratings,267,8.png,extinction,negative,3
c2ratings,267,26.png,neutral,extinction,13
c2ratings,267,4.png,positive,extinction,7
c2ratings,267,1.png,extinction,positive,6
c2ratings,267,10.png,extinction,positive,5
c2ratings,267,12.png,negative,extinction,5
c2ratings,267,18.png,extinction,positive,8
c2ratings,267,3.png,extinction,neutral,9
c2ratings,267,21.png,extinction,neutral,7
c2ratings,267,11.png,neutral,extinction,1
c2ratings,267,20.png,neutral,extinction,7
c2ratings,267,9.png,extinction,negative,7
c1ratings,267,10.png,extinction,positive,6
c1ratings,267,12.png,negative,extinction,5
c1ratings,267,7.png,extinction,negative,11
c1ratings,267,5.png,positive,extinction,11
c1ratings,267,24.png,negative,extinction,7
c1ratings,267,8.png,extinction,negative,4
c1ratings,267,26.png,neutral,extinction,12
c1ratings,267,17.png,positive,extinction,6
c1ratings,267,4.png,positive,extinction,4
c1ratings,267,23.png,extinction,neutral,14
c1ratings,267,1.png,extinction,positive,3
c1ratings,267,11.png,neutral,extinction,1
c1ratings,267,18.png,extinction,positive,3
c1ratings,267,20.png,neutral,extinction,8
c1ratings,267,21.png,extinction,neutral,6
c1ratings,267,9.png,extinction,negative,6
c1ratings,267,3.png,extinction,neutral,4
c1ratings,267,14.png,negative,extinction,8
