phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,144,1,1,2,1,positive,1721.JPG,23.png,0,None,None,None,None
trials,144,1,2,2,NA,NA,2357.JPG,1230.JPG,0,None,None,None,None
trials,144,1,3,2,1,positive,1463.JPG,17.png,0,None,None,None,None
trials,144,1,4,2,NA,NA,2310.JPG,2520.JPG,0,None,None,None,None
trials,144,1,5,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,6,2,NA,NA,2510.JPG,1275.JPG,0,None,None,None,None
trials,144,1,7,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,8,2,1,negative,2100.JPG,7.png,0,None,None,None,None
trials,144,1,9,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,10,2,NA,NA,25.png,empty.png,0,None,None,None,None
trials,144,1,11,2,NA,NA,27.png,19.png,0,None,None,None,None
trials,144,1,12,2,NA,NA,empty.png,1670.JPG,0,None,None,None,None
trials,144,1,13,2,1,neutral,7175.JPG,5.png,0,None,None,None,None
trials,144,1,14,2,1,negative,9331.JPG,10.png,0,None,None,None,None
trials,144,1,15,2,NA,NA,1945.JPG,empty.png,0,None,None,None,None
trials,144,1,16,2,1,negative,2750.JPG,4.png,0,None,None,None,None
trials,144,1,17,2,NA,NA,2510.JPG,1275.JPG,0,None,None,None,None
trials,144,1,18,2,1,neutral,7009.JPG,12.png,0,None,None,None,None
trials,144,1,19,2,2,negative,2100.JPG,7.png,0,None,None,None,None
trials,144,1,20,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,21,2,1,positive,1500.JPG,18.png,0,None,None,None,None
trials,144,1,22,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,23,2,1,negative,2276.JPG,26.png,0,None,None,None,None
trials,144,1,24,2,2,neutral,7009.JPG,12.png,0,None,None,None,None
trials,144,1,25,2,2,negative,2750.JPG,4.png,0,None,None,None,None
trials,144,1,26,2,NA,NA,empty.png,25.png,0,None,None,None,None
trials,144,1,27,2,1,positive,1610.JPG,8.png,0,None,None,None,None
trials,144,1,28,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,29,2,1,neutral,7006.JPG,1.png,0,None,None,None,None
trials,144,1,30,2,NA,NA,27.png,19.png,0,None,None,None,None
trials,144,1,31,2,2,neutral,7175.JPG,5.png,0,None,None,None,None
trials,144,1,32,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,33,2,1,negative,9041.JPG,24.png,0,None,None,None,None
trials,144,1,34,2,NA,NA,7060.JPG,2304.JPG,0,None,None,None,None
trials,144,1,35,2,1,negative,3300.JPG,14.png,0,None,None,None,None
trials,144,1,36,2,2,negative,9041.JPG,24.png,0,None,None,None,None
trials,144,1,37,2,NA,NA,2310.JPG,2520.JPG,0,None,None,None,None
trials,144,1,38,2,1,neutral,7035.JPG,9.png,0,None,None,None,None
trials,144,1,39,2,1,positive,1440.JPG,20.png,0,None,None,None,None
trials,144,1,40,2,2,negative,2276.JPG,26.png,0,None,None,None,None
trials,144,1,41,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,42,2,NA,NA,8500.JPG,8330.JPG,0,None,None,None,None
trials,144,1,43,2,2,positive,1610.JPG,8.png,0,None,None,None,None
trials,144,1,44,2,1,neutral,7080.JPG,21.png,0,None,None,None,None
trials,144,1,45,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,46,2,2,positive,1440.JPG,20.png,0,None,None,None,None
trials,144,1,47,2,NA,NA,9561.JPG,empty.png,0,None,None,None,None
trials,144,1,48,2,1,positive,1750.JPG,3.png,0,None,None,None,None
trials,144,1,49,2,NA,NA,empty.png,1390.JPG,0,None,None,None,None
trials,144,1,50,2,3,negative,9041.JPG,24.png,0,None,None,None,None
trials,144,1,51,2,2,neutral,7080.JPG,21.png,0,None,None,None,None
trials,144,1,52,2,4,negative,9041.JPG,24.png,1,4,4,7,None
trials,144,1,53,2,2,negative,9331.JPG,10.png,0,None,None,None,None
trials,144,1,54,2,NA,NA,22.png,empty.png,0,None,None,None,space
trials,144,1,55,2,3,negative,9331.JPG,10.png,0,None,None,None,None
trials,144,1,56,2,2,positive,1500.JPG,18.png,0,None,None,None,None
trials,144,1,57,2,2,negative,3300.JPG,14.png,0,None,None,None,None
trials,144,1,58,2,2,positive,1721.JPG,23.png,0,None,None,None,None
trials,144,1,59,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,60,2,1,neutral,7025.JPG,11.png,0,None,None,None,None
trials,144,1,61,2,2,neutral,7035.JPG,9.png,0,None,None,None,None
trials,144,1,62,2,NA,NA,16.png,6.png,0,None,None,None,None
trials,144,1,63,2,2,positive,1750.JPG,3.png,0,None,None,None,None
trials,144,1,64,2,2,neutral,7025.JPG,11.png,0,None,None,None,None
trials,144,1,65,2,NA,NA,empty.png,2.png,0,None,None,None,None
trials,144,1,66,2,3,neutral,7025.JPG,11.png,0,None,None,None,None
trials,144,1,67,2,2,neutral,7006.JPG,1.png,0,None,None,None,None
trials,144,1,68,2,NA,NA,2.png,empty.png,0,None,None,None,None
trials,144,1,69,2,NA,NA,15.png,13.png,0,None,None,None,None
trials,144,1,70,2,NA,NA,9561.JPG,empty.png,0,None,None,None,None
trials,144,1,71,2,NA,NA,7060.JPG,2304.JPG,0,None,None,None,None
trials,144,1,72,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,73,2,NA,NA,1670.JPG,empty.png,0,None,None,None,None
trials,144,1,74,2,4,negative,9331.JPG,10.png,1,2,7,5,None
trials,144,1,75,2,3,neutral,7009.JPG,12.png,0,None,None,None,None
trials,144,1,76,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,77,2,3,positive,1440.JPG,20.png,0,None,None,None,None
trials,144,1,78,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,79,2,4,positive,1440.JPG,20.png,1,7,9,1,None
trials,144,1,80,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,81,2,NA,NA,empty.png,2.png,0,None,None,None,None
trials,144,1,82,2,3,negative,2750.JPG,4.png,0,None,None,None,None
trials,144,1,83,2,NA,NA,empty.png,22.png,0,None,None,None,space
trials,144,1,84,2,NA,NA,22.png,empty.png,0,None,None,None,space
trials,144,1,85,2,3,positive,1610.JPG,8.png,0,None,None,None,None
trials,144,1,86,2,NA,NA,2357.JPG,1230.JPG,0,None,None,None,None
trials,144,1,87,2,3,positive,1750.JPG,3.png,0,None,None,None,None
trials,144,1,88,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,89,2,3,neutral,7080.JPG,21.png,0,None,None,None,None
trials,144,1,90,2,NA,NA,15.png,13.png,0,None,None,None,None
trials,144,1,91,2,NA,NA,8500.JPG,8330.JPG,0,None,None,None,None
trials,144,1,92,2,3,negative,2100.JPG,7.png,0,None,None,None,None
trials,144,1,93,2,NA,NA,1390.JPG,empty.png,0,None,None,None,None
trials,144,1,94,2,NA,NA,empty.png,1945.JPG,0,None,None,None,None
trials,144,1,95,2,3,negative,3300.JPG,14.png,0,None,None,None,None
trials,144,1,96,2,NA,NA,empty.png,25.png,0,None,None,None,None
trials,144,1,97,2,2,positive,1463.JPG,17.png,0,None,None,None,None
trials,144,1,98,2,3,positive,1721.JPG,23.png,0,None,None,None,None
trials,144,1,99,2,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,144,1,100,2,3,neutral,7006.JPG,1.png,0,None,None,None,None
trials,144,1,101,2,3,negative,2276.JPG,26.png,0,None,None,None,None
trials,144,1,102,2,3,neutral,7175.JPG,5.png,0,None,None,None,None
trials,144,1,103,2,NA,NA,empty.png,empty.png,0,None,None,None,None
