phase,subject_nr,block,trial,cond_order,repetition,valence,trial_type,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,192,1,1,1,1,negative,acquisition,18.png,2455.JPG,0,None,None,None,None
trials,192,1,2,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,3,1,NA,NA,NA,2.png,19.png,0,None,None,None,None
trials,192,1,4,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,5,1,1,neutral,extinction,7.png,empty.png,0,None,None,None,None
trials,192,1,6,1,NA,NA,NA,1945.JPG,1275.JPG,0,None,None,None,None
trials,192,1,7,1,1,neutral,extinction,1.png,empty.png,0,None,None,None,space
trials,192,1,8,1,1,negative,extinction,17.png,empty.png,0,None,None,None,None
trials,192,1,9,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,10,1,NA,NA,NA,empty.png,27.png,0,None,None,None,None
trials,192,1,11,1,NA,NA,NA,9561.JPG,8500.JPG,0,None,None,None,None
trials,192,1,12,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,13,1,2,negative,acquisition,18.png,2455.JPG,0,None,None,None,None
trials,192,1,14,1,2,neutral,extinction,7.png,empty.png,0,None,None,None,None
trials,192,1,15,1,NA,NA,NA,2520.JPG,7060.JPG,0,None,None,None,None
trials,192,1,16,1,3,neutral,extinction,7.png,empty.png,0,None,None,None,None
trials,192,1,17,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,18,1,NA,NA,NA,1945.JPG,1275.JPG,0,None,None,None,None
trials,192,1,19,1,2,negative,extinction,17.png,empty.png,0,None,None,None,None
trials,192,1,20,1,1,negative,acquisition,14.png,2276.JPG,0,None,None,None,None
trials,192,1,21,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,192,1,22,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,23,1,1,neutral,extinction,21.png,empty.png,0,None,None,None,None
trials,192,1,24,1,1,positive,extinction,8.png,empty.png,0,None,None,None,None
trials,192,1,25,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,26,1,2,neutral,extinction,1.png,empty.png,0,None,None,None,space
trials,192,1,27,1,3,negative,extinction,17.png,empty.png,0,None,None,None,None
trials,192,1,28,1,3,negative,acquisition,18.png,2455.JPG,0,None,None,None,None
trials,192,1,29,1,NA,NA,NA,9561.JPG,8500.JPG,0,None,None,None,None
trials,192,1,30,1,1,neutral,acquisition,20.png,7233.JPG,0,None,None,None,None
trials,192,1,31,1,1,positive,acquisition,5.png,1604.JPG,0,None,None,None,None
trials,192,1,32,1,1,negative,extinction,12.png,empty.png,0,None,None,None,None
trials,192,1,33,1,1,positive,acquisition,24.png,1610.JPG,0,None,None,None,None
trials,192,1,34,1,1,positive,acquisition,26.png,1600.JPG,0,None,None,None,None
trials,192,1,35,1,1,positive,extinction,4.png,empty.png,0,None,None,None,None
trials,192,1,36,1,2,negative,acquisition,14.png,2276.JPG,0,None,None,None,None
trials,192,1,37,1,2,neutral,extinction,21.png,empty.png,0,None,None,None,None
trials,192,1,38,1,2,positive,acquisition,24.png,1610.JPG,0,None,None,None,None
trials,192,1,39,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,40,1,NA,NA,NA,22.png,6.png,0,None,None,None,None
trials,192,1,41,1,2,neutral,acquisition,20.png,7233.JPG,0,None,None,None,None
trials,192,1,42,1,1,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,192,1,43,1,NA,NA,NA,empty.png,8330.JPG,0,None,None,None,None
trials,192,1,44,1,NA,NA,NA,2510.JPG,2304.JPG,0,None,None,None,None
trials,192,1,45,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,46,1,NA,NA,NA,22.png,6.png,0,None,None,None,None
trials,192,1,47,1,2,positive,acquisition,5.png,1604.JPG,0,None,None,None,None
trials,192,1,48,1,NA,NA,NA,empty.png,13.png,0,None,None,None,None
trials,192,1,49,1,NA,NA,NA,empty.png,8330.JPG,0,None,None,None,None
trials,192,1,50,1,2,positive,acquisition,26.png,1600.JPG,0,None,None,None,None
trials,192,1,51,1,2,positive,extinction,4.png,empty.png,0,None,None,None,None
trials,192,1,52,1,NA,NA,NA,2510.JPG,2304.JPG,0,None,None,None,None
trials,192,1,53,1,2,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,192,1,54,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,55,1,3,positive,acquisition,26.png,1600.JPG,0,None,None,None,None
trials,192,1,56,1,1,neutral,acquisition,9.png,7705.JPG,0,None,None,None,None
trials,192,1,57,1,1,negative,acquisition,10.png,2399.JPG,0,None,None,None,None
trials,192,1,58,1,NA,NA,NA,2310.JPG,empty.png,0,None,None,None,None
trials,192,1,59,1,NA,NA,NA,1230.JPG,1670.JPG,0,None,None,None,None
trials,192,1,60,1,NA,NA,NA,25.png,15.png,0,None,None,None,None
trials,192,1,61,1,2,negative,extinction,12.png,empty.png,0,None,None,None,None
trials,192,1,62,1,1,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,192,1,63,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,64,1,2,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,192,1,65,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,66,1,NA,NA,NA,22.png,6.png,0,None,None,None,None
trials,192,1,67,1,4,positive,acquisition,26.png,1600.JPG,1,9,2,2,None
trials,192,1,68,1,3,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,192,1,69,1,3,neutral,extinction,21.png,empty.png,0,None,None,None,None
trials,192,1,70,1,NA,NA,NA,empty.png,27.png,0,None,None,None,None
trials,192,1,71,1,2,positive,extinction,8.png,empty.png,0,None,None,None,None
trials,192,1,72,1,NA,NA,NA,2357.JPG,empty.png,0,None,None,None,None
trials,192,1,73,1,4,negative,acquisition,18.png,2455.JPG,1,3,3,8,None
trials,192,1,74,1,NA,NA,NA,2520.JPG,7060.JPG,0,None,None,None,None
trials,192,1,75,1,3,negative,extinction,12.png,empty.png,0,None,None,None,None
trials,192,1,76,1,NA,NA,NA,25.png,15.png,0,None,None,None,None
trials,192,1,77,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,78,1,3,negative,acquisition,14.png,2276.JPG,0,None,None,None,None
trials,192,1,79,1,NA,NA,NA,2.png,19.png,0,None,None,None,None
trials,192,1,80,1,3,positive,extinction,8.png,empty.png,0,None,None,None,None
trials,192,1,81,1,2,negative,acquisition,10.png,2399.JPG,0,None,None,None,None
trials,192,1,82,1,2,neutral,acquisition,9.png,7705.JPG,0,None,None,None,None
trials,192,1,83,1,3,positive,acquisition,5.png,1604.JPG,0,None,None,None,None
trials,192,1,84,1,NA,NA,NA,2310.JPG,empty.png,0,None,None,None,None
trials,192,1,85,1,NA,NA,NA,empty.png,1390.JPG,0,None,None,None,None
trials,192,1,86,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,87,1,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,192,1,88,1,3,neutral,extinction,1.png,empty.png,0,None,None,None,space
trials,192,1,89,1,NA,NA,NA,25.png,15.png,0,None,None,None,None
trials,192,1,90,1,4,positive,extinction,3.png,empty.png,1,0,0,0,None
trials,192,1,91,1,NA,NA,NA,empty.png,1390.JPG,0,None,None,None,None
trials,192,1,92,1,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,192,1,93,1,3,positive,acquisition,24.png,1610.JPG,0,None,None,None,None
trials,192,1,94,1,NA,NA,NA,empty.png,27.png,0,None,None,None,None
trials,192,1,95,1,3,neutral,acquisition,20.png,7233.JPG,0,None,None,None,None
trials,192,1,96,1,NA,NA,NA,16.png,empty.png,0,None,None,None,None
trials,192,1,97,1,1,neutral,acquisition,11.png,7000.JPG,0,None,None,None,None
trials,192,1,98,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,99,1,2,neutral,acquisition,11.png,7000.JPG,0,None,None,None,None
trials,192,1,100,1,4,neutral,extinction,1.png,empty.png,1,0,0,0,None
trials,192,1,101,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,102,1,3,neutral,acquisition,11.png,7000.JPG,0,None,None,None,None
trials,192,1,103,1,3,negative,acquisition,10.png,2399.JPG,0,None,None,None,None
trials,192,1,104,1,4,negative,extinction,12.png,empty.png,1,1,9,1,None
trials,192,1,105,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,192,1,106,1,NA,NA,NA,1230.JPG,1670.JPG,0,None,None,None,None
trials,192,1,107,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,108,1,NA,NA,NA,empty.png,2357.JPG,0,None,None,None,None
trials,192,1,109,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,1,110,1,4,neutral,acquisition,11.png,7000.JPG,1,1,8,1,None
trials,192,1,111,1,NA,NA,NA,2.png,19.png,0,None,None,None,None
trials,192,1,112,1,3,positive,extinction,4.png,empty.png,0,None,None,None,None
trials,192,1,113,1,3,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,192,1,114,1,3,neutral,acquisition,9.png,7705.JPG,0,None,None,None,None
trials,192,2,1,1,4,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,192,2,2,1,NA,NA,NA,empty.png,8330.JPG,0,None,None,None,None
trials,192,2,3,1,5,neutral,acquisition,11.png,7000.JPG,0,None,None,None,None
trials,192,2,4,1,5,negative,extinction,12.png,empty.png,0,None,None,None,None
trials,192,2,5,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,192,2,6,1,6,negative,extinction,12.png,empty.png,0,None,None,None,None
trials,192,2,7,1,4,neutral,acquisition,20.png,7233.JPG,0,None,None,None,None
trials,192,2,8,1,5,negative,acquisition,18.png,2455.JPG,0,None,None,None,None
trials,192,2,9,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,2,10,1,4,negative,acquisition,10.png,2399.JPG,0,None,None,None,None
trials,192,2,11,1,6,negative,acquisition,18.png,2455.JPG,0,None,None,None,None
trials,192,2,12,1,5,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,192,2,13,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,2,14,1,NA,NA,NA,empty.png,27.png,0,None,None,None,None
trials,192,2,15,1,5,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,192,2,16,1,4,positive,extinction,8.png,empty.png,0,None,None,None,None
trials,192,2,17,1,5,neutral,acquisition,20.png,7233.JPG,0,None,None,None,None
trials,192,2,18,1,5,positive,extinction,8.png,empty.png,0,None,None,None,None
trials,192,2,19,1,NA,NA,NA,1230.JPG,1670.JPG,0,None,None,None,None
trials,192,2,20,1,4,positive,acquisition,5.png,1604.JPG,0,None,None,None,None
trials,192,2,21,1,4,negative,extinction,17.png,empty.png,0,None,None,None,None
trials,192,2,22,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,2,23,1,7,negative,acquisition,18.png,2455.JPG,0,None,None,None,None
trials,192,2,24,1,5,positive,acquisition,5.png,1604.JPG,0,None,None,None,None
trials,192,2,25,1,NA,NA,NA,25.png,15.png,0,None,None,None,None
trials,192,2,26,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,2,27,1,4,neutral,acquisition,9.png,7705.JPG,0,None,None,None,None
trials,192,2,28,1,4,positive,acquisition,24.png,1610.JPG,0,None,None,None,None
trials,192,2,29,1,6,positive,extinction,8.png,empty.png,0,None,None,None,None
trials,192,2,30,1,4,neutral,extinction,7.png,empty.png,0,None,None,None,space
trials,192,2,31,1,5,negative,acquisition,10.png,2399.JPG,0,None,None,None,None
trials,192,2,32,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,192,2,33,1,NA,NA,NA,2520.JPG,7060.JPG,0,None,None,None,None
trials,192,2,34,1,7,positive,extinction,8.png,empty.png,1,1,1,9,None
trials,192,2,35,1,NA,NA,NA,1945.JPG,1275.JPG,0,None,None,None,None
trials,192,2,36,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,192,2,37,1,5,neutral,extinction,1.png,empty.png,0,None,None,None,None
trials,192,2,38,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,2,39,1,6,positive,extinction,3.png,empty.png,0,None,None,None,None
trials,192,2,40,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,192,2,41,1,5,positive,acquisition,26.png,1600.JPG,0,None,None,None,None
trials,192,2,42,1,5,negative,extinction,17.png,empty.png,0,None,None,None,None
trials,192,2,43,1,NA,NA,NA,empty.png,2357.JPG,0,None,None,None,None
trials,192,2,44,1,4,positive,extinction,4.png,empty.png,0,None,None,None,None
trials,192,2,45,1,6,negative,extinction,23.png,empty.png,0,None,None,None,None
trials,192,2,46,1,6,positive,acquisition,5.png,1604.JPG,0,None,None,None,None
