phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,233,7.png,extinction,positive,12
globalratings,233,18.png,neutral,extinction,12
globalratings,233,3.png,positive,extinction,11
globalratings,233,24.png,extinction,neutral,14
globalratings,233,4.png,extinction,negative,11
globalratings,233,14.png,positive,extinction,14
globalratings,233,9.png,extinction,neutral,14
globalratings,233,11.png,extinction,positive,16
globalratings,233,26.png,positive,extinction,11
globalratings,233,1.png,neutral,extinction,16
globalratings,233,20.png,negative,extinction,15
globalratings,233,10.png,neutral,extinction,10
globalratings,233,5.png,extinction,negative,15
globalratings,233,17.png,extinction,negative,13
globalratings,233,12.png,negative,extinction,13
globalratings,233,21.png,extinction,neutral,9
globalratings,233,23.png,negative,extinction,11
globalratings,233,8.png,extinction,positive,10
c2ratings,233,5.png,extinction,negative,11
c2ratings,233,1.png,neutral,extinction,13
c2ratings,233,11.png,extinction,positive,15
c2ratings,233,21.png,extinction,neutral,9
c2ratings,233,20.png,negative,extinction,12
c2ratings,233,23.png,negative,extinction,9
c2ratings,233,8.png,extinction,positive,12
c2ratings,233,26.png,positive,extinction,9
c2ratings,233,7.png,extinction,positive,13
c2ratings,233,4.png,extinction,negative,13
c2ratings,233,18.png,neutral,extinction,11
c2ratings,233,17.png,extinction,negative,11
c2ratings,233,24.png,extinction,neutral,14
c2ratings,233,14.png,positive,extinction,12
c2ratings,233,3.png,positive,extinction,10
c2ratings,233,10.png,neutral,extinction,8
c2ratings,233,12.png,negative,extinction,9
c2ratings,233,9.png,extinction,neutral,12
c1ratings,233,23.png,negative,extinction,10
c1ratings,233,3.png,positive,extinction,10
c1ratings,233,18.png,neutral,extinction,11
c1ratings,233,21.png,extinction,neutral,8
c1ratings,233,8.png,extinction,positive,12
c1ratings,233,24.png,extinction,neutral,10
c1ratings,233,7.png,extinction,positive,11
c1ratings,233,5.png,extinction,negative,11
c1ratings,233,26.png,positive,extinction,11
c1ratings,233,10.png,neutral,extinction,9
c1ratings,233,4.png,extinction,negative,11
c1ratings,233,11.png,extinction,positive,10
c1ratings,233,9.png,extinction,neutral,11
c1ratings,233,20.png,negative,extinction,11
c1ratings,233,14.png,positive,extinction,9
c1ratings,233,1.png,neutral,extinction,12
c1ratings,233,17.png,extinction,negative,11
c1ratings,233,12.png,negative,extinction,10
