phase,subject_nr,cs_filename,cs_type_1,cs_type_2,eval_rating
globalratings,244,5.png,extinction,positive,3
globalratings,244,8.png,extinction,neutral,5
globalratings,244,1.png,positive,extinction,6
globalratings,244,20.png,negative,extinction,8
globalratings,244,14.png,positive,extinction,10
globalratings,244,18.png,neutral,extinction,6
globalratings,244,11.png,extinction,neutral,5
globalratings,244,3.png,positive,extinction,5
globalratings,244,7.png,extinction,negative,10
globalratings,244,23.png,extinction,neutral,7
globalratings,244,9.png,extinction,negative,6
globalratings,244,21.png,extinction,positive,5
globalratings,244,12.png,extinction,positive,5
globalratings,244,10.png,negative,extinction,5
globalratings,244,17.png,extinction,negative,4
globalratings,244,26.png,neutral,extinction,5
globalratings,244,4.png,neutral,extinction,7
globalratings,244,24.png,negative,extinction,9
c2ratings,244,23.png,extinction,neutral,5
c2ratings,244,10.png,negative,extinction,5
c2ratings,244,9.png,extinction,negative,4
c2ratings,244,17.png,extinction,negative,6
c2ratings,244,11.png,extinction,neutral,4
c2ratings,244,3.png,positive,extinction,4
c2ratings,244,24.png,negative,extinction,7
c2ratings,244,26.png,neutral,extinction,4
c2ratings,244,4.png,neutral,extinction,9
c2ratings,244,20.png,negative,extinction,9
c2ratings,244,7.png,extinction,negative,9
c2ratings,244,5.png,extinction,positive,4
c2ratings,244,18.png,neutral,extinction,5
c2ratings,244,21.png,extinction,positive,4
c2ratings,244,12.png,extinction,positive,4
c2ratings,244,8.png,extinction,neutral,5
c2ratings,244,14.png,positive,extinction,4
c2ratings,244,1.png,positive,extinction,4
c1ratings,244,18.png,neutral,extinction,6
c1ratings,244,9.png,extinction,negative,5
c1ratings,244,20.png,negative,extinction,12
c1ratings,244,21.png,extinction,positive,4
c1ratings,244,23.png,extinction,neutral,6
c1ratings,244,5.png,extinction,positive,6
c1ratings,244,12.png,extinction,positive,6
c1ratings,244,24.png,negative,extinction,6
c1ratings,244,4.png,neutral,extinction,6
c1ratings,244,17.png,extinction,negative,6
c1ratings,244,11.png,extinction,neutral,9
c1ratings,244,14.png,positive,extinction,13
c1ratings,244,10.png,negative,extinction,5
c1ratings,244,3.png,positive,extinction,4
c1ratings,244,7.png,extinction,negative,8
c1ratings,244,1.png,positive,extinction,9
c1ratings,244,26.png,neutral,extinction,4
c1ratings,244,8.png,extinction,neutral,5
