phase,subject_nr,dv_order,context,block,trial,cond_order,repetition,valence,conditioning,stim1,stim2,identification,identification_resp,identification_time
trials,557,expect_first,c1,1,1,2,1,neutral,acquisition,7175.JPG,26.png,0,NA,NA
trials,557,expect_first,c1,1,2,2,1,negative,acquisition,3300.JPG,3.png,0,NA,NA
trials,557,expect_first,c1,1,3,2,1,negative,extinction,empty.png,18.png,0,NA,NA
trials,557,expect_first,c1,1,4,2,NA,NA,NA,5250.JPG,5780.JPG,0,NA,NA
trials,557,expect_first,c1,1,5,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,557,expect_first,c1,1,6,2,1,positive,extinction,empty.png,5.png,0,NA,NA
trials,557,expect_first,c1,1,7,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,557,expect_first,c1,1,8,2,NA,NA,NA,6.png,16.png,0,NA,NA
trials,557,expect_first,c1,1,9,2,NA,NA,NA,5720.JPG,empty.png,0,NA,NA
trials,557,expect_first,c1,1,10,2,NA,NA,NA,2.png,27.png,0,NA,NA
trials,557,expect_first,c1,1,11,2,NA,NA,NA,5611.JPG,5970.JPG,0,NA,NA
trials,557,expect_first,c1,1,12,2,NA,NA,NA,empty.png,13.png,0,NA,NA
trials,557,expect_first,c1,1,13,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,557,expect_first,c1,1,14,2,1,positive,acquisition,1604.JPG,4.png,0,NA,NA
trials,557,expect_first,c1,1,15,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,557,expect_first,c1,1,16,2,2,negative,acquisition,3300.JPG,3.png,0,NA,NA
trials,557,expect_first,c1,1,17,2,1,neutral,extinction,empty.png,1.png,0,NA,NA
trials,557,expect_first,c1,1,18,2,NA,NA,NA,empty.png,9000.JPG,0,NA,NA
trials,557,expect_first,c1,1,19,2,1,neutral,acquisition,7090.JPG,7.png,0,NA,NA
trials,557,expect_first,c1,1,20,2,NA,NA,NA,22.png,25.png,0,NA,NA
trials,557,expect_first,c1,1,21,2,1,neutral,extinction,empty.png,14.png,0,NA,NA
trials,557,expect_first,c1,1,22,2,NA,NA,NA,5611.JPG,5970.JPG,0,NA,NA
trials,557,expect_first,c1,1,23,2,NA,NA,NA,9280.JPG,5660.JPG,0,NA,NA
trials,557,expect_first,c1,1,24,2,NA,NA,NA,empty.png,13.png,0,NA,NA
trials,557,expect_first,c1,1,25,2,1,negative,acquisition,2900.1.JPG,23.png,0,NA,NA
trials,557,expect_first,c1,1,26,2,1,negative,extinction,empty.png,24.png,0,NA,NA
trials,557,expect_first,c1,1,27,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,557,expect_first,c1,1,28,2,NA,NA,NA,6.png,16.png,0,NA,NA
trials,557,expect_first,c1,1,29,2,NA,NA,NA,empty.png,empty.png,0,NA,NA
trials,557,expect_first,c1,1,30,2,NA,NA,NA,empty.png,15.png,0,NA,NA
trials,557,expect_first,c1,1,31,2,1,neutral,acquisition,7035.JPG,20.png,0,NA,NA
trials,557,expect_first,c1,1,32,2,1,negative,extinction,empty.png,9.png,0,NA,NA
trials,557,expect_first,c1,1,33,2,3,negative,acquisition,3300.JPG,3.png,1,human,6448
trials,557,expect_first,c1,1,34,2,2,neutral,acquisition,7090.JPG,7.png,0,NA,NA
trials,557,expect_first,c1,1,35,2,1,positive,extinction,empty.png,10.png,0,NA,NA
