Timestamp
OS date: 01/09/15, OS time: 11:18:22
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   5
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   4
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   2
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   1   0   2 607   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   2   0   5 640   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   3   0   3 726   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   4   0   6 569   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   5   0   5 599   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   6   0   3 688   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   7   0   1 695   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   8   0   4 719   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1   9   0   6 583   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  10   0   1 487   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  11   0   4 631   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  12   0   2 615   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  13   0   3 663   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  14   0   6 566   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  15   0   5 664   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  16   0   2 560   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  17   0   4 640   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  18   0   1 583   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  19   0   2 550   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  20   0   6 583   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  21   0   4 992   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  22   0   5 606   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  23   0   6 615   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  24   0   2 624   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  25   0   1 608   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  26   0   5 703   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  27   0   4 719   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  28   0   3 623   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  29   0   5 616   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  30   0   1 519   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  31   0   6 719   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  32   0   2 655   3   0
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  33   0   4 1227   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  34   0   2 600   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  35   0   3 616   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  36   0   6 623   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  37   0   5 648   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  38   0   2 824   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  39   0   4 823   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  40   0   1 574   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  41   0   2 728   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  42   0   5 879   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  43   0   3 751   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  44   0   1 599   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  45   0   4 527   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  46   0   3 784   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  47   0   6 679   5   0
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  48   0   1 756   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  49   0   4 726   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  50   0   6 663   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  51   0   1 560   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  52   0   3 671   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  53   0   2 551   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  54   0   6 582   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  55   0   4 912   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  56   0   5 647   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  57   0   1 624   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  58   0   6 607   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  59   0   5 647   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  60   0   3 719   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  61   0   1 511   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  62   0   4 560   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  63   0   6 551   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  64   0   1 575   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  65   0   3 527   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  66   0   2 543   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  67   0   6 631   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  68   0   6 110   4   0
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  69   0   5 764   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  70   0   6 655   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  71   0   2 736   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  72   0   1 479   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  73   0   5 695   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  74   0   4 615   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  75   0   3 736   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  76   0   5 751   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  77   0   1 616   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  78   0   6 856   6   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  79   0   3 1183   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  80   0   4 736   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  81   0   2 647   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  82   0   5 568   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  83   0   3 678   3   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  84   0   1 496   1   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  85   0   5 758   5   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  86   0   4 496   4   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  87   0   2 583   2   1
Pudel10   1   3   2   1  22   2   1   1   1 PSYCHOLOGIE   1  88   0   3 536   3   1
