Timestamp
OS date: 01/15/15, OS time: 15:54:29
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   5
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   4
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   6
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   3
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   2
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   4
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   5
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   1   0   5 559   4   0
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   2   0   5 1331   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   3   0   3 806   3   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   4   0   4 559   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   5   0   6 486   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   6   0   1 607   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   7   0   2 582   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   8   0   5 535   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1   9   0   4 615   3   0
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  10   0   1 675   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  11   0   2 464   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  12   0   5 583   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  13   0   3 558   3   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  14   0   4 510   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  15   0   6 503   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  16   0   2 951   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  17   0   1 446   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  18   0   6 695   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  19   0   5 504   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  20   0   2 837   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  21   0   4 656   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  22   0   3 422   3   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  23   0   1 479   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  24   0   5 719   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  25   0   6 462   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  26   0   3 896   3   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  27   0   2 551   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  28   0   6 390   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  29   0   1 503   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  30   0   2 630   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  31   0   5 632   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  32   0   1 582   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  33   0   2 423   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  34   0   5 566   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  35   0   1 767   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  36   0   4 839   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  37   0   5 566   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  38   0   3 616   3   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  39   0   4 582   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  40   0   6 463   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  41   0   3 646   3   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  42   0   2 591   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  43   0   6 702   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  44   0   1 616   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  45   0   2 456   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  46   0   5 1086   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  47   0   1 543   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  48   0   4 679   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  49   0   5 639   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  50   0   3 1430   3   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  51   0   4 1128   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  52   0   6 430   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  53   0   2 591   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  54   0   1 439   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  55   0   6 520   6   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  56   0   5 550   5   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  57   0   2 536   2   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  58   0   4 519   4   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  59   0   1 486   1   1
Pudel10 108   2   2   0  25   1   1   1   1 MEDKUWI   1  60   0   3 992   3   1
