Timestamp
OS date: 01/09/15, OS time: 14:00:57
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   4
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   5
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   4
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   3
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   2
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   6
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   1   0   3 775   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   2   0   2 1038   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   3   0   6 574   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   4   0   5 719   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   5   0   2 767   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   6   0   1 719   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   7   0   6 606   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   8   0   4 1343   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1   9   0   3 780   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  10   0   1 735   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  11   0   5 766   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  12   0   3 718   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  13   0   6 573   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  14   0   1 606   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  15   0   2 688   3   0
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  16   0   2 1626   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  17   0   5 847   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  18   0   1 573   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  19   0   4 958   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  20   0   5 831   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  21   0   6 606   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  22   0   3 784   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  23   0   5 686   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  24   0   4 639   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  25   0   2 703   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  26   0   3 782   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  27   0   4 590   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  28   0   5 702   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  29   0   6 542   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  30   0   3 845   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  31   0   5 655   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  32   0   4 863   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  33   0   2 670   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  34   0   3 718   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  35   0   4 704   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  36   0   6 605   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  37   0   2 958   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  38   0   5 781   4   0
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  39   0   2 1020   3   0
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  40   0   2 1771   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  41   0   4 2350   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  42   0   3 606   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  43   0   1 654   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  44   0   2 637   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  45   0   6 606   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  46   0   5 735   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  47   0   2 749   2   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  48   0   1 607   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  49   0   6 654   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  50   0   4 684   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  51   0   1 623   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  52   0   5 703   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  53   0   3 1246   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  54   0   6 542   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  55   0   1 671   1   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  56   0   4 1055   4   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  57   0   5 510   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  58   0   6 446   6   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  59   0   3 862   3   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  60   0   5 718   5   1
Pudel10  11   3   1   0  25   2   1   1   2 INFORMATIONSWISSENSCHAFT   1  61   0   4 1374   4   1
