Timestamp
OS date: 01/15/15, OS time: 16:08:26
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   4
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   3
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   2
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   6
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   5
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   4
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   3
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   1   0   5 375   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   2   0   2 535   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   3   0   6 536   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   4   0   3 701   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   5   0   2 575   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   6   0   5 598   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   7   0   1 480   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   8   0   3 630   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1   9   0   5 614   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  10   0   6 455   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  11   0   1 503   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  12   0   5 519   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  13   0   4 439   4   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  14   0   2 503   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  15   0   3 415   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  16   0   6 463   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  17   0   4 550   4   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  18   0   3 519   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  19   0   5 463   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  20   0   6 430   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  21   0   1 407   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  22   0   4 430   3   0
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  23   0   5 1035   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  24   0   1 479   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  25   0   3 654   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  26   0   5 672   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  27   0   6 447   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  28   0   1 486   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  29   0   5 575   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  30   0   3 912   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  31   0   4 552   4   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  32   0   1 518   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  33   0   6 471   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  34   0   3 622   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  35   0   2 496   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  36   0   6 455   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  37   0   3 606   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  38   0   2 447   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  39   0   6 535   5   0
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  40   0   5 291   1   0
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  41   0   3 1361   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  42   0   5 575   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  43   0   6 392   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  44   0   1 495   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  45   0   5 606   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  46   0   3 831   3   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  47   0   4 566   4   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  48   0   1 528   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  49   0   6 606   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  50   0   2 550   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  51   0   1 479   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  52   0   4 1607   4   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  53   0   6 527   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  54   0   2 695   3   0
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  55   0   2 788   2   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  56   0   5 646   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  57   0   6 446   6   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  58   0   1 502   1   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  59   0   5 631   5   1
Pudel10 110   3   2   0  25   1   1   1   1 MATHEMATIK   1  60   0   3 797   3   1
