Timestamp
OS date: 01/16/15, OS time: 10:24:09
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   2
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   5
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   6
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   4
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   3
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   2
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   1   0   2 606   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   2   0   6 807   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   3   0   4 735   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   4   0   2 671   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   5   0   5 734   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   6   0   1 503   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   7   0   2 671   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   8   0   6 566   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1   9   0   4 727   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  10   0   2 623   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  11   0   5 614   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  12   0   1 511   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  13   0   4 846   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  14   0   3 632   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  15   0   1 510   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  16   0   6 471   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  17   0   5 543   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  18   0   2 550   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  19   0   4 576   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  20   0   5 591   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  21   0   3 710   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  22   0   2 623   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  23   0   5 623   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  24   0   1 472   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  25   0   4 622   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  26   0   3 639   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  27   0   1 575   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  28   0   6 479   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  29   0   3 622   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  30   0   2 535   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  31   0   1 536   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  32   0   5 543   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  33   0   6 527   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  34   0   2 631   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  35   0   3 550   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  36   0   4 630   5   0
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  37   0   2 651   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  38   0   4 599   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  39   0   5 574   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  40   0   3 767   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  41   0   4 535   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  42   0   1 582   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  43   0   2 550   3   0
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  44   0   6 762   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  45   0   5 711   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  46   0   3 654   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  47   0   4 672   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  48   0   1 557   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  49   0   3 831   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  50   0   6 520   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  51   0   5 631   5   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  52   0   4 701   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  53   0   1 566   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  54   0   3 614   3   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  55   0   6 558   6   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  56   0   4 976   4   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  57   0   2 607   2   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  58   0   4 631   5   0
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  59   0   1 627   1   1
Pudel10 115   2   2   0  29   2   1   1   2 PSYCHOLOGIE   1  60   0   4 631   4   1
