Timestamp
OS date: 01/16/15, OS time: 11:22:19
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   6
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   3
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   5
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   4
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   2
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   1
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   1   0   2 478   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   2   0   5 520   4   0
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   3   0   1 594   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   4   0   3 512   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   5   0   4 517   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   6   0   1 406   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   7   0   5 599   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   8   0   2 408   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1   9   0   6 446   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  10   0   1 408   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  11   0   3 495   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  12   0   2 423   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  13   0   6 439   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  14   0   5 463   4   0
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  15   0   5 706   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  16   0   1 456   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  17   0   4 511   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  18   0   6 446   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  19   0   5 640   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  20   0   1 439   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  21   0   4 535   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  22   0   5 535   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  23   0   1 447   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  24   0   3 454   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  25   0   5 494   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  26   0   6 447   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  27   0   3 440   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  28   0   4 446   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  29   0   1 375   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  30   0   6 359   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  31   0   5 422   4   0
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  32   0   1 580   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  33   0   6 446   5   0
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  34   0   6 530   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  35   0   3 520   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  36   0   2 526   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  37   0   4 566   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  38   0   6 455   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  39   0   5 479   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  40   0   2 511   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  41   0   6 510   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  42   0   5 480   4   0
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  43   0   2 617   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  44   0   1 407   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  45   0   4 566   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  46   0   6 455   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  47   0   3 464   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  48   0   1 414   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  49   0   6 398   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  50   0   5 567   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  51   0   4 398   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  52   0   3 447   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  53   0   6 415   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  54   0   5 543   5   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  55   0   2 576   2   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  56   0   6 415   6   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  57   0   3 536   3   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  58   0   1 445   1   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  59   0   4 614   4   1
Pudel10 120   1   1   1  25   2   1   1   1 GESCHICHTE   1  60   0   3 680   3   1
