Timestamp
OS date: 01/16/15, OS time: 14:25:05
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   5
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   3
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   4
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   2
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   5
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   6
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   3
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   1   0   2 456   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   2   0   6 511   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   3   0   6 998   5   0
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   4   0   3 1155   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   5   0   2 694   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   6   0   4 896   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   7   0   5 719   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   8   0   1 1477   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1   9   0   6 702   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  10   0   4 854   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  11   0   5 607   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  12   0   1 735   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  13   0   6 662   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  14   0   5 775   4   0
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  15   0   1 1042   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  16   0   5 711   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  17   0   6 608   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  18   0   3 670   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  19   0   1 519   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  20   0   2 1030   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  21   0   4 855   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  22   0   5 543   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  23   0   1 670   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  24   0   6 1031   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  25   0   4 1775   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  26   0   3 782   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  27   0   2 535   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  28   0   5 759   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  29   0   4 632   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  30   0   6 870   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  31   0   1 840   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  32   0   4 862   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  33   0   2 928   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  34   0   1 671   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  35   0   3 918   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  36   0   4 607   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  37   0   1 663   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  38   0   5 719   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  39   0   4 600   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  40   0   6 646   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  41   0   3 655   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  42   0   4 743   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  43   0   1 632   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  44   0   5 781   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  45   0   6 583   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  46   0   3 807   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  47   0   1 543   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  48   0   2 791   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  49   0   4 718   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  50   0   5 487   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  51   0   1 560   1   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  52   0   6 679   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  53   0   4 727   4   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  54   0   3 702   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  55   0   6 654   6   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  56   0   2 847   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  57   0   3 711   3   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  58   0   5 757   5   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  59   0   2 823   2   1
Pudel10 128   2   2   0  29   1   2   1   1 BIOCHEMIE   1  60   0   6 591   6   1
