Timestamp
OS date: 01/21/15, OS time: 14:02:14
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   5
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   2
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   6
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   4
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   3
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   2
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   5
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   1   0   1 551   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   2   0   3 847   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   3   0   6 542   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   4   0   1 544   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   5   0   5 765   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   6   0   4 558   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   7   0   6 542   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   8   0   2 687   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1   9   0   5 958   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  10   0   6 510   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  11   0   3 895   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  12   0   5 590   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  13   0   1 592   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  14   0   2 605   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  15   0   4 735   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  16   0   6 655   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  17   0   2 654   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  18   0   5 861   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  19   0   6 686   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  20   0   3 878   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  21   0   5 639   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  22   0   4 653   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  23   0   3 799   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  24   0   1 557   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  25   0   4 830   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  26   0   2 849   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  27   0   2  93   3   0
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  28   0   4 1257   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  29   0   1 702   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  30   0   3 782   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  31   0   6 622   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  32   0   1 575   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  33   0   5 749   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  34   0   4 735   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  35   0   1 608   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  36   0   2 653   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  37   0   4 863   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  38   0   6 543   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  39   0   2 717   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  40   0   5 639   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  41   0   6 639   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  42   0   3 894   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  43   0   5 687   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  44   0   1 829   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  45   0   3 878   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  46   0   6 591   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  47   0   1 558   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  48   0   5 702   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  49   0   3 910   4   0
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  50   0   1 1242   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  51   0   2 878   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  52   0   4 1261   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  53   0   1 623   1   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  54   0   2 782   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  55   0   3 702   3   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  56   0   4 910   4   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  57   0   5 605   5   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  58   0   2 735   2   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  59   0   6 526   6   1
Pudel10 148   2   1   1  20   1   1   1   1 MEDIZIN   1  60   0   5 751   5   1
