Timestamp
OS date: 01/09/15, OS time: 14:40:42
---
Sequenz
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6
---
instruierte Übergänge
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Position"
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   5
---
freies.Generieren
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Shape" "Reaktion"
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   4
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   6
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   3
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   5
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   2
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   6
---
Lernphase
"Exp.Name" "Vp.Nr" "Material" "Reihenfolge" "InstrExpl" "Age" "Sex" "Hands" "Color" "Sprache" "Fach" "Block.Nr" "Trial.Nr" "Shape" "Reaktion" "Reaktionszeit" "Position" "korrekt"
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   1   0   6 390   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   2   0   2 654   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   3   0   5 510   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   4   0   6 399   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   5   0   4 398   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   6   0   5 414   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   7   0   2 479   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   8   0   1 446   1   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1   9   0   6 415   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  10   0   5 446   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  11   0   4 445   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  12   0   1 495   1   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  13   0   6 415   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  14   0   4 541   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  15   0   2 527   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  16   0   5 686   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  17   0   6 413   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  18   0   4 447   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  19   0   3 510   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  20   0   5 399   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  21   0   6 351   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  22   0   4 398   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  23   0   3 685   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  24   0   2 543   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  25   0   5 573   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  26   0   4 446   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  27   0   3 494   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  28   0   2 495   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  29   0   6 495   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  30   0   3 463   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  31   0   2 478   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  32   0   4 495   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  33   0   1 509   1   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  34   0   3 526   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  35   0   5 575   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  36   0   6 350   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  37   0   3 526   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  38   0   4 414   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  39   0   5 494   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  40   0   2 431   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  41   0   4 415   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  42   0   5 542   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  43   0   3 413   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  44   0   2 494   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  45   0   5 830   4   0
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  46   0   1 987   1   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  47   0   3 702   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  48   0   6 558   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  49   0   4 494   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  50   0   5 511   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  51   0   2 670   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  52   0   3 446   4   0
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  53   0   5 874   5   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  54   0   6 414   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  55   0   4 494   4   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  56   0   3 735   3   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  57   0   6 478   6   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  58   0   2 639   2   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  59   0   1 559   1   1
Pudel10  15   1   1   0  20   1   1   1   1 PSYCHOLOGIE   1  60   0   3 687   3   1
